"MES","TIRE01","TIRE02","TIRE03","TIRE04","TIRE05","TIRE06","TIRE07","TIRE08","TIRE09","TIRE10","TIRE11","TIRE12"
2004-09-01,"6.2223627621905617","8.1984598959659252","8.5155245440290948","16.083887166706013","9.1186883578970779","0.34379841747088685","1.8135941195168481","0.30433215642727435","4.1576231346123702","4.5635696091303801","0.87357964086961815","1.6820116293232132"
2004-10-01,"6.5651095461658873","8.7684320422535222","8.2825631385572329","14.951194254697775","9.0367322851561092","0.31708226395409717","2.0115819384855849","0.19258201052314541","3.8561260041731895","4.6220094336063555","0.88923308836700343","1.5825881683333007"
2004-11-01,"6.395722709656174","8.5937416038917291","7.6436836212671642","13.563835106828481","8.7705971389415538","7.2088255980057858E-2","1.902304219723594","-5.3392865840339893E-2","3.3208993366983535","4.5531012424069317","0.81678993327401805","1.3403307717905451"
2004-12-01,"6.3721982498241809","8.5122495265928286","7.2161146439125021","12.246797384436569","8.5819250215419611","1.8272702878340364E-2","1.9785616590151545","-0.22887473293572699","2.7815081881318191","4.4599494298302345","0.81284504661216506","1.162565258317529"
2005-01-01,"6.6873130918331301","9.0045750196565528","6.7272517706985049","10.921242545507459","8.4645321038985699","-0.19990502182162073","2.0692775706553812","-0.44872240713024797","2.2943201491998746","4.465549798103563","0.73668682307321443","0.94539144049943291"
2005-02-01,"6.9482835739985731","9.4682286048728077","6.3518528705219985","9.5670394500500855","8.4010088238540295","-0.31119765310419101","2.1396173911756522","-0.57063739786857115","1.9075968176465987","4.4544529743873351","0.69855445264777238","0.79079941517718877"
2005-03-01,"7.1518238623173316","9.8820651300970557","6.6997309618163419","8.1424998632207757","8.3043308568507026","-0.487440541846275","2.1587541778158581","-0.80976368263530019","1.4637549080505121","4.1520596996701853","0.46372829755070022","0.55164032456999212"
2005-04-01,"7.1355799872351033","10.235894127841524","6.1830319147221848","7.9867186502492249","8.2219704353172745","-0.69492915325014104","2.1287513607721742","-1.0200697507174796","1.0681837867150477","3.9080323196794886","0.23428325954005366","0.33348372636434226"
2005-05-01,"7.0885578317907925","10.303247572113891","5.7648890517343787","7.7503132869206182","8.0093012610963772","-0.77251286370456462","2.02708548657351","-1.2494029219900589","0.79021190034254851","3.7057373233444935","-0.17292382724704319","7.0020162979914119E-2"
2005-06-01,"6.9910577706005368","10.397016847953868","5.8569942428819388","7.6142175997197858","7.7385550408213986","-1.0081192408745034","1.9833071321778251","-1.4895505184876201","0.3750576159186253","3.4890696574638058","-0.42873654650267873","-0.22065380584409419"
2005-07-01,"6.7339420057095518","10.395421196171133","5.7554798439095034","7.5513934260709847","7.6014182594944959","-1.147844414726173","1.9105984839557166","-1.6655714302463531","0.19434036800337517","3.6149472339962685","-0.66023854273857763","-0.42723594482348526"
