"MES","STME01","STME02","STME03","STME04","STME05","STME06","STME07","STME08","STME09","STME10","STME11","STME12","STME13","STME14"
1999-12-01,"6","9.6445399999999992","3.0721799999999999","0.91603000000000001","5.8349999999999999E-2","3.0999999999999999E-3","0.14895","3.7407699999999999","0.70147000000000004","3.6110000000000003E-2","5.98102","3.3332999999999999","1.133E-2","1.7039500000000001"
2000-01-01,"6.03","9.7578399999999998","3.0027499999999998","0.89597000000000004","5.6219999999999999E-2","3.0300000000000001E-3","0.14554","3.6472899999999999","0.68072999999999995","3.5290000000000002E-2","6.0130699999999999","3.3519199999999998","1.162E-2","1.72305"
2000-02-01,"6.06","9.6199100000000008","2.9961799999999998","0.89336000000000004","5.534E-2","3.0300000000000001E-3","0.14527000000000001","3.6482199999999998","0.69571000000000005","3.5220000000000001E-2","6.0410300000000001","3.4009","1.205E-2","1.74769"
2000-03-01,"6.1","9.7030700000000003","2.9908000000000001","0.89176","5.7709999999999997E-2","3.0200000000000001E-3","0.14501","3.6719400000000002","0.70516999999999996","3.5159999999999997E-2","6.0809699999999998","3.4782600000000001","1.213E-2","1.7436199999999999"
2000-04-01,"6.13","9.6195799999999991","2.8425199999999999","0.84753999999999996","5.7459999999999997E-2","2.8700000000000002E-3","0.13782","3.5381300000000002","0.68193999999999999","3.3410000000000002E-2","6.11104","3.3812899999999999","1.187E-2","1.7557499999999999"
2000-05-01,"6.16","9.1860499999999998","2.9279899999999999","0.87304000000000004","5.765E-2","2.96E-3","0.14196","3.6419700000000002","0.68198999999999999","3.4419999999999999E-2","6.1409200000000004","3.35886","1.17E-2","1.7473000000000001"
2000-06-01,"6.19","9.3691499999999994","3.0041899999999999","0.89575000000000005","5.8770000000000003E-2","3.0300000000000001E-3","0.14566000000000001","3.7736999999999998","0.69774999999999998","3.5310000000000001E-2","6.1711099999999997","3.41072","1.146E-2","1.78118"
2000-07-01,"6.22","9.32728","2.9271500000000001","0.87278","5.6599999999999998E-2","2.96E-3","0.14191999999999999","3.6992799999999999","0.67576000000000003","3.4410000000000003E-2","6.2033500000000004","3.4675600000000002","1.112E-2","1.78494"
2000-08-01,"6.25","9.0814699999999995","2.84449","0.84814000000000001","5.8529999999999999E-2","2.8700000000000002E-3","0.13791","3.5955400000000002","0.66022999999999998","3.3439999999999998E-2","6.2313099999999997","3.4193199999999999","1.107E-2","1.7941"
2000-09-01,"6.29","9.1705000000000005","2.8182299999999998","0.84028999999999998","5.8340000000000003E-2","2.8500000000000001E-3","0.13664000000000001","3.6154999999999999","0.64505999999999997","3.313E-2","6.2706299999999997","3.4020600000000001","1.1129999999999999E-2","1.78074"
2000-10-01,"6.32","9.1501199999999994","2.71739","0.81022000000000005","5.7849999999999999E-2","2.7399999999999998E-3","0.13175000000000001","3.4895299999999998","0.62536999999999998","3.1940000000000003E-2","6.30145","3.30016","1.1050000000000001E-2","1.7907900000000001"
2000-11-01,"6.36","9.0306999999999995","2.78485","0.83033999999999997","5.7090000000000002E-2","2.81E-3","0.13500999999999999","3.6092499999999998","0.62648000000000004","3.2730000000000002E-2","6.3411400000000002","3.2429700000000001","1.094E-2","1.79603"
2000-12-01,"6.4","9.5202399999999994","3.0294400000000001","0.90327000000000002","5.5789999999999999E-2","3.5999999999999999E-3","0.14677999999999999","3.9011900000000002","0.66861999999999999","3.5589999999999997E-2","6.3904199999999998","3.2717900000000002","1.115E-2","1.8086500000000001"
2001-01-01,"6.43","9.3739799999999995","3.0407999999999999","0.90664999999999996","5.5359999999999999E-2","3.0699999999999998E-3","0.14743999999999999","3.8971300000000002","0.67312000000000005","3.5749999999999997E-2","6.4110300000000002","3.2620900000000002","1.141E-2","1.8132999999999999"
2001-02-01,"6.45","9.3556500000000007","3.0263100000000001","0.90232000000000001","5.552E-2","3.0500000000000002E-3","0.14663000000000001","3.8535300000000001","0.65253000000000005","3.5549999999999998E-2","6.4327699999999997","3.1566000000000001","1.1259999999999999E-2","1.82334"
2001-03-01,"6.49","9.2320399999999996","2.9187500000000002","0.87026000000000003","5.2359999999999997E-2","2.9499999999999999E-3","0.14149","3.7437800000000001","0.62282999999999999","3.431E-2","6.4732399999999997","3.0093000000000001","1.091E-2","1.8365"
