"MES","BCFP01","BCFP02","BCFP03","BCFP04","BCFP05","BCFP06","BCFP07","BCFP08","BCFP09","BCFP10","BCFP11","BCFP12","BCFP13","BCFP14","BCFP15","BCFP16","BCFP17","BCFP18","BCFP19","BCFP20","BCFP21","BCFP22","BCFP23","BCFP24","BCFP25","BCFP26","BCFP27","BCFP28","BCFP29","BCFP30","BCFP31","BCFP32"
2011-03-01,"36007887.858862497","20716928.908209998","15290958.950652497","9853480.1237074975","5427487.1597450003","580.24580000000014","9411.4213999999993","47781695.524055503","23533313.720720004","14169172.070607506","9024951.6729124989","2.0886499999999999","339187.88854999997","23427425.914072502","11387950.83141","11519479.587772502","14.250140000000002","519981.24474999995","820955.88926300011","306749.42046749999","513397.43521150004","764.61818400000004","44.415399999999991","31890598.261255804","26991090.101860002","1899594.9385728952","2896675.4841649081","103237.73665800001","387183.66103000008","1783540.0308957885","11570969.018627755","18738054.114248332"
2011-04-01,"35705659.998255998","21172658.701979998","14533001.296276003","8776061.3181810006","5750514.3115250012","269.75061000000005","6155.9159600000003","47634810.767800897","23417299.016907997","14057240.145261001","9080660.4317669999","2.0856300000000001","279396.35425000003","23305612.000380002","11484952.706980001","11327932.069750002","11.383649999999999","492715.83999999997","911899.75051289995","407996.79328899999","503094.66611389996","763.51005000000009","44.781059999999997","34058743.332662851","28862876.950369999","1971261.9395099317","3128046.9268904226","96557.5158925","384343.27089810005","1761363.0564996698","11439876.571115177","20208217.185886193"
2011-05-01,"35823089.207131997","21479375.922189996","14343713.284941997","8704953.3143644966","5632646.7924975008","847.81789000000003","5265.3601900000003","48114092.29813841","23701612.294300999","14232886.055584501","9257747.4399564993","2.0856300000000001","210976.71313000002","23575301.215340003","11889217.67049","11189971.804140002","14.231570000000001","496097.50913999998","837178.7884974","327554.73605050001","508857.77116189996","721.09282499999995","45.188459999999999","34896534.108717509","29962043.806950003","1997436.9476034474","2847495.8382239584","89557.515940099998","387810.81430209993","1729807.3953427395","11871902.785866585","19879146.12552727"
2011-06-01,"37107661.088871501","22239756.138600003","14867904.950271498","9060749.2007214986","5802797.2744299993","168.36051999999998","4190.1145999999999","49491202.996935308","24705435.224864002","15210858.972641502","9314570.0397225022","2.0825900000000002","180004.12991000002","23914927.044009503","12351319.581329999","11062749.977509499","13.597630000000001","500843.88753999997","870840.72806180001","383887.50049349992","486229.94890630001","677.69059200000004","45.588070000000002","34232568.568384238","28930105.185970005","2109353.255836857","3104238.1969629754","88871.929614399996","388495.9626728","1712785.8943236335","11917162.493586175","19783738.286413167"
2011-07-01,"37470887.397171803","22681374.299830001","14789513.097341802","8738967.8489263002","6046975.5423655007","164.60287","3405.1031800000001","49898026.064605199","24586734.194418196","15133739.729802299","9359344.7004758995","2.0795599999999999","93647.684580000001","24526478.941291802","13137782.724810001","10885983.683821799","13.57882","502698.95383999991","784812.92889520002","314668.4952527","469667.06621269998","431.39980980000001","45.967619999999997","36435007.782301806","30979213.938590005","2167619.1601243522","3202173.6045917482","86001.078995699994","389406.13808310003","1702480.8659998686","11911799.285900448","20531050.642296888"
2011-08-01,"38190646.566401005","22914441.058400001","15276205.508001","9360059.9237684999","5912506.2000324996","173.92525999999998","3465.45894","51074458.878112204","25227373.613319002","15993762.056258503","9154938.4151304998","2.0795599999999999","78671.06237","25012918.439810999","13774492.01475","10737441.639911","13.57977","500971.20538","834166.82498219993","344291.60388650006","489448.17329469998","380.64689099999998","46.400909999999996","37312428.765915997","31807404.114079993","2203542.9914936526","3216626.3546567471","84855.305685599989","389947.18819090002","1712341.6871816833","12410323.730939213","22639694.967019744"
2011-09-01,"38309584.206441998","23192246.391119998","15117337.815321997","9355573.2152619977","5758187.3723200001","210.55326999999997","3366.6744699999999","52420752.263219699","25868060.958707999","16679727.028401999","9138167.0715260003","2.0795599999999999","50164.779219999997","25683700.318131998","14676269.069549998","10503365.898402","13.580729999999999","504051.76945000002","868990.98637970001","354887.44966800004","513718.39036969998","338.35279200000002","46.793549999999996","37751561.623276502","32219235.953069996","2203958.3171403422","3243214.4492168655","85152.903849299997","394753.37776420004","1681305.9872449406","12178310.5507944","19635140.446837183"
2011-10-01,"39034533.150743","23424677.098189998","15609856.052553","9825213.2409754992","5780971.9640575005","247.38326999999998","3423.46425","52739148.122367203","25671416.220057003","16509227.956655502","9124160.6604014989","2.0795599999999999","38025.523439999997","26064248.767852996","15200322.336939998","10375958.137573","13.581689999999998","487954.71164999995","1003483.1344572002","497523.3091595","505616.59628470009","296.05869299999995","47.170319999999997","38567236.841622852","31813719.959140006","2249979.7539530355","4409761.8076994158","93775.3208304","395902.34919670003","1679656.1613345095","12434352.891718604","21907296.825572815"
2011-11-01,"40078367.743338995","23472053.859399997","16606313.883938996","10758093.935658997","5844966.3759399997","336.90657999999996","2916.6657600000003","54253408.710571602","26206453.121177997","16971075.064568996","9202607.2962389998","2.0765500000000001","32768.683819999998","26826750.616381001","16039384.107719997","10328267.168051001","10.72841","459088.61220000003","1220204.9730126003","615615.31478100002","604288.7390356001","253.39521599999998","47.523979999999995","39188811.970319912","34286529.227120005","     408.598(6)","4400348.6951870779","93335.664245599997","398900.66740600002","1710763.0404007181","12912626.87573299","20781557.849190913"
2011-12-01,"42821419.856407493","25813629.415529996","17007790.440877497","11275803.339162497","5728778.0252149999","306.21055000000001","2902.8659500000003","56493707.375014096","27648191.645879999","18227863.6273125","9386845.1318274997","2.0765500000000001","33480.810190000004","27449787.239617497","16707491.460649997","10335651.3339375","10.72939","406633.71564000001","1395728.4895166","817961.1296025","577508.35580410005","211.16267999999999","47.841430000000003","37196622.446096547","29257513.847570002","2346826.3988237726","5498946.5354571743","93335.664245599997","400137.36597959994","1651855.6153785205","12833596.985600922","19063824.639521167"
