"MES","AMBD01","AMBD02","AMBD03","AMBD04","AMBD05","AMBD06","AMBD07","AMBD08","AMBD09","AMBD10","AMBD11","AMBD12","AMBD13","AMBD14","AMBD15","AMBD16","AMBD17","AMBD18","AMBD19","AMBD20","AMBD21","AMBD22","AMBD23","AMBD24","AMBD25","AMBD26","AMBD27","AMBD28","AMBD29","AMBD30","AMBD31","AMBD32","AMBD33"
2010-04-01,"30157232.277248345","58828476.171528399","-14535737.46891183","1170983.7520394996","7101085.8653140338","7096207.4046526328","4878.4606613999995","-8205404.3120936891","30157232.277248345","16364132.443359997","13793099.833888352","170.00161100000003","12054727.551950648","-419.57241329999971","1738621.8527400009","10513347.353730001","169.98558000000003","8774516.3859199993","39.129490000000004","1738621.8527400009","260083.53170904962","260083.53170904962","3018141.1754000001","1.6031E-2","3019209.8273701998","-1068.6680011999999","1527.7730492999999","0","917.8069514","609.96609790000002","27137563.328799047","18102754.296099998","-40725721.875428393"
2010-05-01,"30403324.39464752","58936172.482151896","-14921374.404462183","1166095.6339952999","7017797.4478651565","7012918.9319316568","4878.5159334999998","-7759771.8691723254","30403324.394647535","16657145.177979996","13746179.216667537","217.7615213","11809634.507465536","-4890.2265993000001","1941217.1742800009","10766871.815930001","217.74556000000001","8825397.7666000016","39.129490000000004","1941217.1742800009","282885.63124783727","282885.63124783727","2694893.9964403999","1.5961299999999998E-2","2700433.3026663","-5539.3221871999995","1527.7730492999999","0","917.8069514","609.96609790000002","27706902.625157837","18598362.352259997","-40337810.129891902"
2010-06-01,"29903289.470033254","59505108.00685209","-16051877.890473671","1186149.2433835999","6894359.8721244764","6888087.4991456745","6272.3729788000001","-7841730.017604284","29903289.470033254","16848030.620670002","13055258.849363256","521.69163130000004","10790045.223302858","990.69500909999999","2263701.2394199967","10008424.416269997","521.67567000000008","7744162.3716900004","39.129490000000004","2263701.2394199967","254110.36267145813","254110.36267145813","2791196.2973724999","1.5961299999999998E-2","2790854.68199","341.59942119999999","1527.7730492999999","0","917.8069514","609.96609790000002","27110565.399611454","19111731.860089999","-40393376.146762095"
2010-07-01,"28898700.552043099","60059586.213761203","-17451955.82385318","1149029.1973255998","6715767.0708224829","6710191.5596285826","5575.5111938999999","-8142191.9643680453","28898700.552043099","17128771.923070002","11769928.628973093","515.46723099999997","9626965.8491690941","-2312.4983770000003","2144759.8109499998","8841676.8090599999","515.45119999999997","6696353.57742","47.96949","2144759.8109499998","251872.78154799397","251872.78154799397","2674851.2653157995","1.6031E-2","2677821.6832496994","-2970.4339649000003","1527.7730492999999","0","917.8069514","609.96609790000002","26222321.513677999","19273531.734020002","-40786054.479741201"
2010-08-01,"28619650.20144596","60898116.207635291","-18695844.246511422","1162700.4061178998","6616041.7353618108","6609769.2742125103","6272.4611492999993","-8129280.4304340053","28619650.20144596","17032519.319649994","11587130.881795965","2037.6095009999999","9383491.3275554627","-9526.1610005000002","2211128.1057400033","8604347.3465400022","2037.59347","6391133.3378399992","48.309490000000004","2211128.1057400033","248268.46849886398","248268.46849886398","2732987.2937078001","1.6031E-2","2743171.7142652003","-10184.436588399998","1527.7730492999999","0","917.8069514","609.96609790000002","25885135.134688858","19243647.425389998","-41654468.782245301"
2010-09-01,"28656142.154223885","63137501.550585389","-19622556.781357232","1181413.0452564997","6831080.0028989306","6825504.5735328309","5575.4293661000002","-9209135.6573618352","28656142.154803887","17150346.000349998","11505796.154453889","283.82388129999998","9273522.6653849892","7969.1232276000001","2224020.5419599996","8352654.8363100011","283.80791999999997","6121214.2369400011","7136.2494900000002","2224020.5419599996","246166.3827636895","246166.3827636895","2905447.1623309003","1.5961299999999998E-2","2905224.2387299002","222.90763969999998","1527.7730492999999","0","917.8069514","609.96609790000002","25749167.219423689","19374366.541729998","-43763135.008855388"
2010-10-01,"28178482.855580799","64177562.386113293","-20206230.807064489","1158325.5548749","7297222.6736949282","7290950.2693511276","6272.4043437999999","-9653951.6046479791","28178482.855580799","17589633.625610001","10588849.2299708","2165.1412912999995","8455941.7436491027","-237.82846959999992","2130980.1734999977","7247625.9527099971","2165.1253299999994","5114414.4043900007","66.249489999999994","2130980.1734999977","237546.62855250083","237546.62855250083","3102148.8756589992","1.5961299999999998E-2","3103062.9037551992","-914.04405750000001","1527.7730492999999","0","917.8069514","609.96609790000002","25074806.206872497","19720613.799109999","-44456948.587003298"
2010-11-01,"28789856.249272313","64544092.582192801","-20380590.815921824","1158087.9419219999","7563933.3569476232","7557669.9240484228","6263.4328992000001","-8967800.1019730438","28789856.249332305","18243160.44562","10546695.803712305","2452.4468783999992","8503834.098011503","-831.57386759999986","2041240.8326899994","7214076.0369200008","2452.4309399999993","5170315.8438000008","66.929490000000001","2041240.8326899994","234874.65833950057","234874.65833950057","3096219.5273304009","1.5938399999999998E-2","3097727.1057168008","-1507.5943247999999","1525.5811223999999","0","916.49015519999989","609.09096720000014","25692111.140879501","20284401.278250001","-44259691.303942807"
2010-12-01,"32577475.381140742","67523803.824118003","-19033717.018390909","1292932.4461788","8033229.5841859747","8028372.133486975","4857.450699","-9172314.2865791824","32577475.381140735","22484783.986719999","10092691.394420736","2079.5367632000002","7988892.3572809342","881.21952659999999","2100838.2808500007","8624557.0091399997","2079.5209399999999","6521589.5378599996","49.669490000000003","2100838.2808500007","256637.3460439342","256637.3460439342","1210412.4737338002","1.5823200000000003E-2","1210238.1108142","174.3470964","1084.565503","0","427.36256280000003","657.20294020000006","31365978.341903932","24585622.26757","-42938181.556548007"
2011-01-01,"32958579.074453227","69511895.211411402","-20395683.250634994","1165866.7598908001","8405552.5168042704","8401389.0511148702","4163.4656894000009","-8917947.1294097155","32958579.074453212","21237391.72295","11721187.351503216","3546.3456519999995","9220488.4670490175","123789.80089219999","2373362.7379099987","8617750.6105799992","3546.3296899999996","6114071.5334899994","126770.00949","2373362.7379099987","251430.48212261699","251430.48212261699","2816221.6933670002","1.5962E-2","2819859.0889430004","-3637.4115380000007","35784.565433600001","0","35127.362493399996","657.20294020000006","30106572.815652616","23610754.460859999","-45901140.75055141"
