"MES","AMCM01","AMCM02","AMCM03","AMCM04","AMCM05","AMCM06","AMCM07","AMCM08","AMCM09","AMCM10","AMCM11","AMCM12","AMCM13","AMCM14","AMCM15","AMCM16","AMCM17","AMCM18","AMCM19","AMCM20","AMCM21","AMCM22","AMCM23","AMCM24"
2010-02-01,"   19.3246352","  208.9287130","  189.6040778","37252.3577178"," 9959.8826868","   15.0008771"," 7526.7864830"," 2418.0953267","    0.0000000"," 4009.5732277"," 4009.5732277","    0.0000000","17959.0336545","17959.0336545","    0.0000000"," 5323.8681488","   69.5564961","    0.5071834"," 5056.3551672","  197.4493020","37271.6823365","36537.9680271","  749.3392926","  -15.6249832"
2010-03-01,"   48.558795","  197.231678","  148.672883","37528.358712"," 9988.266482","   13.843381"," 7456.928088"," 2517.495013","    0.000000"," 3870.206575"," 3870.206575","    0.000000","18294.831441","18294.831441","    0.000000"," 5375.054214","   85.229093","    4.172675"," 5116.921317","  168.731129","37576.917479","36848.122360","  768.414393","  -39.619273"
2010-04-01,"   17.822470","  201.161791","  183.339321","38172.875651","10309.097120","    7.966484"," 7761.203226"," 2539.927410","    0.000000"," 3456.244435"," 3456.244435","    0.000000","19175.757900","19175.757900","    0.000000"," 5231.776196","   82.558903","    4.041947"," 4979.583910","  165.591436","38190.698130","37522.361238","  708.605410","  -40.268518"
2010-05-01,"   13.603666","  199.667845","  186.064179","38672.687112","10609.375120","    7.123814"," 8056.270218"," 2545.981088","    0.000000"," 3305.673564"," 3305.673564","    0.000000","19463.377125","19463.377125","    0.000000"," 5294.261303","   82.828157","    4.055129"," 5029.137516","  178.240501","38686.290753","38028.201336","  700.948834","  -42.859418"
2010-06-01,"   13.538110","  184.284303","  170.746193","39155.917311","10808.184950","    8.146427"," 8201.737836"," 2598.300686","    0.000000"," 3245.705891"," 3245.705891","    0.000000","19620.839954","19620.839954","    0.000000"," 5481.186516","   83.090452","    4.067971"," 5192.638293","  201.389801","39169.455425","38500.351913","  718.724246","  -49.620735"
2010-07-01,"   25.437369","  237.248980","  211.811611","39618.375606","11058.777176","   10.578866"," 8462.733626"," 2585.464684","    0.000000"," 3063.587601"," 3063.587601","    0.000000","19921.151738","19921.151738","    0.000000"," 5574.859091","   83.363252","    4.081327"," 5204.312418","  283.102094","39643.812963","38991.556686","  728.303887","  -76.047610"
2010-08-01,"   27.611723","  241.734593","  214.122871","40103.191975","11423.091778","   10.087879"," 8751.991520"," 2661.012379","    0.000000"," 2835.348872"," 2835.348872","    0.000000","20255.154733","20255.154733","    0.000000"," 5589.596592","   83.637859","    4.094771"," 5223.656027","  278.207936","40130.803699","39441.788548","  751.763146","  -62.747995"
2010-09-01,"   39.870008","  244.160233","  204.290225","40626.042221","11951.721347","    8.151343"," 9336.714123"," 2606.855881","    0.000000"," 2706.601123"," 2706.601123","    0.000000","20308.890617","20308.890617","    0.000000"," 5658.829133","   83.905306","    4.107865"," 5294.421340","  276.394623","40665.912234","39944.324690","  794.509169","  -72.921624"
2010-10-01,"   21.152691","  242.985281","  221.832590","41053.889086","12161.312327","   11.171107"," 9460.170359"," 2689.970861","    0.000000"," 2638.133047"," 2638.133047","    0.000000","20638.407395","20638.407395","    0.000000"," 5616.036316","   81.191021","    3.974978"," 5253.010027","  277.860290","41075.041802","40393.599231","  721.268203","  -39.825632"
2010-11-01,"   33.416895","  232.335545","  198.918651","41507.031008","12557.389027","    7.925886"," 9786.517931"," 2762.945211","    0.000000"," 2569.296301"," 2569.296301","    0.000000","20766.999144","20766.999144","    0.000000"," 5613.346536","   81.330507","    3.981807"," 5250.004391","  278.029832","41540.447938","40895.265787","  726.880463","  -81.698311"
2010-12-01,"   33.416894","  232.335545","  198.918651","41994.366692","12851.506873","    7.925886","10081.311239"," 2762.269747","    0.000000"," 2552.594792"," 2552.594792","    0.000000","20940.698117","20940.698117","    0.000000"," 5649.566912","   81.362228","    3.981807"," 5286.076043","  278.146834","42027.783572","41306.253148","  803.228735","  -81.698311"
2011-01-01,"   33.416944","  232.335594","  198.918651","42467.504329","13176.703546","    7.925886","10404.426514"," 2764.351147","    0.000000"," 2620.674302"," 2620.674302","    0.000000","21014.852019","21014.852019","    0.000000"," 5655.274462","   81.629457","    3.981807"," 5291.367785","  278.295413","42500.921273","41785.994975","  796.624610","  -81.698311"
2011-02-01,"   33.417895","  232.336545","  198.918651","42990.195337","13706.268069","    7.925886","10760.395617"," 2937.946566","    0.000000"," 2638.662687"," 2638.662687","    0.000000","20972.387668","20972.387668","    0.000000"," 5672.876913","   81.636358","    3.981807"," 5310.269643","  276.989105","43023.613232","42287.512649","  817.798894","  -81.698311"
2011-03-01,"   33.420043","  232.338694","  198.918651","43292.030999","14054.094554","    7.925886","11106.999180"," 2939.169489","    0.000000"," 2803.563329"," 2803.563329","    0.000000","20720.013123","20720.013123","    0.000000"," 5714.359992","   81.728833","    3.981807"," 5346.817974","  281.831379","43325.451042","42649.207276","  757.942077","  -81.698311"
2011-04-01,"  102.722989","  333.966229","  231.243240","44158.062373","13762.000000","    5.974574","10803.748964"," 2952.276461","    0.000000"," 2836.505232"," 2836.505232","    0.000000","21875.339333","21875.339333","    0.000000"," 5684.217809","   78.960987","    4.277054"," 5317.349134","  283.630633","44260.785367","43580.293685","  759.206279","  -78.714597"
2011-05-01,"102.73659943999999","333.97983929000003","231.24323985000007","44988.21453315414","13990.705535470004","5.9745741999999993","11029.997338860006","2954.733622409999","0","2848.786559157279","2848.786559157279","0","22440.804884985988","22440.804884985988","0","5707.917553540874","79.217229309999979","4.2770542799999998","5323.8924430576735","300.53082689319996","45090.951132729992","44430.474802569988","739.19092679999903","-78.714596639999982"
2011-06-01,"102.74347625999999","333.98671611000003","231.24323985000007","45660.338565056765","14408.015711559992","5.9745741999999993","11366.550440799991","3035.4906965600017","0","2795.4832691688207","2795.4832691688207","0","22668.814077687079","22668.814077687079","0","5788.0255066408681","79.351454209999943","4.2770542799999998","5357.8865473276674","346.51045082319996","45763.082041409994","45139.564717449997","702.23192059999906","-78.714596639999982"
2011-07-01,"   94.160912","  345.748601","  251.587690","46381.377176","14682.882136","    7.641993","11617.243359"," 3057.996784","    0.000000"," 2802.475395"," 2802.475395","    0.000000","22749.042254","22749.042254","    0.000000"," 6146.977390","   79.494913","    4.305975"," 5722.482967","  340.693535","46475.538088","45911.348820","  655.216506","  -91.027238"
2011-08-01,"   99.558294","  361.246584","  261.688290","47017.756999","15414.327293","    8.512358","12307.811634"," 3098.003300","    0.000000"," 2754.234505"," 2754.234505","    0.000000","22730.044137","22730.044137","    0.000000"," 6119.151064","   79.755424","    4.320086"," 5695.381629","  339.693925","47117.315293","46530.279556","  668.832276","  -81.796539"
2011-09-01,"   57.147675","  293.392468","  236.244793","47766.658420","16226.642082","    6.814048","12706.645165"," 3513.182868","    0.000000"," 2458.096211"," 2458.096211","    0.000000","22711.188368","22711.188368","    0.000000"," 6370.731759","   82.220446","    4.453608"," 5944.043061","  340.014644","47823.806095","47222.330976","  626.392721","  -24.917601"
2011-10-01,"   57.38755","  309.06470","  251.67715","48444.17362","17042.19076","   11.23172","13204.89382"," 3826.06521","    0.00000"," 2397.64658"," 2397.64658","    0.00000","22664.71006","22664.71006","    0.00000"," 6339.62621","   79.48337","    4.30535"," 5919.21137","  336.62612","48501.56116","47890.32723","  641.55397","  -30.32004"
2011-11-01,"   16.177298","  280.123414","  263.946117","49180.918586","17970.086877","    8.828747","13248.500202"," 4712.757928","    0.000000"," 2264.781870"," 2264.781870","    0.000000","22577.644442","22577.644442","    0.000000"," 6368.405397","   79.563597","    5.272310"," 5941.357530","  342.211960","49197.095883","48600.564178","  693.623280","  -97.091575"
