"MES","SEPU01","SEPU02","SEPU03","SEPU04","SEPU05","SEPU06","SEPU07","SEPU08","SEPU09","SEPU10","SEPU11"
2000-12-01,"275.73","4.3438499999999998","2236.4","2735.4","479.51","35.136899999999997","5048.6400000000003","215.31769852978582","395.46","985.13464115998534","514.66837535964214"
2001-01-01,,"1.0584","2265.6","2588.9","923","33.615499999999997","5021.3","213.22727272727275","382.37","630.52534135616759","393.3583401096451"
2001-02-01,"320.41000000000003","1.25685","2285.1999999999998","2300.4","499.52","12.8293","4985.3","219.57686272387858","421.07","665.20076481835565","427.73735607486327"
2001-03-01,"318.39","1.2788999999999999","2312.1999999999998","2892.1","727.55","13.557700000000001","5058.3999999999996","218.61225045526493","380.82","747.58940559013786","423.9915249007467"
2001-04-01,"292.85000000000002","1.1686500000000002","2323.1","2418.3000000000002","944.02","9.6484000000000005","5467.9","219.82078044579325","424.18","696.30165040356587","446.10522401933446"
2001-05-01,"288.93","1.3891500000000001","2155.9","2885.8","679.41","8.1633999999999993","5563.64","219.83464918814241","403.29","801.62308385933284","378.97381902478298"
2001-06-01,"295.26","1.3671","2124.9","3292.1","789.86","22.4297","4984.03","218.88207129919545","387.13","864.07611737427032","347.54603126852527"
2001-07-01,"308.77999999999997","1.2127500000000002","2041.8","2954.5","619.27","59.0929","5006.9799999999996","217.49583367483541","429.15","889.70274064579132","370.42377849504385"
2001-08-01,"352.11","1.8081","1910.7","2998","760.03","26.5472","4845.7700000000004","224.72078554830972","450.37","737.26812816188874","397.66849792308722"
2001-09-01,"350.03","1.323","1852.5","2877.6","772.68","11.7614","5303.22","217.93849658314352","458.25","547.05219677055948","425.78451198776571"
2001-10-01,"349.72","1.3450500000000001","1765.3","3612.6","692.11","34.355699999999999","5014.21","202.23726226578034","427.54","528.45366967921348","449.11343688024039"
2001-11-01,"360.69","1.5434999999999999","1702.3","1819.4","820.06","23.756799999999998","5040.8500000000004","207.68452581675362","443.7","637.309431395302","464.26921461570771"
2001-12-01,"345.11","1.60965","1654","1931.8","805.73","47.998800000000003","5865.67","292.16844168235383","645.98","797.12907260706413","463.18688333242142"
2002-01-01,"317.66994","1.6010663321310961","1618.3","2160.3145","997.98670000000004","23.817799999999998","5400.0837000000001","216.9306346426423","491.09059999999999","676.72978444682633","434.86506543531266"
2002-02-01,"329.64088500000003","1.3108648328893604","1624","2250.1201999999998","870.26149999999996","111.23050000000001","5876.67","208.00963733448157","503.99149999999997","706.98824058122989","397.94512242175699"
2002-03-01,"299.92630500000001","1.4626592677876855","1802.8","2410.8217","917.37249999999995","12.1287","5388.0465000000004","198.86144414330178","552.36130000000003","617.96656475639111","426.37283236994222"
2002-04-01,"272.24694","1.0160575858250278","1910.5","2808.7950000000001","679.56870000000004","29.610199999999999","5463.3114999999998","211.18854926091899","483.35899999999998","727.33882695104217","371.2390637705866"
2002-05-01,"319.255335","1.2424654263197792","1813.6","2323.3056999999999","733.89459999999997","24.921199999999999","5428.9183000000003","206.23827669950836","481.63749999999999","815.95092024539872","341.58253426189663"
2002-06-01,"291.94641000000001","1.305269775060043","1919.9","2386.3110999999999","813.90300000000002","45.337499999999999","6013.9790000000003","209.11322267309356","486.19760000000002","718.1415929203539","363.22474226804127"
2002-07-01,"291.269475","1.1928419983359533","1959.4","2074.6855999999998","832.78909999999996","38.060499999999998","6053.1859000000004","208.76742156006944","529.99789999999996","684.07467435020112","365.53877370218481"
2002-08-01,"291.38193000000001","1.4571711651910282","2104","2296.8654000000001","874.97529999999995","21.8188","5675.9578000000001","204.30239064251839","512.15009999999995","499.53259532595325","354.09042487662418"
2002-09-01,"283.43290500000001","1.579826149022407","2115.6999999999998","2246.1122","964.28269999999998","21.347100000000001","6481.4748","200.23399354020421","533.89930000000004","445.36580245617716","423.6282915918257"
2002-10-01,"364.99365","1.3942364300011776","2166.3000000000002","2247.3027999999999","841.63729999999998","42.854900000000001","6352.4787999999999","196.3107019981675","634.25450000000001","509.95516376624363","399.76657051949212"
2002-11-01,"280.87731000000002","1.2095548201318014","1991.7","2217.2163999999998","980.83920000000001","29.388100000000001","6459.9630999999999","190.98955830737748","565.33069999999998","587.84885156828852","476.41431634504374"
2002-12-01,"279.89608500000003","1.2720408800734047","2172.1","2907.6599000000001","894.81740000000002","24.860099999999999","5513.4232000000002","196.77250915903826","622.77080000000001","733.31845570185226","386.74947009766055"
2003-01-01,"278.39381850000001","1.4310617407222501","2176.2608252674477","2274.0399385560677","768.32340475978788","41.655954999999999","6317.1","188.36409419465443","500.28149999999999","951.06739752896158","353.24595574830653"
2003-02-01,"275.87703149999999","1.0860716606330643","2181.3978787054666","1881.4737912165156","878.76756366829761","39.450156","6761.2","196.00069295159497","528.85260000000005","1257.2512827609573","410.03773482154804"
2003-03-01,"268.96501799999999","1.2656771799628943","2282.022596366859","2185.7808056712352","827.150071606241","28.58372","6546.4958800000004","196.46287460336634","522.09","877.04932288574207","463.32234415462176"
2003-04-01,"267.19330050000002","1.1860995184590692","2249.1573033707864","2198.3729147834661","836.55183068129145","13.42262","6173.8985599999996","207.80266791862587","588.03292099999999","723.20440972314509","494.07241522193647"
2003-05-01,"258.17837850000001","0.99740801618409414","2154.1306189838324","1815.4780210513786","761.99319392526718","7.232075","6801.3869500000001","206.91209616829448","536.05399999999997","937.96856529995603","340.74507238286247"
2003-06-01,"233.50972050000001","1.1741411406329327","2198.3144858951509","2002.9595527786914","715.71988478065839","28.779260000000001","7191.92","209.11477273878165","554.37180000000001","772.60305797060676","364.06380924768928"
2003-07-01,"249.59852505000003","1.3378824075147862","2224.1910242818917","1722.1772233921918","847.56377844173744","46.023099999999999","6775.71","206.81361387705692","546.45270000000005","618.67493239717908","323.17904237379338"
2003-08-01,"245.96554499999999","1.7002198364008181","2277.4380073390416","1828.0769668678126","708.84172294421433","26.8885991","6584.1884","201.97620312646501","562.99649999999997","703.77399956046588","373.54649837207813"
2003-09-01,"246.04051499999997","1.6126702469272507","2394.5075366508363","2309.6327439099787","533.46353188612625","36.981034399999999","6767.94","202.77270054367091","546.80830000000003","745.86747440891838","414.18461156559641"
2003-10-01,"338.19848999999999","1.764572258841874","2447.3451327433627","1924.0135815478282","707.09099880171993","58.884125036","7228.8850000000002","200.27694239477765","530.4615","493.76840889651862","392.80910538588415"
2003-11-01,"302.17981499999996","1.753106799754651","2615.6558988764041","1990.8329808976148","633.9678239585561","46.316816799999998","7291.2407000000003","219.75086653075704","578.01919999999996","680.91706830749922","445.92229708824402"
2003-12-01,"227.35534500000003","1.5240336907326282","2588.8506443612923","1970.5468199953064","728.39943342776201","16.608465500000001","7124.3714","223.87166242341061","569.03620000000001","781.90846590536989","386.94008140324996"
2004-01-01,"255.98065500000001","1.8188551205336896","2933.307751343054","1948.475740661228","670.94573643410865","24.279295699999999","7291.223","232.70868849524805","545.38850000000002","628.41198767852188","348.67740854705073"
2004-02-01,"199.5966","1.7939008828803973","2745","2109.6960230686054","763.20884336747429","16.069960699999999","5878.2415000000001","222.92231255645885","533.01","652.71188426065817","386.38587845771821"
2004-03-01,"226.76200500000002","1.2277977161500817","3127.7702632400374","1988.1052730167648","687.69466397108374","29.3236992","7339.2061999999996","252.89067702744205","607.71730000000002","672.81938324028522","496.05786304331048"
2004-04-01,"247.86405000000002","1.5764949748743722","3027.8022594343406","1717.2165234266704","458.19251229858423","12.3251145","7643.57","254.39928727947725","648.14469999999994","800.61705951310148","430.89381097848883"
2004-05-01,"221.93545499999999","1.4319503862608107","3003.8627700127067","2003.0273277695958","651.54920330294681","31.620234799999999","7292.53","268.11909738909895","611.08600000000001","930.05208277568511","471.13238712330281"
2004-06-01,"246.36685500000004","1.5215514700881827","2923.1166150670792","1715.1506202008268","571.49668874172187","22.1290418","7449.5","266.00421811146344","643.64509999999996","784.26528586796155","380.45015193981982"
2004-07-01,"239.94810000000001","1.5824582376845762","3360.3104745138835","1736.0385779510593","555.41058502556314","38.9419659","7414","254.48076221435616","656.22149999999999","669.54768159956416","411.08711999400356"
2004-08-01,"251.92124999999999","1.5937047914082259","3841.1052378166532","1978.4778373762442","455.1592797783934","33.678929199999999","7467.04","236.65235725075263","597.45749999999998","714.8252968038322","417.6645040559257"
2004-09-01,"232.07845500000002","1.8011028537002978","4296.4884155045575","2029.3008413112852","557.45137550376717","46.2824144","7708.4706999999999","240.94526041131141","606.35680000000002","609.39386926593568","474.20019262821046"
2004-10-01,"273.25021499999997","1.7716862764858534","4744.4044666228765","1999.379157427938","575.67470195205044","48.432754099999997","7774.3966","210.10999218145835","613.82230000000004","570.52485774862271","517.22156643204175"
2004-11-01,"332.20750500000003","1.7107736180717403","4715.0123762376243","2183.9970041193355","616.60013915845752","44.053287699999998","7769.0690999999997","187.63273166358908","598.61670000000004","492.91295810040907","444.43507725710998"
2004-12-01,"269.85672","1.9550556861366784","4947.7205439421705","2104.6124583927722","631.09416698436905","33.003016500000001","8218.1115000000009","204.1414033624043","554.07259999999997","629.20628392705203","394.26161812368429"
2005-01-01,"252.36225000000002","1.696175400022228","5814.1102980546129","1594.6496173798118","655.7847157487887","30","7733.5779000000002","203.11827331432895","573.63240041603331","876.20171926635351","390.17681629182459"
2005-02-01,"245.28489678000003","2.0315922343163035","5485.3941002697284","2157.5679213630842","562.78077092387286","31.441424554826618","7751.1036000000004","195.42742991224929","552.01652814645138","805.53768302189246","368.61757916230459"
2005-03-01,"227.43624424500001","2.1418475517415447","4157.1643636500921","2473.6422347557118","681.29056807317215","14.566125290023203","7665.5460000000003","201.26172987031242","589.66678030240621","773.27722499763058","491.46343617475276"
2005-04-01,"260.506243305","1.9271783426327758","4317.832203068313","1724.0007561523105","616.05658039736886","14.069462647444299","7969.9738026000005","202.12143379663496","556.65356994367971","887.75853013405856","481.94445082291116"
2005-05-01,"301.74101999999999","2.1443546829739302","4385.7287230425945","1971.6927655151587","640.10614349829132","16.519491525423728","7626.4916205999998","204.96318979356582","557.28764276191885","771.8167841711545","365.47848136613885"
2005-06-01,"293.6023209","1.8843619718602576","4561.8397460190881","2123.6533694449126","544.19497356495401","25.800641368252272","8160.9159399999999","204.75524475524475","570.92521367960978","950.71319906541567","454.49716002724853"
2005-07-01,"310.28539499999999","2.1821780233578205","4598.8423499628079","1866.1877182838236","508.71795447620013","41.213234515616726","8093.1379999999999","212.80230056541151","530.44950786353934","850.82428492130839","496.74615893438335"
2005-08-01,"317.48827004999998","2.2807816220759207","4556.2441202501823","2050.0174196133635","511.29354452696509","29.531513141107425","7586.0870000000004","224.20202846589746","577.01936864386289","704.58559291998097","491.40714684568024"
2005-09-01,"345.16785555000001","2.5499631021912528","4425.0046835077674","2374.164333645886","546.2489941644161","8.5518061150366496","7918.0870000000004","219.81073633392435","587.62418679923178","639.43303858310264","575.12209402464566"
2005-10-01,"345.20423805000007","2.6083789678871052","5194.9640001741209","1850.2219811564785","563.88503396560282","44.529982895663551","8578.3080000000009","210.98420055546362","613.07679864391287","678.37345091376358","527.24493667250431"
2005-11-01,"333.7047","2.7496828175364465","4814.1255107286843","2076.8299038853352","595.84318170835616","30.750044891362901","8447.8119999999999","205.37987140795173","603.83113458144248","618.83308186347415","537.12409416149944"
