"MES","FOEP01","FOEP02","FOEP03","FOEP04","FOEP05","FOEP06","FOEP07","FOEP08","FOEP09","FOEP10","FOEP11","FOEP12","FOEP13","FOEP14","FOEP15","FOEP16","FOEP17","FOEP18","FOEP19","FOEP20","FOEP21","FOEP22","FOEP23","FOEP24","FOEP25","FOEP26","FOEP27","FOEP28","FOEP29","FOEP30","FOEP31","FOEP32","FOEP33","FOEP34","FOEP35","FOEP36","FOEP37","FOEP38","FOEP39","FOEP40"
2003-10-01,"293.2260870","293.2260870","265.7864040"," 24.7984030","240.9880010"," 13.7047210"," 11.0233970","  2.6813240","  5.9660900","  5.9660900","  0.0000000","  7.7688720","  1.3631710","  0.0000000","  6.4057010","  0.0000000","306.4227220","304.0628330"," 13.8495150","278.5047150","  0.2034923","  0.1546000","  2.5548780","  0.0000000","  4.5370460","  4.2585868","  2.3598890","-10.8367460","-13.1966350"," 13.1966350"," -1.0435500","  0.0000000"," -1.0435500",,"  0.0000000"," 14.2401850","-13.4737500","  0.0000000"," 26.5793360","  1.1345990"
2003-11-01,"283.081361","282.393883","256.596695"," 23.862737","232.733958"," 14.685929"," 11.654735","  3.031194","  4.248337","  4.248337","  0.000000","  6.862922","  0.000000","  0.000000","  6.862922","  0.687478","272.668470","269.736819"," 11.865060","251.843396","  0.000000","  0.000000","  2.256295","  0.000000","  2.949450","  0.822618","  2.931651"," 12.657064"," 10.412891","-10.412891","  0.000000","  0.000000","  0.000000",,"  0.000000","-10.412891","-14.166385","  0.000000","  3.698632","  0.054862"
2003-12-01,"313.108947","312.757405","251.445088"," 30.181131","221.263957"," 15.618556"," 12.533797","  3.084759","  7.620586","  7.620586","  0.000000"," 38.073175","  0.618340","  0.000000"," 37.454835","  0.351542","310.685152","303.279881"," 26.168435","288.730440","  4.286973","  0.481722","  3.284472","  0.000000","  4.846233","-24.518394","  7.405271","  9.477524","  2.423795"," -2.423795"," -5.972175","  0.000000"," -5.972175",,"  0.000000","  3.548380"," 26.427838","  0.000000"," -7.460292","-15.419166"
2004-01-01,"55.820681","55.773685","27.720683000000001","27.720683000000001","0","15.368968000000001","12.141673000000001","3.2272949999999998","3.363883","3.363883","0","9.3201509999999992","2.9876749999999999","0","6.3324759999999998","4.6996000000000003E-2","40.206697769999991","38.275289769999993","11.1752","27.937327","0.83931968999999995","0","0.79945600000000006","0","2.3892950000000002","-4.8653079200000002","1.931408","17.498395230000007","15.613983230000009","-15.613983230000004","-6.2749712300000002","0","-6.2749712300000002",,"0","-9.3390120000000039","43.481493999999998","0","-39.090960000000003","-13.729545999999999"
2004-02-01,"56.785778000000001","56.689194999999998","24.90964","24.90964","0","13.771922999999999","11.240907999999999","2.531015","5.6761619999999997","5.6761619999999997","0","12.331469999999999","0","0","12.331469999999999","9.6583000000000002E-2","60.251425729999994","58.454984729999993","11.639589999999998","36.639226999999998","2.703701E-2","0","3.459568","0","6.5578850000000006","0.13167772000000003","1.796441","-1.7657897299999945","-3.4656477299999935","3.4656477300000006","-0.31806026999999998","0","-0.31806026999999998",,"0","3.7837080000000007","3.8868299999999998","0","10.059528","-10.162649999999999"
2004-03-01,"66.477800000000002","66.444974999999999","35.083103999999999","35.083103999999999","0","17.380583999999999","13.384581000000001","3.996003","5.3349549999999999","5.3349549999999999","0","8.6463319999999992","2.8726319999999999","0","5.7736999999999998","3.2825E-2","65.079629170000004","61.859356169999998","12.313515000000001","56.384098999999999","4.9672536100000002","4.0953000000000003E-2","1.6006279999999999","0","2.6129910000000001","-16.06008344","3.2202730000000002","4.5856188300000014","1.398170829999998","-1.398170829999998","-16.81771883","0","-16.81771883",,"0","15.419548000000002","27.325299000000001","0","-2.932992","-8.9727589999999999"
2004-04-01,"66.625890999999982","66.569472999999988","33.364525999999998","33.364525999999998","0","15.172844999999999","11.877782","3.2950629999999999","4.4945209999999998","4.4945209999999998","0","13.537580999999999","0","0","13.537580999999999","5.6418000000000003E-2","74.884484","72.142026999999999","14.290276","56.00123","0.20732656999999999","0.17344799999999999","0.95000600000000002","0","1.957336","-1.43759557","2.7424569999999999","-5.5725540000000109","-8.2585930000000189","8.2585929999999994","-1.08405","0","-1.08405",,"0","9.3426429999999989","15.962619","0","5.6771209999999996","-12.297097000000001"
2004-05-01,"133.08942100000002","133.02435700000001","33.266027000000001","33.266027000000001","0","50.872017","11.953830999999999","38.918185999999999","4.8655160000000004","4.8655160000000004","0","44.020797000000002","4.1473899999999997","0","39.873407","6.5063999999999997E-2","38.021661000000002","35.619635000000002","11.468271","45.832179000000004","0","0.35087299999999999","3.4632200000000002","0","5.281034","-30.775942000000001","2.4020259999999998","97.404722000000007","95.067760000000021","-95.067759999999993","0","0","0",,"0","-95.067759999999993","-51.740375","0","-3.0220690000000001","-40.305315999999998"
2004-06-01,"58.633112999999994","58.577287999999996","30.973417999999999","30.973417999999999","0","14.083629999999999","10.606484999999999","3.4771450000000002","5.9842279999999999","5.9842279999999999","0","7.5360119999999995","0.90689699999999995","0","6.6291149999999996","5.5825E-2","80.951087670000021","77.400528670000028","12.659275999999998","61.150826000000002","3.0091300799999998","0.416819","2.4744329999999999","0","1.6198980000000001","-3.9298534099999998","3.5505589999999998","-18.823240670000033","-22.317974670000027","22.317974669999998","-3.0803963300000001","2.1582230999999998","-5.23861943",,"0","25.398370999999997","20.296279999999999","0","4.8036199999999996","0.29847099999999999"
2004-07-01,"77.057974999999999","77.008150000000001","36.057541999999998","36.057541999999998","0","17.252434000000001","14.211752000000001","3.0406819999999999","10.550234","10.379733999999999","0.17050000000000001","13.147939999999998","0.49228","0","12.655659999999999","4.9825000000000001E-2","63.705397490000003","60.314875490000006","12.060367000000001","40.497207000000003","0.73517862","0","7.7109939999999995","0","2.1484420000000002","-2.8373131300000001","3.3905219999999998","16.693274509999995","13.352577509999996","-13.35257751","-5.7592525100000005","0.34026321999999998","-6.0995157300000002",,"0","-7.5933249999999992","-4.2069089999999996","0","-1.6166119999999999","-1.7698039999999999"
