"MES","FBCB01","FBCB02","FBCB03","FBCB04","FBCB05","FBCB06","FBCB07","FBCB08","FBCB09","FBCB10","FBCB11","FBCB12","FBCB13","FBCB14","FBCB15"
2000-05-01,"4462504.4919999996","3832440.72","630063.77199999988","0","258514.16500000001","-258514.16500000001","0","471866.84600000002","-471866.84600000002","0","272465.44","-272465.44","4462504.4919999996","4835287.1710000001","-372782.67900000047"
2000-06-01,"4299558.5489999996","3672870.31","626688.23900000006","0","259051.617","-259051.617","0","476164.598","-476164.598","0","361506.93599999999","-361506.93599999999","4299558.5489999996","4769593.4609999992","-470034.91199999955"
2000-07-01,"4501458.03","3697976.2340000002","803481.79600000009","0","270756.17300000001","-270756.17300000001","0","514921.16699999996","-514921.16699999996","0","283606.652","-283606.652","4501458.03","4767260.2259999998","-265802.19599999953"
2000-08-01,"4553513.4970000004","3597465.49","956048.00700000022","0","271701.31099999999","-271701.31099999999","0","524054.38500000001","-524054.38500000001","0","330383.47700000001","-330383.47700000001","4553513.4970000004","4723604.6629999997","-170091.16599999927"
2000-09-01,"4394780.6220000004","3305776.7379999999","1089003.8840000005","0","268125.63400000002","-268125.63400000002","0","536887.21499999997","-536887.21499999997","0","341884.26800000004","-341884.26800000004","4394780.6220000004","4452673.8549999995","-57893.232999999076"
2000-10-01,"4607161.2","3657275.3050000002","949885.89500000002","0","258978.69","-258978.69","0","576698.57700000005","-576698.57700000005","0","313740.95300000004","-313740.95300000004","4607161.2","4806693.5250000004","-199532.32500000019"
2000-11-01,"4634875.9730000002","3602598.83","1032277.1430000002","0","254327.04800000001","-254327.04800000001","0","601380.46299999999","-601380.46299999999","0","340613.18300000002","-340613.18300000002","4634875.9730000002","4798919.5240000002","-164043.55099999998"
2000-12-01,"4660548.5109999999","3303446.165","1357102.3459999999","0","256198.95600000001","-256198.95600000001","0","486454.19800000003","-486454.19800000003","0","285797.71100000001","-285797.71100000001","4660548.5109999999","4331897.03","328651.48099999968"
2001-01-01,"4882438.4579999996","3538163.0959999999","1344275.3619999997","0","237816.51499999998","-237816.51499999998","0","554740.62400000007","-554740.62400000007","0","310051.97500000003","-310051.97500000003","4882438.4579999996","4640772.21","241666.24799999967"
2001-02-01,"4765669.034","3262676.4140000003","1502992.62","0","251802.239","-251802.239","0","555836.65599999996","-555836.65599999996","0","342021.45400000003","-342021.45400000003","4765669.034","4412336.7630000003","353332.27099999972"
2001-03-01,"4792713.0429999996","3285921.338","1506791.7049999996","0","239957.15900000001","-239957.15900000001","0","519280.74299999996","-519280.74299999996","0","306589.34100000001","-306589.34100000001","4792713.0429999996","4351748.5810000002","440964.46199999936"
2001-04-01,"4814062.4819999998","3417234.9790000003","1396827.5029999996","0","236006.91700000002","-236006.91700000002","0","523230.67300000001","-523230.67300000001","0","442084.24200000003","-442084.24200000003","4814062.4819999998","4618556.8109999998","195505.67100000009"
2001-05-01,"4848342.2850000001","3327946.4950000001","1520395.79","0","224997.78400000001","-224997.78400000001","0","587731.32699999993","-587731.32699999993","0","434368.99800000002","-434368.99800000002","4848342.2850000001","4575044.6040000003","273297.68099999987"
2001-06-01,"4873444.7980000004","3719543.0379999997","1153901.76","0","206494.93500000003","-206494.93500000003","0","587277.34200000006","-587277.34200000006","0","451900.62700000004","-451900.62700000004","4873444.7980000004","4965215.9419999998","-91771.143999999389"
2001-07-01,"4916262.9570000004","3681016.8019999997","1235246.1550000007","0","219221.19100000002","-219221.19100000002","0","646911.25799999991","-646911.25799999991","0","479680.08199999999","-479680.08199999999","4916262.9570000004","5026829.3330000006","-110566.37600000016"
2001-08-01,"4938554.22","3580871.6740000001","1357682.5459999996","0","207694.50899999999","-207694.50899999999","0","603184.83100000001","-603184.83100000001","0","473815.33500000002","-473815.33500000002","4938554.22","4865566.3490000004","72987.870999999344"
2001-09-01,"4966244.608","3410281.1550000003","1555963.4529999997","0","193771.68799999999","-193771.68799999999","0","648069.51500000001","-648069.51500000001","0","488896.64800000004","-488896.64800000004","4966244.608","4741019.0060000001","225225.60199999996"
2001-10-01,"5012024.1370000001","3422927.3940000003","1589096.7429999998","0","195115.495","-195115.495","0","687884.17500000005","-687884.17500000005","0","511667.80499999999","-511667.80499999999","5012024.1370000001","4817594.8689999999","194429.26800000016"
