"MES","AMOD01","AMOD02","AMOD03","AMOD04","AMOD05","AMOD06","AMOD07","AMOD08","AMOD09","AMOD10","AMOD11","AMOD12","AMOD13","AMOD14","AMOD15","AMOD16","AMOD17","AMOD18","AMOD19","AMOD20","AMOD21","AMOD22","AMOD23","AMOD24","AMOD25","AMOD26","AMOD27","AMOD28","AMOD29","AMOD30","AMOD31","AMOD32","AMOD33","AMOD34","AMOD35","AMOD36","AMOD37"
2008-05-01,"54758791.814556912","54838838.82178361","-80047.007226699992","-10303055.998950388","-285874.61814238876","8298670.7905041222","-8584545.4086465109","-8177125.4501770344","-133309.66435859998","-274110.2941108768","-985462.94161760004","0","-985462.94161760004","-985107.65041","-355.29120759999995","-6734440.3993627997","0","-6734440.3993627997","-6668786.6281252997","-65653.771237499997","-2297278.0398276001","0","-2297278.0398276001","-2296563.5090001002","-714.53082749999999","35359676.979139172","27212514.033924717","202265.2777044501","7759396.605510002","185501.06200000001","-18398740.018128909","0","-329958.07263359998","-2936536.8888881002","-1161922.9419468492","-13970322.114660358","61416672.776616774"
2008-06-01,"55573026.815098979","55633527.681780577","-60500.866681600004","-10911850.745406326","-137189.0035439264","8324371.6302947365","-8461560.6338386629","-8071043.5861983057","-125148.00334360001","-265369.0442967572","-1047247.9876072","0","-1047247.9876072","-1046897.13138","-350.85622719999998","-6233701.1001092","0","-6233701.1001092","-6167677.0872128","-66024.012896400003","-3493712.6541459998","0","-3493712.6541459998","-3493007.042566","-705.61158","35716614.052969992","27475369.168735489","198438.82307450791","7872525.4849999985","170280.57616","-18256565.459104382","0","-327785.61926559999","-2966771.8612528001","-1224170.1677021403","-13737837.810883841","62121224.663558267"
2008-07-01,"57522287.735355727","57588559.254399329","-66271.519043599998","-12173547.245704088","-974000.21450528875","9393998.2983937636","-10367998.512899052","-9993513.9928224012","-112660.28956760002","-261824.23050904943","-1109202.3275024001","0","-1109202.3275024001","-1108855.4134800001","-346.91402239999996","-6379260.1885383995","0","-6379260.1885383995","-6319237.2012559995","-60022.987282399998","-3711084.5151579999","0","-3711084.5151579999","-3685001.4434972","-26083.0716608","36063018.389380082","27734227.03635304","196209.17337704153","7964105.7855700012","168476.39408","-17435121.094068039","0","-326487.50999200001","-2942927.4595512007","-1153296.1143885218","-13012410.010136317","63976637.784963682"
2008-08-01,"58456551.451428711","58681244.464820415","-224693.01339170002","-13043360.563422754","-1254905.917061355","9429762.5929370448","-10684668.5099984","-10309033.928763369","-113415.9844662","-262218.59676882962","-1068836.3631255999","0","-1068836.3631255999","-1068490.9274299999","-345.43569559999997","-6638871.2640932994","0","-6638871.2640932994","-6568171.9016121998","-70699.362481100005","-4080747.0191425001","0","-4080747.0191425001","-4080670.0709333001","-76.948209199999994","36220711.581052542","27795032.985215943","193963.36552659766","8059391.0509099998","172324.17939999999","-17277333.22999084","0","-326230.05238070001","-2942918.6678973003","-1629095.3616518266","-12379089.148061013","64356569.239067659"
2008-09-01,"59285750.064506307","59449360.448783711","-163610.38427739998","-13077726.525892634","-697999.48942603543","9359325.3097105045","-10057324.79913654","-9689087.5274550989","-106053.31539610001","-262183.95628534001","-1100229.6936643999","0","-1100229.6936643999","-1099885.24352","-344.4501444","-6674172.6708915001","0","-6674172.6708915001","-6588729.6453702999","-85443.025521200005","-4605324.6719107004","0","-4605324.6719107004","-4605249.3817819003","-75.290128800000005","36723224.694440164","28171951.97168009","193409.97504007386","8186229.7542599998","171632.99345999997","-17511039.368238248","0","-330449.11118250003","-2956712.6698293001","-1505060.1303191092","-12718817.456907339","65420208.864815585"
2008-10-01,"57778036.254660383","57961891.796581686","-183855.5419213","-12860462.762406398","-1414482.0642221961","9690214.811649302","-11104696.875871498","-10734977.239123806","-100990.7193881","-268728.91735959181","-1113671.5347932","0","-1113671.5347932","-1113328.0702","-343.46459319999997","-6872315.374256501","0","-6872315.374256501","-6783159.7568502007","-89155.617406299993","-3459993.7891345005","0","-3459993.7891345005","-3459918.7144281007","-75.074706400000011","37009504.389892012","28300191.23954846","192856.58455355006","8346384.0384800006","170072.52730999998","-17300069.999756657","0","-330742.41848719999","-3013805.7867879001","-1870203.6986008491","-12085318.095880708","64627007.882389344"
2008-11-01,"58717909.023523197","58845942.1560793","-128033.1325561","-13035823.61197192","-1739818.5896104202","9808256.4600878526","-11548075.049698273","-11190404.251807446","-88310.010985899993","-269360.78690492781","-1152227.2248232001","0","-1152227.2248232001","-1151883.7602300001","-343.46459319999997","-6982250.8191329995","0","-6982250.8191329995","-6917786.6648228997","-64464.154310099999","-3161526.9784053001","0","-3161526.9784053001","-3161451.9036989002","-75.074706400000011","37241522.992730476","28408665.405999351","192767.38894111858","8470156.9913500007","169933.20643999998","-18260397.954916008","0","-334079.08260019997","-3016892.0763152004","-2132196.9668381009","-12777229.829162508","64663210.449365743"
2008-12-01,"60218106.216957927","60367261.408602528","-149155.19164460001","-11162848.74717322","-528561.49395652115","10050224.114186766","-10578785.608143287","-10252305.343151866","-65997.244515700004","-260483.0204757204","-1071736.4997532","0","-1071736.4997532","-1071393.03516","-343.46459319999997","-6060150.2771793995","0","-6060150.2771793995","-6017803.6278775996","-42346.649301799996","-3502400.4762840993","0","-3502400.4762840993","-3481321.2653849991","-21079.210899099999","37528961.99039305","28476374.618611928","192767.38894111858","8692515.4265700001","167304.55627000003","-18945477.674352683","0","-333320.62556719995","-3285850.5690492997","-2121748.0237582736","-13204558.455977909","67638741.785825074"
2009-01-01,"60257171.178160027","60367312.367311724","-110141.18915170002","-11821485.069866588","-1060175.3519626874","10228748.515639648","-11288923.867602335","-10956236.895228432","-72126.8894745","-260560.08289940201","-1133286.6272532002","0","-1133286.6272532002","-1132943.1626600001","-343.46459319999997","-6045902.9792702002","0","-6045902.9792702002","-6005636.8979638005","-40266.081306400003","-3582120.1113805003","0","-3582120.1113805003","-3561040.9004814001","-21079.210899099999","37224334.131493047","28147587.051451925","192767.38894111858","8716811.2846099995","167168.40648999999","-18696025.508667063","0","-335502.64021619991","-3318422.1763489","-1736690.1756356545","-13305410.516466307","66963994.731119409"
2009-02-01,"60771572.359171331","60898522.974862128","-126950.61569080001","-12480495.392197726","-1823518.4504217263","10263518.260052785","-12087036.710474512","-11768292.425659908","-69535.802900899987","-249208.48191370477","-1145457.9679932001","0","-1145457.9679932001","-1145114.5034","-343.46459319999997","-6303658.8919193","0","-6303658.8919193","-6251709.1052366002","-51949.786682700003","-3207860.0818635002","0","-3207860.0818635002","-3186780.8709644","-21079.210899099999","37134577.009989224","28062190.332131576","192639.96663764509","8712411.2882200014","167335.42300000004","-18172125.909303285","0","-336407.35689589992","-3158395.8859333005","-1348986.1418028921","-13328336.524671191","67253528.067659557"
2009-03-01,"61260890.617210612","61339745.856928714","-78855.239718100012","-12913708.064183075","-2126961.8686328735","10548460.628337925","-12675422.496970799","-12387486.364904899","-49806.4022281","-238129.72983779959","-1142223.0874232","0","-1142223.0874232","-1141879.62283","-343.46459319999997","-6452894.0471526003","0","-6452894.0471526003","-6382080.2988595003","-70813.748293099998","-3191629.0609744","0","-3191629.0609744","-3191554.8093552999","-74.251619099999999","37213509.882519647","28052388.963188946","192385.12203069811","8802538.8477200009","166196.94957999999","-18014811.524516746","0","-341016.2742094","-3106075.1849052999","-1408215.7868074551","-13159504.278594593","67545880.911030442"
2009-04-01,"61629318.628174841","61689655.934598245","-60337.306423399998","-14055151.886311142","-5071153.2224291414","10813556.85186852","-15884710.074297661","-15594953.226727879","-58924.217362299991","-230832.6302074836","-1150205.8756432","0","-1150205.8756432","-1149862.41105","-343.46459319999997","-6450785.1159915002","0","-6450785.1159915002","-6375640.4066308001","-75144.709360699999","-1383007.6722473002","0","-1383007.6722473002","-1382933.4206282001","-74.251619099999999","37724359.437165946","28474812.591984212","191029.34872174016","8879172.5744000003","179344.92206000001","-17370204.242053419","0","-340506.3529848","-3028240.4848800004","-950196.45556442812","-13051260.94862419","67928321.936976224"
