"MES","BPCC01","BPCC02","BPCC03","BPCC04","BPCC05","BPCC06","BPCC07","BPCC08","BPCC09","BPCC10"
2007-01-01,"2762527.73104",2808398.45273,969477.81426,112480.57978,85898.48069,148025.72157,199780.16532,57851.17073,9773.68824,7154213.80436
2007-02-01,"2857001.4888000004",2910904.7662,973489.87858,109032.89072,79819.38657,148596.7838,194306.503,61108.28409,13051.52665,7347311.50841
2007-03-01,"2795524.56323",3153847.62414,979638.60778,104552.25941,78377.85578,136277.33798,207338.77786,61523.55941,9559.237,7526639.82259
2007-04-01,"2642924.8111399999",3197727.11243,922497.73508,119538.27467,84303.90214,150491.52892,192334.20746,55387.68759,10958.60384,7376163.86327
2007-05-01,"3005199.5296499995",3356525.04186,900374.8705,105131.79936,88457.69967,140501.28275,195118.6303,52654.56125,10304.51324,7854267.92858
2007-06-01,"3243025.2484999998",3316959.54281,1090414.68033,112202.36436,107085.00331,146884.2455,195355.36493,52736.06363,13820.868,8278483.38137
2007-07-01,"3228992.7175699994",3154817.04309,998494.3643,104629.90103,107762.77447,150735.32987,207069.18212,52884.68916,13367.14206,8018753.14367
2007-08-01,"3299429.8022100003",3085400.8294,1013364.10998,111539.73633,105271.19803,158343.35896,202718.35282,50428.64565,14023.67535,8040519.70873
2007-09-01,"3146990.8941900004",3145254.25034,1116521.567,114760.71248,113870.9785,173902.03,221395.72169,59745.31326,13704.20116,8106145.66862
2007-10-01,"3139605.5830700006",3236909.59538,1138065.68963,122991.53629,126893.24621,181635.85887,231290.85704,63221.16359,14436.58123,8255050.11131
2007-11-01,"2954788.3566500009",3307993.37964,1124719.41982,124835.90733,135767.3928,179074.12753,246727.7055,61708.19798,20366.52866,8155981.01591
2007-12-01,"2796985.0216899998",3387500.32136,1121691.39635,129408.89599,139661.40542,166382.29745,255466.39415,58689.47519,14608.13839,8070393.34599
2008-01-01,"3444807.7715099999",3447986.68739,1150729.68974,126808.29492,140770.97614,156936.702,245662.388,57830.97275,13044.20184,8784577.68429
2008-02-01,"3478644.45958",3713978.41576,1187728.39392,127024.16213,151220.16607,164984.18906,284775.56821,62957.6695,16093.50922,9187406.53345
2008-03-01,"3536137.93249",3638352.05144,1284438.35923,131195.94828,175468.70851,173074.10419,278404.31919,68950.50909,13548.48163,9299570.41405
2008-04-01,"3487330.2335900003",3920607.22633,1138703.33009,124661.95268,159534.02065,170860.46738,261090.01231,61575.00137,14699.60177,9339061.84617
2008-05-01,"3815991.3470199998",3946557.33324,1079893.22508,146338.47148,139670.08944,197900.94471,250765.68097,60927.22421,11173.93698,9649218.25313
2008-06-01,"3608164.4787699999",3735361.29965,1091220.79277,124445.84131,152215.9462,181130.9794,235408.89286,67357.69579,13808.53034,9209114.45709
2008-07-01,"3973959.2922300003",3987896.97754,1071593.19268,131414.69958,161953.72521,177019.27146,219711.83232,65499.72523,16529.24734,9805577.96359
2008-08-01,"3787922.3980199993",3836572.27225,1111986.24741,122012.53384,137374.09015,191808.44225,217843.85655,64431.69274,13459.47715,9483411.01036
2008-09-01,"3985642.2903900007",3837725.90987,1196431.9416,134589.21514,138721.10347,200641.79034,226783.21339,63237.93459,17553.83698,9801327.23577
2008-10-01,"3884063.4569200003",3508488.58781,1134761.60328,133599.16124,108768.28194,197252.00913,233537.24532,69402.1451,13952.66695,9283825.15769
2008-11-01,"3686745.4946800005",3705288.58204,1125165.17881,119847.34635,112011.61132,195589.03078,225441.84234,63953.85406,12438.23389,9246481.17427
2008-12-01,"4000163.8126999997",3759215.50152,1209928.14809,116735.84418,96568.06863,196743.9803,252881.47016,74171.32956,11268.25641,9717676.41155
2009-01-01,"4039992.3317499999",3869179.87504,1192938.72548,113051.80891,106750.18018,219392.26276,250229.84073,66418.32624,16983.37633,9874936.72742
2009-02-01,"4094103.5476600002",3897598.08237,1194536.22014,121248.73087,104789.67231,199947.17399,250733.18485,67441.9917,17905.3364,9948303.94029
2009-03-01,"4093543.9368100003",3928502.73093,1218688.09483,130153.68502,107684.122,207735.16548,252997.71516,71832.4941,14383.6502,10025521.59453
2009-04-01,"4119975.6536899996",3885452.30332,1099893.08012,120636.79159,97525.84251,184821.58137,248523.92289,67266.13843,14188.45532,9838283.76924
2009-05-01,"4067410.5202300004",3921056.77152,1115434.97463,131639.53383,102480.93785,200212.3521,251632.79682,61856.5189,12898.1245,9864622.53038
2009-06-01,"4120056.9871600005",4330146.03382,1284766.55372,138297.75591,129755.04656,198873.20731,264632.55188,66303.29651,9439.57721,10542271.01008
2009-07-01,"4345961.9256199999",4192347.57071,1225509.67458,130261.38698,97216.67936,188494.23889,207480.77852,73868.58493,10625.17209,10471766.01168
2009-08-01,"4358807.9659299999",4167119.25999,1347987.74814,132491.43513,108867.1664,202858.08279,248103.98832,69205.19907,10949.73253,10646390.5783
2009-09-01,"4831916.83464",4744459.25411,1412991.04898,139723.27702,102925.89842,185716.3303,246481.58998,76580.18128,12105.79423,11752900.20896
2009-10-01,"4584805.643459999",5303902.48788,1401650.97649,142133.57866,137308.54271,192007.79608,234874.26283,79705.05054,12586.67099,12088975.00964
2009-11-01,"4697394.0208000001",5625161.58582,1525118.36265,149122.61025,140454.7311,203898.16172,279118.01043,76728.63077,11450.9728,12708447.08634
2009-12-01,"5080343.3072199989",5712167.33358,1334075.5489,131630.60895,148611.36905,191931.05748,291361.35751,68177.75066,15385.43382,12973683.76717
2010-01-01,"5082616.2587199993",5777625.79327,1490852.5711,156870.39701,139218.36869,205021.37833,269832.96278,82978.9146,12007.08139,13217023.72589
2010-02-01,"5098448.8861999996",5488379.91897,1846964.14991,166440.7065,133495.70281,196917.65558,314505.97937,81577.6201,21416.23451,13348146.85395
2010-03-01,"5076023.3377299998",5761739.48394,1559927.13539,162254.05873,164370.86148,196052.63865,262054.7771,84190.49967,16354.01604,13282966.80873
2010-04-01,"4608584.4936199989",5716463.40702,1430776.43028,158001.24839,161179.59411,183945.12066,263220.19687,75131.03576,13853.05534,12611154.58205
2010-05-01,"4932162.9413299998",5771154.80327,1465417.26616,164800.5978,163735.09646,188949.83323,276303.13537,73243.63366,21101.68227,13056868.98955
2010-06-01,"5029944.0009199996",5667082.21689,1485505.62165,166847.54593,150329.15139,184268.73307,308186.36511,77948.47205,17716.2086,13087828.31561
2010-07-01,"4914582.4228599984",5821126.20264,1482533.32138,151171.95879,139392.35933,170111.24956,299536.687,75733.44894,17637.92138,13071825.57188
2010-08-01,"4877761.3472599993",5791039.03324,1482271.3282,195619.64523,163220.32893,158889.04747,298606.9179,84069.89599,14133.55385,13065611.09807
2010-09-01,"4657522.1347999992",6099427.19539,1457134.09172,166761.07598,170587.33774,175220.20359,306616.24392,86804.82034,17349.86998,13137422.97346
2010-10-01,"4824197.0398599999",6224591.24383,1583635.81078,172693.56679,169176.87208,174739.41025,293158.25862,93288.96778,14410.94148,13549892.11147
2010-11-01,"4903357.6241199998",6285263.96424,1686656.58302,202303.14149,181372.15128,191949.37493,307421.40973,102820.96528,14703.81545,13875849.02954
2010-12-01,"5471807.76987",6262437.15662,1635164.59545,189510.02141,172531.72809,205886.90676,349205.48188,77461.09581,19955.30601,14383960.0619
2011-01-01,"5217042.6915799994",6519126.49279,1799658.29661,191421.97036,161994.96594,211683.17984,330385.86039,79570.15707,25317.10665,14536200.72123
2011-02-01,"5252283.71416",6667635.45834,1895325.03243,260319.91476,182517.207,211901.63658,270314.31172,82492.65678,24407.52351,14847197.45528
2011-03-01,"5215578.7972799996",6821527.33325,1899023.62729,220145.09072,189077.2812,210771.43528,255107.46724,95372.57153,25901.25174,14932504.85553
2011-04-01,"4482118.5593300005",6886227.6747,1736862.78153,212109.63088,200159.82458,201648.2994,285933.01987,83188.31218,18882.80888,14107130.91135
2011-05-01,"4447903.5921999998",6776757.49923,1770087.79288,214838.88165,208547.62819,206479.02389,256036.17604,83074.75997,22714.75808,13986440.11213
2011-06-01,"4668054.0620499998",7112674.92002,1711273.69754,214857.45299,192028.59448,222416.19238,258811.8596,93222.92279,21332.85958,14494672.56143
2011-07-01,"4524616.6144399997",7276323.761,1683015.97525,197567.74251,181795.64607,194924.8203,230202.42095,86652.74166,25283.06663,14400382.78881
2011-08-01,"4883479.9417999992",7238019.81275,1861796.04828,202927.23427,202608.34699,213342.48101,256557.75551,96587.15566,28290.52381,14983609.30008
