"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2002-11-01,"1694.15","596.99","1836.8","1719.64","1961.08","441.09","5393.62","7830.3799999999992","7064.36","11900.51","40438.620000000003"
2002-12-01,"874.66","768.29","1416","2662.91","3568.53","183.46","1242.78","13905.56","4566.8100000000004","9857.84","39046.839999999997"
2003-01-01,"1725.7","687.9","1281.5999999999999","1480.42","2592.2399999999998","130.74","1891.84","15538.48","8320.2999999999993","8689.18","42338.400000000001"
2003-02-01,"1265.8","468","802.1","1739.8","2241.4899999999998","178.42","2443.2399999999998","12529.88","3933.9","10538.67","36141.299999999996"
2003-03-01,"1647.42","272.89999999999998","2060.1999999999998","1946.193","1646.07","265.33999999999997","2822.91","8896.67","4565.53","12304.467000000001","36427.699999999997"
2003-04-01,"1023.4","369.5","3202.8","1605.12","1624.53","158.09","1814.94","6940.26","3889.86","10611.6","31240.1"
2003-05-01,"1111.9480000000001","315.5","2766","1830.0160000000001","1592.04","225.43","2758.17","26025.360000000001","5819.8","11513.536","53957.8"
2003-06-01,"622.14","346.9","3576.9","1827.25","1515.68","303.56","3281.96","24364.09","9377.4","11919.02","57134.899999999994"
2003-07-01,"3031.1889999999999","523.19000000000005","4405.8999999999996","1063.0999999999999","1475.11","518.70000000000005","1853.63","27747.25","8253.7999999999993","10288.931","59160.800000000003"
2003-08-01,"2691.4","678.69","4096.2","1605.6","2498.14","841.2","3501.41","21972.42","11576.6","11976.84","61438.5"
2003-09-01,"4458.8999999999996","660.47","5798.3","1867.8","2130.6","690.6","5905.7","19103.43","12229.4","14562.6","67407.8"
2003-10-01,"2811.6","497.92700000000002","2212.4","1643.3","2006.3","745.6","7655.4610000000002","17296.100999999999","8960.7999999999993","11424.611000000001","55254.100000000006"
2003-11-01,"2514.8000000000002","888.88300000000004","5400.8","1798.2","2667.8","771.2","5338.3549999999996","19281.407999999999","7341","18133.353999999999","64135.799999999996"
2003-12-01,"764.6","629.68499999999995","2072.1","1209.0999999999999","4319.7","297","2244.1770000000001","23351.752","6993.4","15177.986000000001","57059.5"
2004-01-01,"2039.1","638.4","764.42","1361.4","2163.8000000000002","127.9","2473.5","31723.5","13072.1","13489.48","67853.600000000006"
2004-02-01,"477","235.9","878.43","1755.95","2444.1","139.19999999999999","2580.5","18754.899999999998","9618.5400000000009","13296.38","50180.899999999994"
2004-03-01,"685.2","102.4","3006.1","2122.71","2806.31","182.3","4617.1000000000004","14658.1","8121.6","15101.68","51403.5"
2004-04-01,"996","256.10000000000002","3779.03","1238.77","1785.48","217.9","1995","20502.7","6128.7","13752.62","50652.3"
2004-05-01,"764.8","211","5910.1","2448.08","2580.1999999999998","366.6","2627","27782.400000000001","15906.1","15649.52","74245.8"
2004-06-01,"1516.5","608.79999999999995","5098.5200000000004","1161.52","2157.4","374.4","3337.4","44226.899999999994","5613.8","14578.96","78674.2"
2004-07-01,"2651","925.39","6299.07","1692.03","2664.81","569","2329","28583.1","6832.6","16860.8","69406.799999999988"
2004-08-01,"6273.4","1054.5999999999999","7419.21","1482.79","2366.1","985.1","3419.9","26758.85","11980.5","19381.45","81121.899999999994"
2004-09-01,"6911.1","1068","9782.0300000000007","1399","2545.1","1056.5","6189.9","18043.739999999998","9611.5","21614.63","78221.5"
2004-10-01,"2453.4","1406.4","4839.34","2254.3000000000002","3515.3","813.9","5929.6","9862.5","6657.4","20220.36","57952.5"
2004-11-01,"3536","1064.7","3809.73","1749.6","3367.5","690.4","5337.4","14370.400000000001","7365.8","21105.27","62396.800000000003"
2004-12-01,"2127.1","1780","3860.36","1770.4","4138.3999999999996","277.10000000000002","3700.2","21043.1","9383.9","18389.14","66469.700000000012"
