"MES","SIBC01","SIBC02","SIBC03","SIBC04","SIBC05","SIBC06","SIBC07","SIBC08","SIBC09","SIBC10","SIBC11"
2003-07-01,"870.50699999999995","977.34399999999994","326.09399999999999","600.98400000000004","37.847000000000001","12.419",,"106.837","-156.65899999999999","262.928","0.56799999999999995"
2003-08-01,"861.00599999999997","962.06099999999992","337.04300000000001","575.17999999999995","37.67","12.167999999999999",,"101.05499999999999","-156.65899999999999","257.38299999999998","0.33100000000000002"
2003-09-01,"901.53899999999987","1006.0759999999999","348.09199999999998","606.55999999999995","38.881","12.542999999999999",,"104.53700000000001","-156.65899999999999","260.822","0.374"
2003-10-01,"1009.7039765499999","1132.2419765499999","352.23630700000001","727.67566954999995","39.569000000000003","12.760999999999999",,"122.53800000000003","-156.65899999999999","278.62200000000001","0.57499999999999996"
2003-11-01,"890.08100000000002","1010.364","360.42","598.06799999999998","39.1","12.776",,"120.28300000000002","-156.65899999999999","276.72300000000001","0.219"
2003-12-01,"975.84500000000014","1096.1180000000002","379.40699999999998","663.30100000000004","40.268999999999998","13.141",,"120.27300000000002","-156.65899999999999","276.96300000000002","-3.1E-2"
2004-01-01,"892.25400000000013","1014.3000000000001","369.822","590.77200000000005","40.506","13.2",,"122.04599999999999","-156.65899999999999","278.52499999999998","0.18"
2004-02-01,"861.15000000000009","981.79300000000012","358.47300000000001","570.49400000000003","39.688000000000002","13.138",,"120.643","-156.65899999999999","276.827","0.47499999999999998"
2004-03-01,"888.86800000000005","1003.731","383.92","567.11699999999996","39.601999999999997","13.092000000000001",,"114.86299999999999","-156.65899999999999","271.19099999999997","0.33100000000000002"
2004-04-01,"791.36899999999991","895.48399999999992","353.065","490.84199999999998","38.771000000000001","12.805999999999999",,"104.11499999999999","-156.65899999999999","260.69499999999999","7.9000000000000001E-2"
2004-05-01,"817.6579999999999","921.11999999999989","358.625","510.60700000000003","38.851999999999997","13.036",,"103.46199999999997","-160.102","263.05399999999997","0.51"
2004-06-01,"804.75400000000002","915.40099999999995","357.553","505.97800000000001","38.844999999999999","13.025",,"110.64699999999998","-160.102","271.09199999999998","-0.34300000000000003"
