"MES","BPCR01","BPCR02","BPCR03","BPCR04","BPCR05","BPCR06","BPCR07","BPCR08","BPCR09","BPCR10"
2008-06-01,"9618395.4754861724",11566152.29279,4196918.63847,317880.32411,209749.42296,724712.95706,660410.93892,352961.82035,26626.09856,27673807.9687062
2008-07-01,"9742269.8234221675",11563505.27552,4260954.97807,334287.65171,227934.51555,741110.24293,670285.84001,360957.11722,29130.8145,27930436.2589322
2008-08-01,"9771736.6713481676",11501682.22179,4314221.69675,344804.49979,226143.48637,753848.98087,678601.76316,367314.67055,30642.37761,27988996.3682382
2008-09-01,"9878038.5183637589",11663065.86181,4367569.45999,352736.38998,248612.71128,760383.18514,688705.51776,375360.99524,30889.33739,28365361.9769538
2008-10-01,"9914655.9576299991",11630271.92899,4444427.26348,362557.40665,251019.73019,696986.10671,778554.06379,381429.17755,33146.29191,28493047.9269
2008-11-01,"9943310.7656530607",11682680.09802,4424739.88766,371398.20437,248810.85355,804066.75745,712226.07797,379358.57328,34841.61608,28601432.8340331
2008-12-01,"9944611.5072630588",11643947.49789,4521192.16043,375336.54977,249524.65011,801248.63341,716386.00886,380785.99542,36109.04555,28669142.0487031
2009-01-01,"9723270.4852330592",11544486.91942,4508980.59436,376739.35402,248910.49978,796731.09102,717752.21765,386722.47677,36915.29853,28340508.9367831
2009-02-01,"9633636.0409830604",11528926.49181,4535076.87235,377949.59893,248196.6817,786985.80698,716903.71918,389336.11094,37818.97572,28254830.2985931
2009-03-01,"9632945.4738830589",11462749.37255,4576641.12389,387887.12757,238265.28407,783760.59865,728050.2525,396005.97603,38468.78134,28244773.9904831
2009-04-01,"9828128.669983061",11598279.79887,4653138.42706,399976.00333,238306.58479,778663.76454,732950.15461,396645.68111,39752.83792,28665841.9222131
2009-05-01,"9774750.2658030614",11807661.36977,4720281.63908,402992.65088,238876.62539,778768.72858,742462.65439,404978.02731,42081.91461,28912853.8758131
2009-06-01,"9693396.8199430592",12019048.05819,4922938.15402,413445.80632,250784.44747,788125.88599,762665.38311,413930.72439,43375.6471,29307710.9265331
2009-07-01,"9731370.8185530584",12028159.75195,4836088.42564,414462.85385,254976.43672,795470.14204,767502.51868,434943.55512,45766.49064,29308740.9931931
2009-08-01,"9765845.193153061",12041796.77419,4846631.78208,427599.65144,264326.74387,804223.17012,779794.10336,439293.32108,48513.56629,29418024.3055831
2009-09-01,"9890652.6483530626",12180018.38459,4884920.70557,422862.19699,266980.43812,802757.68211,800191.89293,445770.93798,51861.92731,29746016.8139531
2009-10-01,"9950682.9366030619",12430009.97497,4904345.37569,430285.39376,280365.97616,821451.51094,813521.91815,452409.242,57325.59325,30140397.9215231
2009-11-01,"9991678.2403830606",12462913.30141,4965097.76039,446142.02533,280706.6352,830950.40981,835519.29053,458332.2052,63763.49767,30335103.3659231
2009-12-01,"10334760.924167909",12407634.31858,4988065.07304,479029.89687,295125.86596,938689.36229,849664.70034,463679.50755,68780.87655,30825430.5253479
2010-01-01,"10167211.172157908",12286123.92238,5044111.60515,475395.37759,298864.19853,948658.67646,858138.10562,468342.23876,72139.26792,30618984.5645679
2010-02-01,"10205509.264867907",12212350.28831,5123612.25971,481222.87676,303438.11065,947474.25551,870451.81572,479442.34637,75197.99064,30698699.2085379
2010-03-01,"10063134.56709791",12670867.59853,4948653.95402,497708.82032,309019.96674,957975.69414,902847.91299,502508.1409,80715.96813,30933432.6228679
2010-04-01,"10050371.550297908",13148228.2712,5184437.00205,510225.78972,316216.80504,974952.42962,921667.58744,512252.57853,86168.72741,31704520.7413079
2010-05-01,"11249624.699474256",13988949.40988,5510598.80864,596311.60254,490745.68764,1114031.38831,1024497.04852,546987.88112,144371.69944,34666118.2255643
2010-06-01,"11345092.768889407",14222136.26553,5506507.67962,617263.39435,496238.88243,1140507.453,1057833.44041,557238.39756,149541.25913,35092359.5409194
2010-07-01,"11344048.858930241",14625477.93991,5589564.06272,635360.90356,510891.84144,1170637.29103,1093010.57904,569749.53945,153582.98108,35692323.9971602
2010-08-01,"11603607.156962059",14838428.80342,5687478.6452,663470.39448,515885.13935,1201691.09792,1125770.94613,576872.11692,157360.72942,36370565.0298021
2010-09-01,"11770455.58597206",15010250.37429,5747773.34789,686222.74642,540189.21841,1225894.06906,1156096.68479,594219.59712,166514.60278,36897616.2267321
2010-10-01,"11903029.813725695",15314585.85268,5923970.90316,717911.76628,559848.20375,1245328.98851,1182780.06659,609420.93942,173018.51822,37629895.0523357
2010-11-01,"12054484.521515695",15590411.06618,6019991.38899,775698.69859,572461.17294,1264447.74562,1215816.33637,612252.73479,179881.70991,38285445.3749057
2010-12-01,"12255238.470512327",15969049.70338,6123812.41953,792106.98735,589911.1347,1271106.34562,1241565.15799,629815.56284,191111.73504,39063717.5169623
2011-01-01,"12366038.115672933",15681725.00024,6164374.19731,783038.98625,602622.4036,1281899.61157,1258733.89672,635505.07293,201074.46954,38975011.7538329
2011-02-01,"12400524.082811594",15838349.14407,6228360.72078,817906.19671,613415.93067,1298697.07785,1280931.32261,654274.20168,209217.53485,39341676.2120316
2011-03-01,"12485348.141260862",16235528.60537,6284714.58358,824366.08707,622516.31028,1341193.86354,1307460.82802,683295.48164,215338.15929,39999762.0600509
2011-04-01,"12577719.635135699",16787004.23672,6490680.66495,848744.25266,641925.65333,1375949.33714,1337510.07695,695366.14496,225233.87628,40980133.8781257
2011-05-01,"12845650.442028429",17564341.64234,6803645.99355,869250.20217,652702.1039,1420143.05547,1362560.07715,716683.08179,238692.63878,42473669.2371784
2011-06-01,"13058758.549215168",18020652.95624,6938805.81208,888529.7858,675242.15049,1470385.96358,1394775.6854,738771.59495,252277.1082,43438199.6059552
2011-07-01,"13290347.071593115",18395913.03567,7067080.47484,909884.87938,698970.7493,1507080.57189,1429919.01228,758959.6196,264195.7276,44322351.1421531
2011-08-01,"13444765.920073112",18601284.63527,7184700.25476,944481.49065,714791.04178,1541483.54153,1464066.15103,793924.72376,278504.54494,44968002.3037931
2011-09-01,"13662098.194902206",18813391.43123,7295273.05149,979922.38642,729649.76382,1574104.20473,1505905.25482,809095.31424,295191.36122,45664630.9628722
