"MES","BCSA01","BCSA02","BCSA03","BCSA04","BCSA05","BCSA06","BCSA07","BCSA08","BCSA09","BCSA10","BCSA11","BCSA12","BCSA13","BCSA14"
2004-10-01,"444","0","4","440","14058","136707","135366","42","0","135324","1341","0","228323","379532"
2004-11-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","14075.568846491551","136876.18441831143","135533.91144615383","42.168317373358349","0","135491.74312878048","1342.2729721575984","0","228498.7067458533","379894.17473292642"
2004-12-01,"444","0","4","440","14111","137216","135870","42","0","135828","1346","0","228847","380618"
2005-01-01,"443.71","0","3.84","439.87","14128.22","137385.82999999999","136038.56","42.37","0","135996.19","1347.27","0","229022.05","380979.81"
2005-02-01,"443.71481390243906","0","3.8409239024390245","439.87389000000002","14145.771184878053","137555.72366341462","136206.78256780488","42.439120975609754","0","136164.34344682927","1348.9410956097561","0","229196.47805121951","381341.68771341466"
2005-03-01,"443.71485971857413","0","3.840969718574109","439.87389000000002","14180.872354071289","137895.49351110694","136543.21835377111","42.574747917448406","0","136500.64360585366","1352.2751573358348","0","229545.36370390243","382065.44442879921"
2005-04-01,"443.71485971857413","0","3.840969718574109","439.87389000000002","14180.872354071289","137895.49351110694","136543.21835377111","42.574747917448406","0","136500.64360585366","1352.2751573358348","0","229545.36370390243","382065.44442879921"
2005-05-01,"443.71485971857413","0","3.840969718574109","439.87389000000002","14180.872354071289","137895.49351110694","136543.21835377111","42.574747917448406","0","136500.64360585366","1352.2751573358348","0","229545.36370390243","382065.44442879921"
2005-06-01,"443.71485971857413","0","3.840969718574109","439.87389000000002","13580.872354071289","130195.49351110696","128843.21835377112","42.574747917448406","0","128800.64360585368","1352.2751573358348","0","221245.36370390243","365465.44442879927"
2005-07-01,"443.71479099437153","0","3.840900994371482","439.87389000000002","13228.220600281435","126585.83879585366","125238.56473110695","42.371363789868674","0","125196.19336731709","1347.2740647467167","0","215722.03522487805","355979.80941200751"
2005-08-01,"443.7147451782364","0","3.8408551782363975","439.87389000000002","13193.119431088184","120973.06917330206","119674.12917028143","42.235961988742957","0","119631.89320829269","1298.9400030206377","0","209858.14957219514","344468.05292176362"
2005-09-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","13175.568846491551","117978.18441831146","116680.91144615386","42.168317373358349","0","116638.74312878049","1297.2729721575984","0","206858.70674585365","338456.17473292683"
2005-10-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","13140.467677298315","117638.550197561","116344.61128712948","42.168317373358349","0","116302.44296975611","1293.9389104315196","0","206509.82109317073","337732.55369030021"
2005-11-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","12681.467677298315","115699.550197561","114428.61128712948","42.168317373358349","0","114386.44296975611","1270.9389104315196","0","202792.02409504692","331616.75669217639"
2005-12-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","11953.462522851922","114195.56001954069","112944.61728171704","42.168317373358349","0","112902.44896434368","1250.9427378236396","0","198276.03076439808","324868.76802906086"
2006-01-01,"443.71472227016886","0","3.8408322701688555","439.87389000000002","11953.462522851922","114195.56001954069","112944.61728171704","42.168317373358349","0","112902.44896434368","1250.9427378236396","0","198276.03076439808","324868.76802906086"
2006-02-01,"439.89226227016889","0","0","439.87389000000002","11938.52069469836","113407.00925951458","112162.93777733823","0","0","112162.93777733823","1244.0714821763602","0","198134.13267596759","323919.55489245069"
2006-03-01,"439.89226227016889","0","0","439.87389000000002","11908.637038391229","113123.22751420918","111882.27010332738","0","0","111882.27010332738","1240.957410881801","0","197850.33649910655","323322.09331397712"
2006-04-01,"439.87389000000002","0","0","439.87389000000002","11893.69521023766","112747.08246715818","111512.01304877168","0","0","111512.01304877168","1235.0694183864914","0","197376.65047648959","322457.30204388546"
2006-05-01,"439.87389000000002","0","0","439.87389000000002","11879.143107861062","112732.53036478156","111497.46094639506","0","0","111497.46094639506","1235.0694183864914","0","196285.42757168051","321336.97493432311"
2006-06-01,"439.87389000000002","0","0","439.87389000000002","11879.143107861062","112732.53036478156","111497.46094639506","0","0","111497.46094639506","1235.0694183864914","0","196285.42757168051","321336.97493432311"
2006-07-01,"439.87389000000002","0","0","439.87389000000002","10691.50237659963","111985.45524283036","110750.38582444386","0","0","110750.38582444386","1235.0694183864914","0","195357.42757168057","318474.25908111059"
2006-08-01,"439.87389000000002","0","0","439.87389000000002","10678.070840950641","111844.81547746247","110611.29765382269","0","0","110611.29765382269","1233.5178236397749","0","195218.44532601268","318181.2055344258"
2006-09-01,"0","0","0","0","10678.070840950641","111844.81547746247","110611.29765382269","0","0","110611.29765382269","1233.5178236397749","0","189193.86206601263","311716.74838442577"
2006-10-01,"0","0","0","0","10678.070840950641","107539.12842596153","106305.61060232176","0","0","106305.61060232176","1233.5178236397749","0","189193.86206601263","307411.06133292482"
2006-11-01,"0","0","0","0","10678.070840950641","107539.12842596153","106305.61060232176","0","0","106305.61060232176","1233.5178236397749","0","189193.86206601263","307411.06133292482"
2006-12-01,"0","0","0","0","10651.207769652647","106038.26617819011","106038.26617819011","0","0","106038.26617819011","0","0","188915.89757467675","305605.3715225195"
2007-01-01,"0","0","0","0","10580.962614259603","105753.56892042047","105753.56892042047","0","0","105753.56892042047","0","0","187827.50112845225","304162.0326631323"
2007-02-01,"0","0","0","0","10554.209232175504","105486.26837197439","105486.26837197439","0","0","105486.26837197439","0","0","187549.90226784933","303590.37987199926"
2007-03-01,"0","0","0","0","10554.209232175504","105340.58464254113","105340.58464254113","0","0","105340.58464254113","0","0","187549.90226784933","303444.69614256598"
2007-04-01,"0","0","0","0","10554.209232175504","105052.10200999999","105052.10200999999","0","0","105052.10200999999","0","0","187405.66095157876","303011.97219375428"
2007-05-01,"0","0","0","0","10527.455850091406","104785.90200999999","104785.90200999999","0","0","104785.90200999999","0","0","187128.42772168884","302441.78558178025"
