"MES","BCBA01","BCBA02","BCBA03","BCBA04","BCBA05","BCBA06","BCBA07","BCBA08","BCBA09","BCBA10","BCBA11","BCBA12","BCBA13","BCBA14","BCBA15","BCBA16","BCBA17","BCBA18"
2001-01-01,"8737031.9560000002","10767817.067","2030785.111","792780.89300000004",,"6123858.4696859997","6123858.4696859997","0","0","0","25774076","25420062",,"206606","147408","0","3084507.4661090006","44512254.784795001"
2001-02-01,"8872312.2189999986","10732304.162999999","1859991.9439999999","795254.46900000004",,"6152058.1581779998","6152058.1581779998","0","0","0","25675362","25321588",,"207246","146528","0","3880178.6641859994","45375165.510363996"
2001-03-01,"8652343.8269999996","10236287.293","1583943.466","800201.61899999995",,"6203211.8821619991","6203211.8821619991","0","0","0","25391770","25037223",,"208526","146021","0","3919989.5653539994","44967516.893515997"
2001-04-01,"8843165.5","10342973.407","1499807.9070000001","803911.98199999996",,"6236331.8229","6236331.8229","0","0","0","25201794","24847948",,"209485","144361","0","4011528.7391999997","45096732.044100001"
2001-05-01,"9314615.9699999988","10722760.002999999","1408144.0330000001","810095.92099999997",,"6210487.2801299999","6210487.2801299999","0","0","0","25212041","24862260",,"211084","138697","0","3883957.5724200001","45431197.743550003"
2001-06-01,"9478971.0539999995","10917437.046","1438465.9920000001","813806.28399999999",,"6239561.9058680004","6239561.9058680004","0","0","0","25063658","24654786",,"212044","196828","0","4072490.1789379995","45668487.422806002"
2001-07-01,"9633494.0579999983","10937723.267999999","1304229.21","821227.01",,"6371309.8873440009","6371309.8873440009","0","0","0","24973895","24586573",,"213962","173360","0","3941514.0855360008","45741440.040880002"
2001-08-01,"9950390.7379999999","11203845.952","1253455.2140000002","834156.76",,"6299391.837328","6299391.837328","0","0","0","24732714","24344116",,"215241","173357","0","4119999.7890640004","45936653.124391995"
2001-09-01,"10087272.9","11284110.699000001","1196837.7989999999","839151.71100000001",,"6364071.150312","6364071.150312","0","0","0","24619638","24195524",,"216520","207594","0","4147999.2892800011","46058133.050592005"
2001-10-01,"10201609.595999999","11203357.858999999","1001748.263","846644.13699999999",,"6575239.7179260002","6575239.7179260002","0","0","0","24593798","24144023",,"218439","231336","0","4444133.3143539988","46661424.765279993"
2001-11-01,"11078570.302999999","11972134.134","893563.83100000001","850390.35",,"6777362.1018770002","6777362.1018770002","0","0","0","24441643","23990724",,"219399","231520","0","4464433.9247909999","47612399.679668002"
2001-12-01,"11490412.306","12370535.961999999","880123.65599999996","850390.35",,"7076383.6382579999","7076383.6382579999","0","0","0","24078897","23627092",,"219399","232406","0","4249780.1157680005","47745863.410025999"
