"MES","AMAM01","AMAM02","AMAM03","AMAM04","AMAM05","AMAM06","AMAM07","AMAM08"
2003-12-01,"4531731.8020000001","9206097.1229999997","5050639.4280000003","18218950.271000002","5219511.4020000007","29911547.421575803","5261277.4020000007","31831779.324551225"
2004-01-01,"3879953.9888200001","8878442.7721900009","4332087.3885899996","17858677.815730002","4434576.2509199996","29289545.700249605","4474651.2509199996","31310687.142618824"
2004-02-01,"3969655.875","8625934.4919999987","4410403.8150000004","17276250.317000002","4519761.4189999998","28552856.675309997","4566796.4189999998","30638669.387376115"
2004-03-01,"3687719.912","8662657.0989999995","4134510.102","16970000.358000003","4215973.4630000005","28107124.887608003","4263740.4630000005","30226133.408764821"
2004-04-01,"3801943.517","8493266.3629999999","4259265.1370000001","16300434.638999999","4346949.4939999999","27428950.668373998","4392619.4939999999","29508875.459227715"
2004-05-01,"3852547.51","8813942.5720000006","4301367.3600000003","16545391.666000001","4483127.4400000004","27923391.866139997","4528792.4400000004","29945036.926690612"
2004-06-01,"4080527.4750000001","8216618.551","4668445.8490000004","14466492.213000001","4858727.3660000004","26971899.215672001","4906496.3660000004","29073386.815616418"
2004-07-01,"4231987.7174899997","8208819.5932900002","4992901.09449","14394407.228289999","5207623.07149","27313957.385728002","5257015.07149","29430216.255369317"
2004-08-01,"4208207.2989999996","8346595.8370000003","5056163.1380000003","14528323.116","5320421.4020000007","27876885.395735998","5366210.4020000007","30042207.074468013"
2004-09-01,"4277211.2770000007","8370815.5660000006","5196783.0270000007","14703550.541000001","5506480.705000001","28309257.029268","5549676.705000001","30619563.247393813"
2004-10-01,"4360364.9400000004","8468472.0289999992","5309018.0779999997","14897622.375","5641854.8719999995","28596175.431565996","5686795.8719999995","31075796.458782509"
2004-11-01,"4433470.7735399995","8530855.4732600003","5358362.9495399995","15051263.470259998","5721652.8875399986","28781731.486592002","5765870.8875399986","31326152.783505414"
2004-12-01,"5257837.5199999996","9371502.6799999997","6392186.6909999996","16279273.699000001","6763724.0829999996","30193851.687864002","6837889.0829999996","32746748.524171211"
2005-01-01,"4674875.5719300006","8770917.4819300007","5745373.4719300009","15699666.74193","6130637.7266400009","29707414.865920004","6194846.7266400009","32137172.971924111"
2005-02-01,"4611829.9579600012","8592817.4614800029","5691676.798630001","15454624.310530003","6134028.7312800018","29806767.103126004","6193683.7312800018","32267335.478827015"
2005-03-01,"4506815.0287300004","8477037.2954099998","5574609.804440001","15307794.939040001","6026502.3714500004","29615729.397927999","6113791.3714500004","32036360.313022807"
2005-04-01,"4791723.9236699995","8857094.8877899982","5917909.7877499992","16157646.427369999","6438028.4639999997","30991105.168487996","6526082.4639999997","33490320.083582804"
2005-05-01,"4872563.1100900006","8906721.3471900001","5987862.2831500005","16270679.154959999","6566850.6570100002","31180839.779377997","6662790.6570100002","33663732.694472805"
2005-06-01,"4981336.8849299997","8891050.5329299998","6153070.7620499991","16088093.80088","6751303.6227499992","31016667.4028612","6858848.6227499992","33428361.317956008"
2005-07-01,"5302367.7283700006","9178572.3962200005","6491671.0486900005","16443936.95648","7159774.7128400011","31520947.972537","7274564.7128400011","33934343.078541107"
2005-08-01,"5572627.7832399998","9753095.9255599994","6920614.3997799996","17206927.8638","7589960.4778999994","32446921.7505242","7692665.4778999994","34675183.817134514"
2005-09-01,"5804005.1454800013","9937703.7665700018","7274337.515610001","17543913.255820002","7985274.7866000012","32830210.0086728","8074962.7866000012","34837215.305586211"
2005-10-01,"6360742.0331699997","10712117.72976","7892390.5703099994","18471245.643890001","8622785.0272000004","33575722.305319995","8738393.0272000004","35594482.062839605"
2005-11-01,"6881618.716909999","11667951.404269999","8474050.6521799993","19501098.84632","9232146.7094899993","34332987.962760001","9337544.7094899993","36316145.720279612"
2005-12-01,"7430775.8477100004","11483333.188300001","9356559.2598400004","19580787.97326","10205492.757790001","34312954.663610011","10288699.757790001","36201889.421129622"
2006-01-01,"6969144.0357799996","10958175.464679999","8858807.8238600008","18873904.180709999","9734866.1894400008","33492517.2313","10095928.833110001","34876276.232489616"
2006-02-01,"6945793.5122099994","11070407.761709999","8764990.623399999","18955259.831239998","9769920.9144299999","33696006.097008601","10232624.25599","35135950.226391315"
2006-03-01,"6747708.92454","10791225.40686","8758517.9831999987","18802530.315119997","9819434.6876099985","33663986.66719579","10389033.945529999","35178477.473544702"
2006-04-01,"7047965.751360001","11047282.42711","9075939.6260000002","19056876.111649998","10235330.057920001","33970146.762744404","10900792.484840002","35563188.068396419"
2006-05-01,"7488599.7837700006","11123387.306910001","9599582.7330799997","19078531.806159999","10838606.708799999","33904950.586404398","11588245.181","35592914.037336409"
2006-06-01,"7843808.8549100002","11435947.00718","10181371.752010001","19473025.150289997","11559855.140280001","34228864.772754401","12471209.977780001","36106181.568986416"
2006-07-01,"8222355.32852","11967111.84928","10668657.794749999","20091918.684239998","12072258.344789999","34700018.941694401","13107711.385739999","36682377.661376417"
2006-08-01,"8286754.499280001","12245093.257919999","10871572.306940001","20788386.102449998","12358600.955320001","35498364.443902999","13501164.797180001","37574695.784798115"
2006-09-01,"8576188.4676600005","12580798.81075","11220250.63518","21318931.242340002","12739683.48504","36173879.445723005","13952111.411760001","38280706.561478116"
2006-10-01,"8726438.2652800009","12835142.205540001","11333017.201670002","21798211.804760002","12935767.094190001","36685573.691113003","14148116.435790002","38724166.281748116"
2006-11-01,"9396472.8119400013","13593891.64837","12200180.715370003","23014717.324960001","13867299.446970005","38195386.978653006","15121701.821570005","40248549.482288122"
2006-12-01,"10751937.732039999","14891043.97209","14161117.250419999","25237424.196669996","15783384.567719998","40518546.839560188","17098792.794639997","42595988.516121507"
2007-01-01,"10325152.04996","14689327.42928","13670214.294189999","25064930.837399997","15486267.86857","40706161.117417403","16800608.575130001","42770923.564224921"
2007-02-01,"10455732.85991","14949042.67767","13889273.02187","25564865.887359999","15795901.875189999","41464986.793124601","17205117.85864","43555354.367428318"
2007-03-01,"10676160.509139998","15373214.361399997","14248936.204709997","26245354.708039995","16261694.012349997","42520147.678044587","17739207.350429997","44615842.646978304"
2007-04-01,"10973931.576019999","15537613.521419998","14496390.065709999","26451338.194809999","16502302.950549997","42738866.131304599","18113782.387619998","44994445.949228317"
