"MES","BCOA01","BCOA02","BCOA03","BCOA04","BCOA05","BCOA06","BCOA07","BCOA08","BCOA09","BCOA10","BCOA11","BCOA12","BCOA13","BCOA14","BCOA15"
2006-05-01,"371167.005","19314.930380000002","56006.50056","295845.57406000001","254592.06395000001","1906934.6003400001","1877193.3655000001","1763327.81256","0","31705.605959999994","82159.946979999993","29741.234840000001","11280.943029999999","165294.65081000002","2709269.2631300003"
2006-06-01,"365726.89408","18558.649419999998","52831.396379999991","294336.84828000003","253007.43063999995","1911772.1408899995","1882656.9550499995","1781877.7323199995","0","24404.166669999999","76375.056060000003","29115.185840000002","10847.126960000001","166243.4731","2707597.0656699995"
2006-07-01,"369452.50155000004","19894.563109999992","55357.029250000007","294200.90919000003","253934.33339999997","1924793.02991","1896473.84207","1792341.23071","0","28839.191800000001","75293.41955999998","28319.187840000002","10250.6819","165316.16189000005","2723746.7086500004"
2006-08-01,"394309.36358999996","21306.570800000005","56634.252370000002","316368.54041999998","252735.51542000004","1932529.95159","1904887.9084600001","1804873.45325","0","28965.378630000007","71049.076579999994","27642.043130000002","9505.9003400000001","164908.52270999999","2753989.2536500003"
2006-09-01,"397237.76345000003","23318.785859999996","57017.998009999988","316900.97958000004","255567.75900000005","1947433.8112600003","1920077.9661300003","1816177.0209200003","0","32888.159059999998","71012.786149999985","27355.845129999998","8906.6549200000009","165291.14866999997","2774437.1373000005"
2006-10-01,"387562.31412999996","23106.757419999991","52770.159239999994","311685.39746999997","256077.30339999995","1969955.5636699994","1942655.3665399994","1841022.7606199994","0","29743.353429999992","71889.252490000013","27300.19713","8307.3611299999993","167441.37486999994","2789343.9171999996"
2006-11-01,"390237.36817000003","24921.441180000013","56690.252259999994","308625.67473000003","265079.91987000004","1992218.5293400001","1964914.7214700002","1862571.2401600003","0","30355.289170000004","71988.192139999999","27303.807870000001","7697.547489999999","163661.95092999999","2818895.3157999995"
2006-12-01,"418070.99119000003","30293.166140000001","59122.938190000001","328654.88686000003","255289.65298999997","2014310.5916800001","1986589.0026800002","1904120.6351700001","0","18674.330110000003","63794.037399999987","27721.589","14328.419130000002","165014.87156","2867014.5265500001"
2007-01-01,"432736.3492","28070.741130000002","54256.748910000002","350408.85915999999","269917.19912","2012996.2346299998","1983086.5190899998","1892585.67557","0","24416.265980000004","66084.577539999998","29909.715539999997","13725.150870000001","165724.93907000002","2895099.8728899998"
2007-02-01,"457762.55906000006","30873.982010000007","57133.335679999989","369755.24137000006","272436.19124000001","2016564.17292","1986106.56235","1883527.84152","0","37910.541619999996","64668.179210000009","30457.610570000001","13002.307640000003","164951.59427","2924716.8251299998"
2007-03-01,"482520.21696999995","24160.338370000001","64594.514910000013","393765.36368999997","261985.00918999992","2039762.6581799996","2010491.3170399996","1911962.5270599998","0","36405.696230000001","62123.093750000015","29271.341139999997","12848.612290000001","167693.76320000004","2964810.2598299994"
