"MES","STBL01","STBL02","STBL03","STBL04","STBL05","STBL06","STBL07","STBL08","STBL09","STBL10","STBL11","STBL12"
1998-08-01,"5.5469999999999997","5.5465","5.5465","5.5469999999999997","5.5369999999999999","5.5570000000000004","5.5369999999999999","5.54","5.55","300000000","17070000","14020000"
1998-09-01,"5.5677000000000003","5.5636000000000001","5.5636000000000001","5.5677000000000003","5.5576999999999996","5.5777000000000001","5.5576999999999996","5.57","5.58","330000000","35025000","24150000"
1998-10-01,"5.5942999999999996","5.5929000000000002","5.5929000000000002","5.5942999999999996","5.5842999999999998","5.6043000000000003","5.5842999999999998","5.59","5.6","315000000","57305000","49305000"
1998-11-01,"5.6136999999999997","5.6120999999999999","5.6120999999999999","5.6136999999999997","5.6036999999999999","5.6237000000000004","5.6036999999999999","5.61","5.62","285000000","26320000","12400000"
1998-12-01,"5.6372999999999998","5.6359000000000004","5.6355000000000004","5.6372999999999998","5.6273","5.6473000000000004","5.6273","5.64","5.65","330000000","71200551","51965550"
1999-01-01,"5.6574999999999998","5.6565000000000003","5.6565000000000003","5.6574999999999998","5.6405000000000003","5.6675000000000004","5.6405000000000003","5.65","5.67","300000000","64146787","49305575"
1999-02-01,"5.6821999999999999","5.6749999999999998","5.6749999999999998","5.6828000000000003","5.6627999999999998","5.6928000000000001","5.6627999999999998","5.68","5.7","270000000","1185000","185000"
1999-03-01,"5.7130000000000001","5.7117000000000004","5.7117000000000004","5.7130000000000001","5.6929999999999996","5.7229999999999999","5.6929999999999996","5.71","5.73","345000000","44945000","33515000"
1999-04-01,"5.7447999999999997","5.7438000000000002","5.7438000000000002","5.7447999999999997","5.7248000000000001","5.7548000000000004","5.7248000000000001","5.74","5.76","315000000","31060000","21590000"
1999-05-01,"5.7714999999999996","5.7725","5.7725","5.7755000000000001","5.7554999999999996","5.7854999999999999","5.7554999999999996","5.77","5.79","300000000","6497124","4835000"
1999-06-01,"5.7995000000000001","5.7980999999999998","5.7980999999999998","5.7995000000000001","5.7794999999999996","5.8094999999999999","5.7794999999999996","5.79","5.81","315000000","68970000","61915000"
1999-07-01,"5.8352000000000004","5.8329000000000004","5.8329000000000004","5.8380999999999998","5.8181000000000003","5.8480999999999996","5.8181000000000003","5.83","5.85","315000000","38880000","24430000"
1999-08-01,"5.8714000000000004","5.8670999999999998","5.8670999999999998","5.8714000000000004","5.8513999999999999","5.8814000000000002","5.8513999999999999","5.87","5.89","315000000","30570000","19270000"
1999-09-01,"5.9067999999999996","5.9050000000000002","5.9050000000000002","5.9067999999999996","5.8868","5.9168000000000003","5.8868","5.91","5.93","330000000","42417000","23482000"
1999-10-01,"5.9394999999999998","5.9381000000000004","5.9381000000000004","5.9394999999999998","5.9195000000000002","5.9494999999999996","5.9195000000000002","5.94","5.96","315000000","29405000","22790000"
1999-11-01,"5.9671000000000003","5.9667000000000003","5.9667000000000003","5.9671000000000003","5.9470999999999998","5.9771000000000001","5.9470999999999998","5.96","5.98","315000000","5328000","4428000"
1999-12-01,"5.9904000000000002","5.9896000000000003","5.9896000000000003","5.9904000000000002","5.9703999999999997","6.0004","5.9703999999999997","5.98","6","330000000","43740000","43290000"
2000-01-01,"6.0167000000000002","6.0148000000000001","6.0152000000000001","6.0167000000000002","5.9966999999999997","6.0266999999999999","5.9966999999999997","6.01","6.03","315000000","81459000","81459000"
2000-02-01,"6.0490000000000004","6.0471000000000004","6.0471000000000004","6.0490000000000004","6.0289999999999999","6.0590000000000002","6.0289999999999999","6.04","6.06","315000000","13610000","4845000"
2000-03-01,"6.0857000000000001","6.0842999999999998","6.0842999999999998","6.0857000000000001","6.0656999999999996","6.0956999999999999","6.0656999999999996","6.08","6.1","315000000","37100000","28200000"
2000-04-01,"6.1167999999999996","6.1153000000000004","6.1153000000000004","6.1167999999999996","6.0968","6.1268000000000002","6.0968","6.11","6.13","315000000","24955000","10450000"
2000-05-01,"6.1490999999999998","6.1477000000000004","6.1477000000000004","6.1490999999999998","6.1291000000000002","6.1590999999999996","6.1291000000000002","6.14","6.16","330000000","8830000","8830000"
2000-06-01,"6.1786000000000003","6.1772999999999998","6.1772999999999998","6.1786000000000003","6.1585999999999999","6.1886000000000001","6.1585999999999999","6.17","6.19","330000000","17600000","10420000"
2000-07-01,"6.2084999999999999","6.2069999999999999","6.2069999999999999","6.2084999999999999","6.1885000000000003","6.2184999999999997","6.1885000000000003","6.2","6.22","300000000","40155000","31880000"
2000-08-01,"6.2394999999999996","6.2377000000000002","6.2377000000000002","6.2394999999999996","6.2195","6.2495000000000003","6.2195","6.24","6.26","330000000","31730000","21650000"
2000-09-01,"6.2724000000000002","6.2709999999999999","6.2709999999999999","6.2724000000000002","6.2523999999999997","6.2824","6.2523999999999997","6.27","6.29","315000000","42145000","26245000"
2000-10-01,"6.3026999999999997","6.3014000000000001","6.3014000000000001","6.3026999999999997","6.2827000000000002","6.3127000000000004","6.2827000000000002","6.3","6.32","330000000","44715000","30215000"
2000-11-01,"6.3395000000000001","6.3376000000000001","6.3376000000000001","6.3395000000000001","6.3194999999999997","6.3494999999999999","6.3194999999999997","6.34","6.36","315000000","39445000","27255000"
2000-12-01,"6.3795000000000002","6.3784999999999998","6.3784999999999998","6.3795000000000002","6.3594999999999997","6.3895","6.3594999999999997","6.38","6.4","300000000","116810000","61800000"
2001-01-01,"6.4181999999999997","6.4168000000000003","6.4168000000000003","6.4181999999999997","6.3982000000000001","6.4282000000000004","6.3982000000000001","6.41","6.43","330000000","149005000","111445000"
2001-02-01,"6.4417","6.44","6.44","6.4417","6.4217000000000004","6.4516999999999998","6.4217000000000004","6.43","6.45","270000000","44085000","17585000"
2001-03-01,"6.4772999999999996","6.4759000000000002","6.4759000000000002","6.4772999999999996","6.4573","6.4873000000000003","6.4573","6.47","6.49","330000000","98730000","68150000"
2001-04-01,"6.5110000000000001","6.5095000000000001","6.5095000000000001","6.5110000000000001","6.4909999999999997","6.5209999999999999","6.4909999999999997","6.5","6.52","300000000","35730000","22330000"
2001-05-01,"6.5418000000000003","6.5395000000000003","6.5395000000000003","6.5418000000000003","6.5217999999999998","6.5518000000000001","6.5217999999999998","6.55","6.57","330000000","47290000","23890000"
2001-06-01,"6.5824999999999996","6.5810000000000004","6.5810000000000004","6.5824999999999996","6.5625","6.5925000000000002","6.5625","6.58","6.6","300000000","62350000","43150000"
2001-07-01,"6.6356999999999999","6.6329000000000002","6.6329000000000002","6.6356999999999999","6.6157000000000004","6.6456999999999997","6.6157000000000004","6.64","6.66","315000000","76710000","45690000"
2001-08-01,"6.6877000000000004","6.6859000000000002","6.6859000000000002","6.6877000000000004","6.6677","6.6977000000000002","6.6677","6.68","6.7","330000000","66545000","49195000"
2001-09-01,"6.7252999999999998","6.7232000000000003","6.7232000000000003","6.7252999999999998","6.7053000000000003","6.7352999999999996","6.7053000000000003","6.72","6.74","330000000","71950000","46050000"
2001-10-01,"6.7670000000000003","6.7643000000000004","6.7643000000000004","6.7670000000000003","6.7469999999999999","6.7770000000000001","6.7469999999999999","6.78","6.8","345000000","63000000","22150000"
2001-11-01,"6.8129","6.8113999999999999","6.8113999999999999","6.8129","6.7929000000000004","6.8228999999999997","6.7929000000000004","6.81","6.83","315000000","102544230","63144230"
2001-12-01,"6.8250000000000002","6.8250000000000002","6.8250000000000002","6.8250000000000002","6.8049999999999997","6.835","6.8049999999999997","6.81","6.83","300000000","65450000","46750000"
2002-01-01,"6.8764000000000003","6.8727","6.8727","6.8764000000000003","6.8563999999999998","6.8864000000000001","6.8563999999999998","6.89","6.91","330000000","296664000","125488996"
2002-02-01,"6.9539","6.9493999999999998","6.9493999999999998","6.9539","6.9339000000000004","6.9638999999999998","6.9339000000000004","6.97","6.99","270000000","54760000","15470000"
2002-03-01,"7.0060000000000002","7.0045000000000002","7.0039999999999996","7.0060000000000002","6.9859999999999998","7.016","6.9859999999999998","7.01","7.03","300000000","66245000","42730000"
2002-04-01,"7.0559000000000003","7.0545","7.0545","7.0559000000000003","7.0358999999999998","7.0659000000000001","7.0358999999999998","7.04","7.06","330000000","56315000","31190000"
2002-05-01,"7.0724","7.0705","7.0705","7.0724","7.0523999999999996","7.0823999999999998","7.0523999999999996","7.08","7.1","315000000","14561000","10861000"
2002-06-01,"7.1429999999999998","7.1395","7.1395","7.1429999999999998","7.1230000000000002","7.1529999999999996","7.1230000000000002","7.15","7.17","300000000","115528000","61940000"
2002-07-01,"7.2045000000000003","7.24","7.24","7.2045000000000003","7.1844999999999999","7.2145000000000001","7.1844999999999999","7.22","7.24","330000000","127688340","83248340"
2002-08-01,"7.2709999999999999","7.2675999999999998","7.2675999999999998","7.2709999999999999","7.2510000000000003","7.2809999999999997","7.2510000000000003","7.28","7.3","315000000","94767300","69527300"
2002-09-01,"7.3270999999999997","7.3251999999999997","7.3247999999999998","7.3270999999999997","7.3071000000000002","7.3371000000000004","7.3071000000000002","7.33","7.35","315000000","79776000","48046000"
2002-10-01,"7.383","7.3813000000000004","7.3808999999999996","7.383","7.3616999999999999","7.3929999999999998","7.3616999999999999","7.38","7.4","345000000","84915000","47475000"
2002-11-01,"7.4248000000000003","7.4223999999999997","7.4223999999999997","7.4248000000000003","7.4047999999999998","7.4348000000000001","7.4047999999999998","7.43","7.45","315000000","62515000","41565000"
2002-12-01,"7.4714999999999998","7.4684999999999997","7.4684999999999997","7.4714999999999998","7.4515000000000002","7.4814999999999996","7.4515000000000002","7.48","7.5","300000000","91760000","71190000"
2003-01-01,"7.5345000000000004","7.5323000000000002","7.5323000000000002","7.5345000000000004","7.5145","7.5445000000000002","7.5145","7.53","7.55","330000000","283400000","111500000"
2003-02-01,"7.5621","7.5610999999999997","7.5610999999999997","7.5621","7.5420999999999996","7.5720999999999998","7.5420999999999996","7.55","7.57","285000000","42400000","35900000"
2003-03-01,"7.5904999999999996","7.5888999999999998","7.5888999999999998","7.5904999999999996","7.5705","7.6005000000000003","7.5705","7.58","7.6","285000000","54400000","39700000"
2003-04-01,"7.609","7.6086","7.6086","7.609","7.5890000000000004","7.6189999999999998","7.5890000000000004","7.59","7.61","315000000","24000000","20500000"
2003-05-01,"7.6189999999999998","7.6181000000000001","7.6181000000000001","7.6189999999999998","7.5990000000000002","7.6289999999999996","7.5990000000000002","7.61","7.63","315000000","5800000","4600000"
2003-06-01,"7.6464999999999996","7.6449999999999996","7.6449999999999996","7.6464999999999996","7.6265000000000001","7.6565000000000003","7.6265000000000001","7.64","7.66","300000000","24400000","15400000"
2003-07-01,"7.6795","7.6782000000000004","7.6782000000000004","7.6795","7.6595000000000004","7.6894999999999998","7.6595000000000004","7.67","7.69","330000000","68900000","46900000"
