"MES","BZCR01","BZCR02","BZCR03"
2004-08-01,"95.5","72.8","22.700000000000003"
2004-09-01,"162.1","78.900000000000006","83.199999999999989"
2004-10-01,"125.7","93.1","32.600000000000009"
2004-11-01,"162.1","115.6","46.5"
2004-12-01,"228.4","156.6","71.800000000000011"
2005-01-01,"35","137.32","-102.32"
2005-02-01,"66.8","42.91","23.89"
2005-03-01,"100.48","110","-9.519999999999996"
2005-04-01,"177.4","108.31","69.09"
2005-05-01,"238.6","239.5","-0.90000000000000568"
2005-06-01,"236.5","198.41499999999999","38.085000000000008"
2005-07-01,"187.75","101.05","86.7"
2005-08-01,"168.04","80.7","87.339999999999989"
2005-09-01,"122.1","115.7","6.3999999999999915"
2005-10-01,"232.6","117.5","115.1"
2005-11-01,"268.3","163.61000000000001","104.69"
2005-12-01,"313.92824458340004","273.13617119970053","40.792073383699517"
2006-01-01,"183.6","190.3","-6.7000000000000171"
2006-02-01,"167.1","98.1","69"
2006-03-01,"182","80.099999999999994","101.9"
2006-04-01,"259.48754675980615","98.6193286551391","160.86821810466705"
2006-05-01,"355.81048432242227","193.61911125740659","162.19137306501568"
2006-06-01,"247.94774030417918","121.4638208002107","126.48391950396848"
2006-07-01,"263.2849145739317","100.44586704728664","162.83904752664506"
2006-08-01,"221.20764223717742","108.43468613717739","112.77295610000003"
2006-09-01,"253.54576856163277","123.5189488512375","130.02681971039527"
2006-10-01,"245.71484282391287","163.21211132486113","82.502731499051748"
2006-11-01,"243.93682668876377","172.54653842876374","71.390288260000034"
2006-12-01,"335.95619318578963","224.74944981578989","111.20674336999974"
2007-01-01,"202.90960769000003","152.96024800000001","49.949359690000023"
2007-02-01,"206.48809753756743","89.360241937567153","117.12785560000027"
2007-03-01,"247.5795267865677","86.192592386567242","161.38693440000046"
2007-04-01,"289.22578178971492","105.97801255871552","183.24776923099938"
2007-05-01,"283.61329850800416","149.80298075093776","133.8103177570664"
2007-06-01,"236.26138446613578","200.63470873613576","35.626675730000017"
2007-07-01,"352.90296179848565","140.74341696948554","212.15954482900011"
2007-08-01,"427.92729337639946","162.43765560639955","265.48963776999994"
2007-09-01,"417.05538852015559","119.54663360415556","297.50875491600004"
2007-10-01,"301.15608150941301","170.26506048841233","130.89102102100068"
2007-11-01,"334.09971644875782","183.76161909375821","150.3380973549996"
2007-12-01,"379.06191016138229","180.15786354138231","198.90404661999997"
2008-01-01,"368.79153990314683","148.57076459314649","220.22077531000033"
2008-02-01,"423.13975673167721","90.448426952266743","332.69132977941047"
2008-03-01,"402.5422211842062","130.04924139420589","272.49297979000028"
2008-04-01,"512.07206014334724","179.48261301126635","332.58944713208086"
2008-05-01,"412.30067630086211","99.77483003884538","312.52584626201673"
2008-06-01,"362.03775703611257","117.3986327713571","244.63912426475548"
2008-07-01,"560.0006946467546","220.17279975631956","339.827894890435"
2008-08-01,"433.70814317348686","116.43881255062215","317.26933062286469"
2008-09-01,"371.47132003932143","315.03109399247313","56.440226046848295"
2008-10-01,"316.71382903518622","434.50280512065586","-117.78897608546964"
2008-11-01,"337.48694018601145","329.43806749599202","8.0488726900194365"
2008-12-01,"418.32143360610314","363.43854922645357","54.882884379649568"
2009-01-01,"379.88005879641662","349.68540408992095","30.194654706495669"
2009-02-01,"350.12181428025497","487.74751230404695","-137.62569802379198"
2009-03-01,"352.87301745172238","244.88414116546988","107.98887628625249"
2009-04-01,"298.25564494071955","305.370126349614","-7.1144814088944486"
2009-05-01,"252.89671577334585","154.3775219740773","98.51919379926855"
2009-06-01,"293.9650387495505","214.92504106693465","79.039997682615848"
2009-07-01,"264.14112720154327","209.67231030703431","54.468816894508961"
2009-08-01,"294.36243882131669","213.09823225321429","81.264206568102395"
2009-09-01,"316.75130768042743","222.19752759542396","94.553780085003467"
2009-10-01,"337.79640196942233","245.61697175327859","92.179430216143743"
2009-11-01,"325.88808317591747","286.18793420943001","39.700148966487461"
2009-12-01,"330.51179241972739","423.71844280573686","-93.206650386009471"
2010-01-01,"275.10520389302724","291.06328573984126","-15.958081846814025"
2010-02-01,"381.71148927611193","426.28371243213775","-44.572223156025814"
2010-03-01,"332.52329336113007","404.54977645282997","-72.026483091699902"
2010-04-01,"249.61551353398852","314.96898025499411","-65.353466721005589"
2010-05-01,"306.71533703390241","327.66264745065416","-20.947310416751748"
2010-06-01,"332.77520692268774","275.57168581748795","57.203521105199798"
2010-07-01,"352.7713234640172","214.30303974217989","138.46828372183731"
2010-08-01,"321.26615406522114","261.42650742427963","59.83964664094151"
2010-09-01,"429.70560427126253","182.71624135908806","246.98936291217447"
2010-10-01,"402.89398489000001","287.87780076087518","115.01618412912484"
2010-11-01,"400.32073775073104","348.72837149219106","51.592366258539982"
