"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
2001-05-01,"9314615.9699999988","10722760.002999999","1408144.0330000001","810095.92099999997",,"6063098.2850000001","6063098.2850000001","0","25000580","24862260","18407232","459988","1588428","4406612","138320","447311.46799999999","3913333.932","45549035.576000005"
2001-06-01,"9478971.0539999995","10917437.046","1438465.9920000001","813806.28399999999",,"6099226.7980000004","6099226.7980000004","0","24851236","24654786","18306382","390848","1511480","4446076","196450","423402.63699999999","4108862.0939999996","45775504.866999999"
2001-07-01,"9633494.0579999983","10937723.267999999","1304229.21","821227.01",,"6204395.9570000004","6204395.9570000004","0","24759551","24586573","17813485","668929","1542133","4562026","172978","441438.56800000003","4019371.2060000002","45879477.799000002"
2001-08-01,"9950390.7379999999","11203845.952","1253455.2140000002","834156.76",,"6138479.2199999997","6138479.2199999997","0","24517089","24344116","17510059","521572","1676194","4636291","172973","366983.07699999999","4134529.0259999996","45941627.820999995"
2001-09-01,"10087272.9","11284110.699000001","1196837.7989999999","839151.71100000001",,"6200311.608","6200311.608","0","24402732","24195524","17266797","586310","1641738","4700679","207208","375584.38199999998","4172953.82","46078006.420999996"
2001-10-01,"10201609.595999999","11203357.858999999","1001748.263","846644.13699999999",,"6412412.1370000001","6412412.1370000001","0","24374970","24144023","17091170","660755","1563749","4828349","230947","390440.38699999999","4449991.311999999","46676067.568999998"
2001-11-01,"11078570.302999999","11972134.134","893563.83100000001","850390.35",,"6601204.4469999997","6601204.4469999997","0","24221853","23990724","16910021","638731","1589145","4852827","231129","383457.25599999999","4411039.932","47546515.287999988"
2001-12-01,"11490412.306","12370535.961999999","880123.65599999996","850390.35",,"7003839.3789999997","7003839.3789999997","0","23859107","23627092","17285395","379585","1396126","4565986","232015","382437.56900000002","4439657.3090000004","48025843.912999995"
2002-01-01,"12177573.485000001","12922752.481000001","745178.99600000004","860380.25100000005",,"7112310.1270000003","7112310.1270000003","0","23681314","23429517","16605594","642445","1422157","4759321","251797","389678.78100000002","4189876.96","48411133.60400001"
2002-02-01,"11959418.113","12623202.478","663784.36500000011","869121.41500000004",,"6999865.5710000005","6999865.5710000005","0","23771534","23530194","16591342","493955","1622447","4822450","241340","405877.527","4238950.4869999997","48244767.113000005"
2002-03-01,"11504074.236","12122809.043","618734.80699999991","875365.103",,"6976162.6160000004","6976162.6160000004","0","23878029","23632263","16790867","511238","1508705","4821453","245766","416871.86800000002","4171884.7239999995","47822387.546999998"
2002-04-01,"11615826.754999999","12224566.949999999","608740.19500000007","879111.31599999999",,"6941822.5829999996","6941822.5829999996","0","23936977","23687661","16726361","471967","1567605","4921728","249316","410883.93099999998","4426635.2809999995","48211256.865999997"
2002-05-01,"11478000.547999999","12190678.881999999","712678.33399999992","882857.52899999998",,"6945388.0539999995","6945388.0539999995","0","23828223","23574969","16521149","534856","1459740","5059224","253254","417365.74","4281474.07","47833308.941"
2002-06-01,"10464446.603","11401299.699999999","936853.09700000007","892847.43",,"7318914.733","7318914.733","0","23896216","23640608","16666048","443438","1416569","5114553","255608","449082.745","4362242.5580000002","47383750.068999998"
2002-07-01,"7629347.8870000001","8889752.9250000007","1260405.0380000002","901588.59400000004",,"7832167.6210000003","7832167.6210000003","0","23751120","23465113","16038141","747202","1520591","5159179","286007","621373.902","4898443.5539999995","45634041.557999998"
2002-08-01,"8521511.220999999","9749946.4979999997","1228435.277","920838.22",,"8172199.415","8172199.415","0","23659142","23330968","15930734","460495","1699317","5240422","328174","207367.74799999999","4416186.3640000001","45897244.968000002"
2002-09-01,"9083163.6490000002","10256569.899","1173406.25","927162.65800000005",,"7976987.6629999997","7976987.6629999997","0","23647786","23187280","15697542","534629","1633279","5321830","460506","205237.63099999999","4110429.7379999999","45950767.338999994"
2002-10-01,"9335432.6969999988","10375811.800999999","1040379.1040000001","933487.09699999995",,"8142451.7709999997","8142451.7709999997","0","23704084","23256651","15854986","483399","1450927","5467339","447433","243761.97700000001","4278809.693","46638027.234999999"
2002-11-01,"9369698.8529999983","10343310.868999999","973612.01600000006","939811.53500000003",,"8139320.5729999999","8139320.5729999999","0","23801432","23308384","15787639","474066","1478382","5568297","493048","229003.67600000001","4197331.5750000002","46676598.211999997"
2002-12-01,"10172043.586000001","11177273.699000001","1005230.1129999999","946135.973",,"8159301.0839999998","8159301.0839999998","0","23723465","23228793","16538533","0","1285423","5404837","494672","236035.58100000001","4850474.148","48087455.372000001"
2003-01-01,"10381109.571999999","11062544.814999999","681435.24300000002","952460.41200000001",,"8361238.0199999996","8361238.0199999996","0","23600724","22998905","16170946","0","1309495","5518464","601819","230427.598","4644454.3990000002","48170414.001000002"
2003-02-01,"9175191.7100000009","9859839.1510000005","684647.44100000011","954990.18700000003",,"8800149.0580000002","8800149.0580000002","0","23362501","22759581","15830097","0","1414306","5515178","602920","313292.70199999999","4710825.0370000005","47316949.693999998"
2003-03-01,"9133033.4240000006","9797697.1970000006","664663.77300000004","958784.85",,"8711513.6339999996","8711513.6339999996","0","23551726","22979182","15896528","0","1602854","5479800","572544","261823.78700000001","4574611.0350000001","47191492.730000004"
2003-04-01,"9552135.3859999999","10608884.873","1056749.4870000002","960049.73800000001",,"8669495.9879999999","8669495.9879999999","0","23560142","23009621","15863430","0","1502074","5644117","550521","264173.41600000003","4602499.4609999992","47608495.989000008"
2003-05-01,"9491207.1620000005","10553863.215","1062656.0530000001","962579.51300000004",,"8705142.9279999994","8705142.9279999994","0","23868938","23318747","16214079","0","1443357","5661311","550191","263547.37699999998","4730098.9409999996","48021513.920999996"
2003-06-01,"10295380.968999999","11301292.857999999","1005911.889","1042774.176",,"8837288.5529999994","8837288.5529999994","0","23698811","23168069","16200481","0","1349633","5617955","530742","225749.92","4685529.925999999","48785534.544"
2003-07-01,"10667251.419000002","11725822.892000001","1058571.473","1046868.839",,"8919789.0040000007","8919789.0040000007","0","23749266","23231047","16249790","0","1274422","5706835","518219","200590.772","4420692.3029999994","49004458.336999997"
