"MES","BCFA01","BCFA02","BCFA03","BCFA04","BCFA05","BCFA06","BCFA07","BCFA08","BCFA09","BCFA10","BCFA11","BCFA12","BCFA13","BCFA14","BCFA15","BCFA16","BCFA17","BCFA18"
2004-07-01,"10654625.896","11752425.25","1097799.3540000001","1097303.9680000001","73584.123880800005","10299760.102013899","10299760.102013899","0","0","0","28988929.951596446","22452348.951596446","255218","6010882","270481","0","5335002.8254562458","56449206.86694739"
2004-08-01,"11489403.455","12617576.137","1128172.682","1101455.1810000001","71729.867603999999","10603809.9092736","10603809.9092736","0","0","0","28964539.594680816","22362161.594680816","256178","6084899","261301","0","5204482.0900079487","57435420.097566366"
2004-09-01,"12525696.488","13903141.057","1377444.5689999999","1125090.3570000001","66502.899027599997","10704343.585048201","10704343.585048201","0","0","0","28907387.570708923","22247549.570708923","256817","6164261","238760","0","5079500.0824630838","58408520.982247815"
2004-10-01,"12785668.98","14156273.578","1370604.598","1129320.02","58729.760870400001","10850593.056358","10850593.056358","0","0","0","28776848","21998921","257776","6274976","245175","0","5158931.0132627878","58760090.830491185"
2004-11-01,"13452383.03584649","14893983.469846491","1441600.4340000001","1130729.9069999999","60635.460143800003","10808077.572316","10808077.572316","0","0","0","28821472.184418313","21935902.911446154","258097","6384348","243124.2729721576","0","5187268.2567994781","59460566.416524082"
2004-12-01,"13537982.981000001","15041171.534","1503188.5530000001","1133549.683","121290.4945764","11071133.098412","11071133.098412","0","0","0","29322416.734883253","22360488.734883253","258736","6461982","241210","0","5072965.9356444916","60259338.927516147"
2005-01-01,"13197785.479999997","14509893.608999997","1312108.129","1134959.57","121270.52899999999","10823916.07119","10823916.07119","0","0","0","29112776.000000004","23066638.570000004","259055.96","5540454","246627.47","0","5031405.115829058","59422112.766019054"
2005-02-01,"13420349.399913479","14737572.864107279","1317223.4641938007","1136369.45799","118981.95172500001","10848619.2679618","10848619.2679618","0","0","0","29097804.581484981","23032194.222967468","259375.76527385745","5565131.0479900008","241103.54525365366","0","5170856.5401707282","59792981.199245989"
2005-03-01,"13535146.73222727","14790564.92013127","1255418.1879039998","1162823.2333200001","118240.9017576","10580546.763872001","10580546.763872001","0","0","0","29283142.438856468","23158451.030723356","260015.39271056678","5618283.6723999996","246392.343022546","0","5096206.1682949234","59776106.238328263"
2005-04-01,"14483414.886468472","15800555.289512072","1317140.4030436","1162823.2333200001","195024.29319600001","10881899.844082803","10881899.844082803","0","0","0","29728201.709567666","23436800.972354554","260015.39271056678","5769306.3681100002","262078.97639254606","0","5267632.4220077237","61718996.388642669"
2005-05-01,"14595786.688238472","15834781.768438471","1238995.0802000002","1162823.2333200001","174906.00914479999","10652460.061904801","10652460.061904801","0","0","0","29989798.606418069","23660880.012184955","260015.39271056678","5799569.5201099999","269333.68141254608","0","5134921.0173485242","61710695.616374671"
