"MES","SFBP01","SFBP02","SFBP03","SFBP04","SFBP05","SFBP06","SFBP07","SFBP08","SFBP09","SFBP10","SFBP11","SFBP12","SFBP13","SFBP14","SFBP15","SFBP16","SFBP17","SFBP18","SFBP19","SFBP20","SFBP21","SFBP22","SFBP23","SFBP24","SFBP25","SFBP26","SFBP27","SFBP28","SFBP29","SFBP30","SFBP31"
2003-03-01,"990343.71900000004","7676","4202","3474","0","210161","21382","188779","-","-","769472","1076","768396","0","0","3034.7190000000001","429.04899999999998","2605.67","-","291718","0","96171","195547","6320","6301","19","-","15539","118846","238009","239287"
2003-04-01,"1005587.3370000001","8620","6779","1841","0","213107","21570","191537","-","-","780436","1165","779271","0","0","3424.337","534.75199999999995","2889.585","-","308827","0","110051","198776","2174","2148","26","-","15560","115829","236185","241257"
2003-05-01,"1036747.941","5311","3764","1547","0","224592","22816","201776","-","-","803931","4771","799160","0","0","2913.9410000000003","378.17","2535.7710000000002","-","310773","0","120587","190186","2388","2363","25","-","11035","115111","240749","236516"
2003-06-01,"1099347.8959999999","5174","3473","1701","0","231008","22157","208851","-","-","860343","4791","855552","0","0","2822.8960000000002","670.41800000000001","2152.4780000000001","-","320975","0","138914","182061","2725","2708","17","-","6685","117917","233608","215436"
2003-07-01,"1170531.9469999999","5861","3682","2179","0","244959","23051","221908","-","-","917137","4901","912236","0","0","2574.9470000000001","576.15200000000004","1998.7950000000001","-","306298","0","127997","178301","2509","2460","49","-","5177","118319","227377","220991"
2003-08-01,"1217255.037","3080","1177","1903","0","259924","26059","233865","-","-","951774","5382","946392","0","0","2477.0370000000003","451.108","2025.9290000000001","-","308779","0","132038","176741","2606","2584","22","-","5204","110127","238878","224584"
2003-09-01,"1229037.1189999999","6507","3043","3464","0","272028","29715","242313","-","-","947551","8552","938999","0","0","2951.1190000000001","672.82600000000002","2278.2930000000001","-","314686","0","141708","172978","2207","2177","30","-","5218","159490","243896","231652"
2003-10-01,"1249689.4580000001","6682","4568","2114","0","282425","29149","253276","-","-","958027","8778","949249","0","0","2555.4580000000001","478.98","2076.4780000000001","-","330135","0","144182","185953","2882","2855","27","-","5231","156437","244455","237050"
2003-11-01,"1247520.3089999999","4133","2538","1595","0","294344","30202","264142","-","-","945992","7958","938034","0","0","3051.3090000000002","455.74200000000002","2595.567","-","335591","0","141768","193823","2874","2855","19","-","5245","171475","252782","251629"
2003-12-01,"1266516.8759999999","4704","3198","1506","0","316853","30668","286185","-","-","934709","9148","925561","0","0","10250.876","773.88099999999997","9476.9950000000008","-","340091","0","127502","212589","10258","10238","20","-","7038","211240","245549","273859"
2004-01-01,"1277693.81253","2212.4290000000001","1538.29747","674.13153","0","321609","32809","288800","-","-","940431.34617000003","9055.3461700000007","931376","0","0","13441.03736","524.03736000000004","12917","-","314626","0","106738","207888","8907","8866","41","-","7056","219179","254408","283509"
2004-02-01,"1294802","1830","728","1102","0","327513","32068","295445","-","-","952163","9256","942907","0","0","13296","639","12657","-","337432","0","114636","222796","13015","12997","18","-","3140","219479","254275","286749"
2004-03-01,"1316565","2249","1633","616","0","345918","36445","309473","-","-","954495","9720","944775","0","0","13903","599","13304","-","352435","0","116440","235995","13925","13908","17","-","3152","259573","263435","286536"
2004-04-01,"1293851","2004","1310","694","0","315480","36251","279229","-","-","963162","11722","951440","0","0","13205","558","12647","-","343961","2989","93730","247242","2801","2786","15","-","11046","286392","261126","288616"
2004-05-01,"1305654","2192","1437","755","0","312708","33764","278944","-","-","976804","10583","966221","0","0","13950","1401","12549","-","355406","0","112137","243269","9032","9012","20","-","46610","295914","267943","292735"
2004-06-01,"1331699","2491","1764","727","0","257788","39042","217790","-","956","1052483","13357","1038640","0","486","18937","6933","12004","-","344617","0","88618","255999","14435","14415","20","-","50688","301554","270013","300152"
2004-07-01,"1361419.2772900001","9061.27729","8306.2034899999999","755.07380000000001","0","242226","41876","198995","-","1355","1094089","14349","1078988","0","752","16043","4284","11759","-","375330","0","104856","270474","7917","7829","88","-","58682","354249","277578","304188"
2004-08-01,"1424936","10036","9458","578","0","244825","44812","198050","-","1963","1153562","15678","1137196","0","688","16513","4703","11810","-","398485","0","109611","288874","9105","9038","67","-","39004","377469","288497","307582"
2004-09-01,"1514257","3148","2552","596","0","268418","56351","210217","-","1850","1225367","13723","1210851","0","793","17324","4427","12897","-","425051","0","126886","298165","8104","8011","93","-","23142","389602","294683","314063"
2004-10-01,"1594838","1424","620","804","0","272911","55625","214841","0","2445","1301822","14458","1285970","0","1394","18681","5645","13036","-","432435","0","135712","296723","8941","8885","56","-","19224","391755","305339","319825"
2004-11-01,"1626335","7557","6942","615","0","273004","53356","217430","0","2218","1330209","17549","1311542","0","1118","15565","2392","13173","-","445473","0","139706","305767","6487","6432","55","-","16040","396514","312956","325726"
2004-12-01,"1676453","1749","390","1359","0","292541","63295","227001","0","2245","1364136","18651","1343709","0","1776","18027","4720","13307","-","456786","0","150067","306719","20928","20853","75","-","20100","394820","291150","329070"
2005-01-01,"1123364","863","538","325","0","218786","41737","177049","0","0","887102","9467","877635","0","0","16613","3060","13553","-","312609","0","106150","206459","12265","12150","115","-","0","204410","187574","211579"
2005-02-01,"1166446.38262","3916.7665399999996","3578.2768099999998","338.48973000000001","0","227741.65298999997","44295.334329999998","183446.31865999999","0","0","916746.08129","10622.61724","906123.46404999995","0","0","18041.881799999999","4414.7118399999999","13627.169959999999","-","311776.78250000003","0","104286.34173","207490.44077000004","12071.07619","12014.146000000001","56.930190000000003","-","0","204663.55","198427.25626000005","208901.52777999997"
