"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2010-11-01,"1252770.66802","151399.12744000001","773976.0403799999","327395.50020000007","359843.73320000002","4598498.398169999","4596691.0408099992","4532012.0097599989","0","42136.905219999993","22542.125830000004","1807.3573599999997","3486.60986","272526.00307999988","6487125.4123299997"
2010-12-01,"1181938.81299","159202.48576999997","669300.76436999999","353435.56284999999","325504.82043000002","4735550.8430699995","4733750.0972999996","4677802.2971200002","0","32757.056290000004","23190.743890000002","1800.74577","25163.344970000002","293894.37202000001","6562052.193479999"
2011-01-01,"1274374.1946800002","204029.77007000003","676540.96577000013","393803.45883999998","269051.86728000001","4760163.9614800001","4758309.6831900002","4700562.10891","0","33664.8338","24082.74048","1854.27829","22694.69281","282588.91103000013","6608873.6272799997"
2011-02-01,"1178920.89735","208363.57078000001","591152.25234999997","379405.07422000001","271584.45702999993","4833007.8734099995","4831142.9897999996","4759951.1753099998","0","45692.726429999995","25499.088060000002","1864.8836100000001","22612.208170000002","278587.60584000003","6584713.0418000007"
2011-03-01,"1143670.2753699999","207370.70486000003","541764.29882999999","394535.27167999995","290912.64913000003","4951557.4838300003","4948321.86821","4878899.2991899997","0","41915.047330000001","27507.521690000001","3235.61562","22997.004079999999","276945.42905000009","6686082.8414600007"
2011-04-01,"1158799.87567","223545.20238999999","533420.85199999996","401833.82128000003","232264.80557","5070689.5006200001","5067440.7137599997","4999142.6021800004","0","39028.537400000001","29269.574179999996","3248.7868600000002","22315.515589999999","297670.80430999998","6781740.5017599994"
2011-05-01,"1232598.6132699999","215433.04251000003","591002.72604999982","426162.84471000003","232710.93558000002","5171473.1285800012","5169603.329260001","5098833.5076400004","0","40226.889670000004","30542.931949999998","1869.7993200000001","21436.188249999999","292214.56158999994","6950433.4272700008"
2011-06-01,"1421668.47832","235817.36706000002","740974.67550999997","444876.43575","212083.96799999999","5279725.6976800011","5277858.9563900009","5211777.7015700005","0","36786.406909999991","29294.847909999997","1866.7412899999999","21507.805270000001","284715.66536000004","7219701.6146300016"
2011-07-01,"1457764.9131799999","189495.61767999997","717799.61648000008","550469.67901999992","202633.78898000001","5369609.4745399989","5367745.3779699989","5300785.5684499992","0","37908.959090000004","29050.850429999999","1864.0965699999997","18990.523389999998","299720.95583999995","7348719.6559299985"
2011-08-01,"1436529.26801","193155.29676999999","791905.14180999983","451468.8294300001","215089.5024","5518770.6068399996","5516906.5102699995","5445826.9019199992","0","41535.485069999988","29544.12328","1864.0965699999997","16548.380259999998","302906.96080000006","7489844.7183099994"
2011-09-01,"1496435.9289900002","224436.01737000002","818518.43099000014","453481.48063000001","212195.70256000001","5690521.4229899999","5688643.3864199994","5617904.6880899994","0","37709.973939999996","33028.724390000003","1878.0365699999998","15221.738290000001","305615.29885999998","7719990.0916900001"
2011-10-01,"1535021.1923699998","206413.13675000001","909168.7379999999","419439.31761999993","203610.16408000002","5865213.0042200014","5863334.9676500009","5790971.8259000005","0","38452.595680000006","33910.546069999997","1878.0365699999998","12676.8518","319380.82365999999","7935902.0361300018"
2011-11-01,"1428174.94893","235755.90665999998","836083.36569000001","356335.67658000003","212714.56919999997","6087897.3458200004","6086021.9539600005","6011309.374950001","0","39023.200229999995","35689.378779999999","1875.39186","17098.324109999998","316230.65017000004","8062115.8382300008"
2011-12-01,"1812555.70676","232016.16044000001","1209865.7246399999","370673.82167999999","184246.32037999999","6276405.5737500004","6274530.1818900006","6207820.82223","0","31989.913010000004","34719.446650000005","1875.39186","50086.627350000002","340226.81656000012","8663521.0448000003"
2012-01-01,"1888005.5419800002","247250.14640999999","1209564.25826","431191.13731000002","196849.50227999999","6372979.2403700007","6371093.5585100008","6302129.129540001","0","33806.674920000005","35157.754050000003","1885.6818599999999","48144.485109999994","333442.62637000001","8839421.3961100001"
2012-02-01,"2012425.9527199999","255160.39436999999","1315602.5755400001","441662.98281000002","216675.07391000001","6525685.1774400007","6523793.6645800006","6441219.8442400005","0","46432.418839999998","36141.4015","1891.5128599999998","45025.587269999996","336669.71579000005","9136481.5071299989"
2012-03-01,"2114183.9174599997","226720.01399000001","1481602.8326999997","405861.07076999999","205881.36692999999","6718177.0711899986","6716285.5583299985","6637745.4589599986","0","40475.503299999997","38064.59607","1891.5128599999998","42211.523780000003","349100.97837999999","9429554.857739998"
2012-04-01,"1777748.82369","242466.67300999997","1149297.8822600001","385984.26841999998","441930.21433999995","6912384.4331999971","6910472.3403399969","6828270.8954999968","0","42348.363110000006","39853.081729999998","1912.09286","39659.548419999999","361567.94759999996","9533290.967249997"
2012-05-01,"1794840.0283899999","226984.37658999997","1207836.4764699999","360019.17533","439810.22724000004","7139439.4173700018","7137527.3245100016","7050450.5188700017","0","45890.091489999999","41186.71415","1912.09286","36918.948940000002","365542.93156000006","9776551.5535000023"
2012-06-01,"1917013.5427400004","244472.25089999998","1236256.7723800004","436284.51946000004","467270.61869999999","7329801.3843899993","7327851.5615299996","7236711.607739999","0","50067.541019999997","41072.412770000003","1949.82286","33368.398989999994","364809.77003000001","10112263.714849999"
2012-07-01,"2233177.4956100001","250446.16201","1456633.14628","526098.18732000003","441221.81533999997","7539279.8793600006","7537318.7375000007","7448604.5991000002","0","47831.892730000007","40882.245670000004","1961.14186","30287.807279999997","381148.66817999992","10625115.665770002"
2012-08-01,"2355686.48227","273599.22930000001","1513436.1396600001","568651.11331000004","442120.92867000005","7760084.0527100014","7758093.5551300012","7667804.435130001","0","47539.55597999999","42749.564020000005","1990.4975800000002","26844.084700000003","400407.0531100001","10985142.601460001"
2012-09-01,"2352345.80265","258952.67983999997","1548185.6329200002","545207.48988999997","445377.97768000001","7997713.5842899997","7995716.2267100001","7903964.3559900001","0","47832.211770000009","43919.658949999997","1997.3575800000001","37921.529880000002","427275.83795000007","11260634.732450001"
2012-10-01,"2251747.7828300004","285135.54894999997","1430591.9374700002","536020.29641000007","423594.22673999995","8301042.6768899988","8299045.3193099992","8203926.9330799989","0","49433.913149999993","45684.473080000003","1997.3575800000001","36707.05341","443519.05269000004","11456610.792559998"
2012-11-01,"2271162.7497699996","292605.19769","1487874.6873699997","490682.86470999999","404166.84709999996","8542655.3283600006","8533039.8233400006","8434000.8404399995","0","53818.209339999994","45220.773559999994","9615.5050200000005","29109.626079999995","448212.75263999996","11695307.303950001"
2012-12-01,"2240996.5499800001","264705.76358999999","1519707.8827900002","456582.90359999996","492159.06598000001","8799229.9456100017","8797254.8830300011","8711261.8414200004","0","41564.548719999992","44428.492889999994","1975.06258","48785.017009999996","484209.57162999996","12065380.150210001"
2013-01-01,"2390962.5655099996","316715.31030000001","1744787.7404299998","329459.51477999997","461610.39042999997","8021102.0404999983","8019507.8067799984","7949758.8863199987","0","38977.540669999988","30771.379789999999","1594.2337199999999","41822.577929999999","430762.52775000012","11346260.102119997"
2013-02-01,"2381954.0327000003","333735.83737000002","1718433.79519","329784.40014000004","436640.37024000002","8183842.2780700009","8182248.044350001","8097765.3023200007","0","52067.634179999986","32415.107849999993","1594.2337199999999","44429.450729999997","422559.91671999998","11469426.048459999"
2013-03-01,"2469102.8120999997","306585.12105999998","1816926.0343099998","345591.65672999999","451767.37228000001","8381699.5580600007","8380105.3243400007","8290882.1472300012","0","55751.539940000002","33471.637170000002","1594.2337199999999","38407.420469999997","440904.59201999998","11781881.754929999"
2013-04-01,"2344557.8166199997","309103.23577999999","1714292.6765699999","321161.90427","424839.79454000003","8600831.9200400021","8599227.3963200022","8510286.4089800008","0","52801.575539999998","36139.411800000002","1604.5237199999999","121983.75607","445519.06467000005","11937732.351940002"
2013-05-01,"2279426.1780099999","329628.28693999996","1419601.6996600002","530196.19140999997","415079.86882999993","8764037.4694500007","8762432.9457300007","8669662.0517000016","0","54413.305380000005","38357.588650000005","1604.5237199999999","37209.202310000001","465160.10739999986","11960912.826000001"
2013-06-01,"2645302.3336199997","369222.67074999999","1472688.0772799999","803391.58559000003","379354.06712999998","8905072.0957999993","8903467.5720799994","8813064.0272899996","0","53175.961490000002","37227.583299999998","1604.5237199999999","105971.92801","468568.84820999985","12504269.272769999"
2013-07-01,"2578464.2638499998","348081.99563000008","1379654.5297499998","850727.7384700001","375709.03444999998","9060985.7580300011","9059381.2343100011","8963327.2196900006","0","56354.656469999994","39699.358150000007","1604.5237199999999","95919.165500000003","493470.07463999989","12604548.296470001"
2013-08-01,"2761087.0453499998","370387.33487999998","1348395.7138399999","1042303.99663","400641.92926999996","9167176.3426500019","9165571.8189300019","9062967.5888600014","0","61850.632259999991","40753.597810000007","1604.5237199999999","119726.00865","495162.71663999977","12943794.04256"
2013-09-01,"2531687.3281700001","396457.27419000003","1370102.0776","765127.97638000001","400515.06634999998","9213649.5888300017","9212045.0651100017","9114668.3398400005","0","56341.155639999997","41035.569630000005","1604.5237199999999","102023.56505999999","519156.62563000014","12767032.174040003"
2013-10-01,"2552273.3749600002","421311.07993000001","1346047.05736","784915.23767000018","404167.83143999998","9367586.2772899978","9365981.7535699978","9265787.8624199983","0","57088.599910000004","43105.291239999991","1604.5237199999999","117546.16392999998","523354.70394999976","12964928.351569997"
2013-11-01,"2517310.4542999999","468830.98723999999","1280910.3888600001","767569.07819999999","393397.24015999999","9452935.7321300022","9451331.2084100023","9343757.5927700009","0","63494.878520000006","44078.737119999998","1604.5237199999999","173642.34758","523021.64968000015","13060307.423850004"
2013-12-01,"3042883.4267199999","447759.83821000002","1909746.5334900001","685377.05502000009","408018.10060999996","9555551.3905000016","9553936.5767800007","9462243.559700001","0","48937.250639999998","42755.766439999999","1614.8137200000001","208131.14449999999","598790.22742000013","13813374.289750002"
2014-01-01,"3519054.53498","448967.51250999997","2354563.5131900003","715523.50928000011","409059.20210999995","9493549.3358800001","9491934.5221599992","9399350.0941400006","0","49049.31056000002","43535.117460000009","1614.8137200000001","587486.83695999999","565706.28202000004","14574856.191949999"
2014-02-01,"3580858.44515","388897.53418999992","2420079.2272999999","771881.68365999986","400769.28138","9749909.7693300005","9748294.9556099996","9637764.956079999","0","64577.367679999996","45952.631849999998","1614.8137200000001","675955.37949000008","578477.5226299999","14985970.397980001"
2014-03-01,"3700763.42429","373206.20090999996","2249145.1306499997","1078412.0927300001","412778.52296000003","9750570.6085699964","9748955.7948499955","9629180.6370199956","0","71182.391310000006","48592.766519999997","1614.8137200000001","698376.07291999995","585431.99833999982","15147920.627079995"
2014-04-01,"3711306.3648199998","337425.26819999999","2119526.36442","1254354.7322000002","419257.27055999998","9874239.4726300035","9872624.6589100026","9755168.3342900015","0","68123.748940000005","49332.575679999994","1614.8137200000001","499952.46118000004","593634.83509999979","15098390.404290002"
2014-05-01,"3785693.7975999997","309773.99381999997","2238418.7732299999","1237501.0305499998","449189.69796999998","10003241.076690003","10001626.262970002","9874887.3999800012","0","74734.377659999998","52004.485330000003","1614.8137200000001","283423.32514999999","613657.46294","15135205.360350003"
2014-06-01,"3604239.1502500004","327897.09726999997","2086437.7562700005","1189904.2967099999","422270.98719999997","10101291.483660003","10099676.669940002","9975430.2731100023","0","68955.591089999987","55290.805740000011","1614.8137200000001","373770.16298999998","600860.34165000007","15102432.125750003"
