"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2003-01-01,"134436","6990","16551","110895","95662","1422052","1418350","1317976","0","48127","52247","3702","10390","179766","1842306"
2003-02-01,"124220","8053","16560","99607","101927","1441227","1437515","1326646","0","58000","52869","3712","12480","176935","1856789"
2003-03-01,"140489","7653","18392","114444","102025","1467343","1463608","1349893","0","61176","52539","3735","10647","179559","1900063"
2003-04-01,"133225","7487","15372","110366","104122","1487849","1484098","1376700","0","56879","50519","3751","11213","189010","1925419"
2003-05-01,"127732","6510","20317","100905","105692","1519551","1515790","1408084","0","57022","50684","3761","14063","186282","1953320"
2003-06-01,"172195","7915","21219","143061","108136","1542051","1538013","1445881","0","47157","44975","4038","13696","160616","1996694"
2003-07-01,"182355","8927","19032","154396","118486","1576099","1572278","1481860","0","45986","44432","3821","11291","162972","2051203"
2003-08-01,"190068","8672","20061","161335","122078","1622649","1618810","1527531","0","47148","44131","3839","8926","163712","2107433"
2003-09-01,"218629","10849","21692","186088","122151","1668032","1664181","1572734","0","47889","43558","3851","8292","169082","2186186"
2003-10-01,"249622","13134","81844","154644","76162","1722908","1719038","1628575","0","50298","40165","3870","8167","169020","2225879"
2003-11-01,"181707","11498","41900","128309","111721","1797054","1793174","1703394","0","49761","40019","3880","7821","168813","2267116"
2003-12-01,"161861","13701","25112","123048","140442","1870372","1866455","1787596","0","38984","39875","3917","12369","169508","2354552"
2004-01-01,"131747.20295000001","12850.202950000001","22869","96028","142566","1897566","1893629","1815673","0","38674","39282","3937","11170","182330","2365379.2029499998"
2004-02-01,"147136","14780","23058","109298","142381","1929948","1926006","1838228","0","47708","40070","3942","11536","177891","2408892"
2004-03-01,"152673","13214","22385","117074","141208","2000172","1994639","1909401","0","45538","39700","5533","18772","182796","2495621"
2004-04-01,"119997","11534","26905","81558","138005","2035908","2030368","1946548","0","45460","38360","5540","16331","177552","2487793"
2004-05-01,"150134","13734","24734","111666","146214","2076715","2072748","1986811","0","46330","39607","3967","14323","185908","2573294"
2004-06-01,"132218","15087","24724","92407","146895","2129671","2125670","2044347","0","41511","39812","4001","16934","187440","2613158"
2004-07-01,"195893","16387","23649","155857","169027","2168509","2164494","2084870","0","38933","40691","4015","13462","192472","2739363"
2004-08-01,"238981","17552","22613","198816","165870","2222790","2218754","2136925","0","41727","40102","4036","12679","204758","2845078"
2004-09-01,"289297","20779","27491","241027","171447","2288052","2284006","2205113","0","41157","37736","4046","10913","209193","2968902"
2004-10-01,"289718","16694","26968","246056","180556","2373158","2369097","2289832","0","42391","36874","4061","14252","214673","3072357"
2004-11-01,"255445","22275","35360","197810","181513","2464086","2460022","2382793","0","42737","34492","4064","11937","216550","3129531"
2004-12-01,"226162","26034","30839","169289","179945","2548570","2546094","2479038","0","34994","32062","2476","18699","215931","3189307"
2005-01-01,"149314","19506","18754","111054","126386","1628216","1625990","1581829","0","24012","20149","2226","6165","141720","2051801"
2005-02-01,"174022.43510999999","19430.446299999996","22246.832110000003","132345.15669999999","125765.75705999999","1655806.9242200004","1653578.1705300005","1601410.6630300004","0","32106.933380000006","20060.574120000001","2228.75369","5881.2153300000009","140810.24361","2102286.5753300004"
2005-03-01,"188764.35836999997","18901.864369999996","24182.735440000004","145679.75855999999","139120.32742000002","1687026.6891499995","1684792.4049999996","1632757.5655999996","0","31897.015859999996","20137.823539999998","2234.2841500000004","5860.0685400000002","144760.27792999998","2165531.7214099993"
2005-04-01,"218744.72710000002","17235.119050000001","32369.389000000003","169140.21905000001","149672.66220999998","1728147.4170299999","1725902.62888","1673953.9903800001","0","30807.406879999995","21141.231619999999","2244.7881500000003","6562.6541999999999","145689.77482999995","2248817.2353699999"
2005-05-01,"202402.75244000001","24238.421880000002","34788.953760000004","143375.3768","191715.69691999999","1756933.61494","1754688.8267900001","1699537.2171200002","0","34569.09487999999","20582.514790000001","2244.7881500000003","6509.0653599999996","147000.25712000002","2304561.3867799998"
2005-06-01,"194589.12636000002","25376.73359","29742.162629999995","139470.23014000003","183682.86781000003","1788404.64216","1786159.8540100001","1733825.27985","0","31244.364149999998","21090.210009999999","2244.7881500000003","5763.1139599999997","151185.57312999998","2323625.3234200003"
2005-07-01,"193752.34546000001","19168.42859","32501.738160000004","142082.17871000001","182312.23249999998","1825250.8546299995","1823008.3333399994","1773523.8217799994","0","27053.815280000003","22430.69628","2242.5212900000001","4886.4963899999993","155029.15153","2361231.0805099993"
2005-08-01,"208630.81560999999","20764.659489999998","23697.413760000003","164168.74236","178163.43079000001","1869901.7565500003","1867664.7864600003","1817005.4265700004","0","27936.826449999997","22722.533439999999","2236.9700899999998","3996.8116100000002","155664.70614999995","2416357.5207100003"
