"MES","SEMI01","SEMI02","SEMI03","SEMI04","SEMI05","SEMI06","SEMI07","SEMI08","SEMI09"
2001-05-01,"94.137670196671706","170.15233668990447","100.13245033112582","98.75","84.28949691085613",,"87.463665963896759","94.78274517585993","103.31810053645937"
2001-06-01,"92.586989409984866","170.33307513555383","93.245033112582774","98.958333333333329","79.699911738746692",,"88.907047243603344","102.95509586433631","99.344327438903235"
2001-07-01,"87.159606656580934","170.07487735605474","92.58278145695364","97.5","76.610767872903793","86.958904109589042","85.913621676917131","96.273213024788888","90.284124776475267"
2001-08-01,"73.354765506807865","170.92693002840176","90.993377483443709","104.16666666666667","72.903795233892325",,"83.455382427425491","96.253479979301432","134.11484204251937"
2001-09-01,"100.17019667170953","170.5396333591531","78.013245033112582","110.625","80.406001765225071",,"95.044224603600341","98.39080017388217","83.886350089409888"
2001-10-01,"96.312405446293496","142.73173250710045","91.258278145695371","100.20833333333333","76.257722859664611",,"91.006624334135907","103.51255996109454","99.344327438903235"
2001-11-01,"99.149016641452349","126.90420862380583","77.74834437086092","131.66666666666666","76.610767872903793","74.904109589041099","98.446836911638115","68.7598859888258",
2001-12-01,"53.971255673222387","127.49806351665376","83.841059602649011","131.45833333333334","75.198587819947036","80.93150684931507","97.202435160119265","100.31023373091601","95.370554341347116"
2002-01-01,"73.354765506807865","107.53937516137361","91.258278145695371","112.39130434782609","68.490732568402478","127.3040482342808","91.790691001634258","100.21223591200707","36.876614345320881"
2002-02-01,"76.531770045385784","83.836819003356567","91.258278145695371","108.26086956521739","68.314210061782873","135.05598621877692","88.295762172681791","102.38677525551735","49.672163719451618"
2002-03-01,"71.047655068078669","71.13348825200103","91.258278145695371","105.65217391304348","68.578993821712274","137.46770025839794","89.517708554248429","104.64766613911731","79.475461951122597"
2002-04-01,"74.867624810892593","63.542473534727598","91.258278145695371","104.56521739130434","72.815533980582529","138.84582256675279","91.175663369054007","106.60790060418269","24.041327240214585"
2002-05-01,"77.023449319213313","67.312161115414412","91.258278145695371","100.65217391304348","71.93292144748456","137.03703703703704","91.586721391234917","108.39819061098581","27.101132525332805"
2002-06-01,"80.332829046898638","81.151562096565968","91.258278145695371","99.130434782608702","68.314210061782873","137.72609819121448","94.73172070509861","114.3231320681344","37.134909596662034"
2002-07-01,"82.299546142208769","76.917118512780789","91.258278145695371","95.869565217391298","68.402471315092669","140.9130060292851","98.494866452924811","78.704462159938672","84.20425193721438"
2002-08-01,"78.158093797276848","81.383940098115161","91.258278145695371","95.652173913043484","70.079435127978812","130.57708871662359","98.020184882545934","112.37324243525804","33.24061196105702"
