"MES","BCTA01","BCTA02","BCTA03","BCTA04","BCTA05","BCTA06","BCTA07","BCTA08","BCTA09","BCTA10","BCTA11","BCTA12","BCTA13","BCTA14","BCTA15"
2008-09-01,"1440099.51177","15787.586700000002","1089014.02305","335297.90201999998","189823.11244999996","1834910.4411500006","1834176.6889700005","1732230.0729300005","0","14707.079320000001","87239.536719999989","733.75217999999995","193450.51968","213978.24127","3872261.8263200005"
2008-10-01,"1417721.9861699999","14630.038149999998","1081162.87482","321929.07319999993","192276.49948999999","1836699.80229","1835967.98749","1733788.8895699999","0","14943.896710000001","87235.201210000014","731.81479999999988","186463.65625","215612.41853000002","3848774.3627299997"
2008-11-01,"1426274.7689099999","14993.53141","1089761.2865799998","321519.95091999997","194542.55554","1845150.1413999998","1844418.3265999998","1739767.8589999999","0","17781.936570000002","86868.531029999998","731.81479999999988","170901.40124000001","215871.9054600001","3852740.7725499999"
2008-12-01,"1489576.05488","15482.066099999998","1091072.45918","383021.52959999995","204285.96578999999","1842498.9844499999","1841771.3696499998","1749207.5235499998","0","9399.3574700000008","83164.488629999993","727.61479999999983","164816.53881","214425.26283000002","3915602.8067599996"
2009-01-01,"1560890.9333500001","14337.650809999999","1146372.0916800001","400181.19086000003","214156.11484000002","1833800.3331200001","1833072.71832","1736329.08968","0","13215.093800000001","83528.534840000008","727.61479999999983","128090.62955","211616.59404000011","3948554.6049000006"
2009-02-01,"1531688.7831799998","16274.910609999999","1069591.6454399999","445822.22713000001","262880.53330999997","1824189.4223099998","1823461.8075099997","1720876.7418099998","0","18514.444600000003","84070.621099999989","727.61479999999983","125794.00633999998","212584.00860999984","3957136.7537499992"
2009-03-01,"1569121.84666","16318.320599999997","1091128.0041400001","461675.52191999991","251649.23965","1826465.7309800007","1825738.1161800006","1727242.6868500004","0","15639.578320000001","82855.851009999998","727.61479999999983","132694.62834999998","217239.41687000002","3997170.8625100004"
2009-04-01,"1578590.4457200002","24841.299800000001","1060111.5810400001","493637.56488000008","265251.86697999999","1826123.5140199999","1825395.8992199998","1728120.0362899997","0","14137.922119999997","83137.940809999971","727.61479999999983","142767.71612999999","219295.00365999993","4032028.5465100002"
2009-05-01,"1598673.2239999999","16827.875199999999","1058312.93166","523532.41713999992","279349.76727999991","1829638.5674899998","1828910.9526899997","1726650.1201599997","0","18830.562580000002","83430.269950000002","727.61479999999983","146645.07826999997","221907.98515000008","4076214.6221899996"
2009-06-01,"1592059.6511200001","18341.59103","967914.78288999991","605803.27720000001","307605.51055999991","1834341.0879300004","1833613.4731300003","1735569.3865300003","0","13970.66131","84073.425290000014","727.61479999999983","181481.13579999999","219665.98468000023","4135153.3700900003"
2009-07-01,"1563874.7936899997","16876.273439999997","879064.34318999981","667934.17706000002","313245.46304","1845667.1999800003","1844939.5851800002","1749844.2196600002","0","12238.794220000002","82856.571299999996","727.61479999999983","208924.53741000002","222847.19354999991","4154559.1876699999"
2009-08-01,"1532401.71318","18387.842690000001","817249.38484000007","696764.48565000005","338702.59156999993","1862405.3478699999","1861677.7330699998","1766007.7906899999","0","13899.229420000001","81770.712960000019","727.61479999999983","250771.98921999999","222700.56765999983","4206982.2094999999"
2009-09-01,"1485869.0918899998","22667.692930000001","749087.06674999988","714114.33221000002","347662.39254999999","1877138.6775399998","1876411.0627399997","1782707.3776599998","0","11914.11872","81789.566360000012","727.61479999999983","326036.37189000007","220839.59886999999","4257546.1327399993"
2009-10-01,"1498560.6954399999","18064.94973","719027.94843999995","761467.79726999998","351490.81699000002","1888344.4978799999","1887639.88408","1792889.1069700001","0","13753.28075","80997.49635999999","704.61379999999986","325928.70091999997","222759.42628999997","4287084.1375199994"
2009-11-01,"1451601.9539300001","20114.914929999999","673695.33513999998","757791.70386000013","352086.77239999996","1901874.0415699999","1901169.42777","1804303.7148499999","0","15473.941929999999","81391.77098999999","704.61379999999986","375525.82066000003","222681.87537999987","4303770.4639400002"
2009-12-01,"1461220.8832700001","19557.1404","632393.56929000001","809270.17358000018","349634.97099999996","1908122.4653999999","1907406.9086999998","1828602.0845999997","0","9798.9747099999986","69005.849390000018","715.55669999999986","379219.60312000004","190687.59505","4288885.5178399999"
2010-01-01,"1497666.29584","21454.446399999997","627947.14347000001","848264.70597000001","355302.01344000001","1916982.5970899998","1916267.0403899997","1825587.5430099999","0","13444.483539999997","77235.01384","715.55669999999986","356684.82800000004","175355.55335000006","4301991.2877200004"
2010-02-01,"1556366.6155199998","20123.840600000003","601310.1754399999","934932.59947999986","358528.85037999996","1931839.10359","1931127.76458","1839473.1527800001","0","16044.25467","75610.357129999989","711.33900999999992","304393.45540000004","170148.98905000021","4321277.01394"
2010-03-01,"1526715.7488800003","17213.075800000002","583642.48353000009","925860.18955000013","356069.03148999991","1948028.77324","1947317.43423","1858255.23438","0","14199.463040000001","74862.736809999988","711.33900999999992","303363.93641999998","167405.97094000003","4301583.4609700004"
2010-04-01,"1459904.0369600002","22041.286680000001","416393.66107999999","1021469.0892","351733.10667000007","1958768.7590399999","1958057.4200299999","1870354.6497","0","12428.259110000001","75274.51122","711.33900999999992","357598.55812","166473.26532000001","4294477.7261100002"
2010-05-01,"1429481.5080500001","18805.695","377399.10715000005","1033276.7058999999","348920.46266999992","1985527.9584599999","1984816.6194499999","1899062.8271599999","0","11231.53369","74522.258599999986","711.33900999999992","356769.23382999992","166854.81715999974","4287553.9801699994"
2010-06-01,"1404671.6398100001","17314.986950000002","365437.2157","1021919.43716","349268.60404999997","2011730.1649199999","2011018.8259099999","1926743.7571","0","11775.487569999998","72499.581240000014","711.33900999999992","356318.06044000003","165727.27293000009","4287715.7421500003"
2010-07-01,"1384353.7461999999","19368.683499999999","384797.25129999995","980187.81140000001","351873.37331999996","2029112.2692999996","2028392.2177899997","1943409.0339999998","0","12735.748709999998","72247.435079999996","720.05150999999989","355235.75684999995","166231.72243999992","4286806.8681099992"
2010-08-01,"1324108.1089900001","19225.10268","389789.84888000006","915093.1574299999","352191.48144","2061860.61448","2061140.5629700001","1973722.7116700001","0","14186.216249999999","73231.635050000012","720.05150999999989","354411.40469","167973.17966000014","4260544.78926"
2010-09-01,"1319200.9813999999","21207.573899999999","385538.37058999995","912455.03691000002","351394.84231999994","2089552.59381","2088823.8297999999","2003447.1188999999","0","12986.931390000002","72389.779509999993","728.76400999999998","353695.32750999997","168765.76768000016","4282609.51272"
2010-10-01,"1278834.83479","19693.890299999999","390255.86079000006","868885.08369999996","349403.88224000001","2124868.86638","2124164.49737","2041102.7285499999","0","11343.53103","71718.237789999999","704.36900999999989","347956.56972999999","170565.98811999999","4271630.1412599999"
2010-11-01,"1261492.3138000001","19372.8966","382512.99485000002","859606.42235000001","326596.38344999991","2157144.7151000001","2156441.3514200002","2072693.64858","0","15084.899890000001","68662.802949999998","703.36368000000004","347220.55950000003","172298.18231000006","4264752.1541600004"
