"MES","BCPP01","BCPP02","BCPP03","BCPP04","BCPP05","BCPP06","BCPP07","BCPP08","BCPP09","BCPP10","BCPP11","BCPP12","BCPP13","BCPP14","BCPP15","BCPP16","BCPP17","BCPP18","BCPP19","BCPP20","BCPP21","BCPP22","BCPP23","BCPP24","BCPP25","BCPP26","BCPP27","BCPP28","BCPP29","BCPP30","BCPP31","BCPP32","BCPP33","BCPP34"
2002-07-01,"17658108","4459846","932574","3527272","0",,"13198262","4173641","229042","3944599","0",,"8811441","71050","8377469","340589","22333","213180","30187","182063","930",,"7666510","4256518","847761","2562231","58136","57562","574","0","836107","789030","7280733","1500135"
2002-08-01,"18135489","4641885","998645","3643240","0",,"13493604","4334713","293928","4040785","0",,"8951573","58210","8537381","333672","22310","207318","36756","169624","938",,"7107461","3710795","770582","2626084","86895","86424","471","0","792054","745239","7255576","1516006"
2002-09-01,"18819070","4709569","1074340","3635229","0",,"14109501","4483109","268550","4214559","0",,"9431060","37810","9072433","298557","22260","195332","39796","154591","945",,"6942678","3449285","844440","2648953","75370","74902","468","0","761256","733309","6917185","1571304"
2002-10-01,"19377792","4881485","1034479","3847006","0",,"14496307","4517810","273372","4244438","0",,"9770088","62356","9448486","258968","278","208409","36258","171200","951",,"6743733","3211427","883356","2648950","73678","73183","495","0","692342","703417","7011146","1588099"
2002-11-01,"19694693","5033115","970069","4063046","0",,"14661578","4625266","303757","4321509","0",,"9793646","42160","9501711","249707","68","242666","41282","200427","957",,"6694039","3191542","833435","2669062","65337","64907","430","0","633418","668753","6889296","1613196"
2002-12-01,"20515230","5433488","1227190","4206298","0",,"15081742","4881322","322529","4558793","0",,"9969352","52180","9666038","234986","16148","231068","43803","186301","964",,"6768449","3152320","847647","2768482","97000","96131","869","0","682835","673712","6706442","1606717"
2003-01-01,"20766704.153999999","5377291.0730000008","1060205.7239999999","4317085.3490000004","0",,"15389413.080999998","5175560.2740000002","323046.527","4852513.7470000004","0",,"10031058.225999998","56057.953999999998","9717574.9039999992","222823.802","34601.565999999999","182794.58100000001","32861.550999999999","148962.802","970.22799999999995",,"6811123","3124830","922078","2764215","79824","79408","416","0","335915","665965","6789953","1633867"
2003-02-01,"19630855.431000002","4873755.4570000004","1003472.895","3870282.5619999999","0",,"14757099.974000001","4809949.5889999997","331106.908","4478842.6809999999","0",,"9771098.9550000019","56211.981","9433471.1860000007","222473.15900000001","58942.629000000001","176051.43","34804.216","140274.40900000001","972.80499999999995",,"6982981","3251310","963303","2768368","85059","84616","443","0","336364","654151","6868876","1641611"
2003-03-01,"19775484.077","5060563.9810000006","1050240.548","4010323.4330000002","0",,"14714920.096000001","4874421.2719999999","320380.18199999997","4554041.09","0",,"9585251.8080000002","55890.417999999998","9237690.1129999999","223142.66099999999","68528.615999999995","255247.016","35020.874000000003","219249.47099999999","976.67100000000005",,"6906579","3072905","1028445","2805229","94563","94082","481","0","344190","653519","7229199","1431107"
2003-04-01,"19818627.425999999","5119305.5580000002","964147.50699999998","4155158.051","0",,"14699321.868000001","5033002.193","313648.92099999997","4719353.2719999999","0",,"9468352.2930000015","58672.493999999999","9071236.7290000003","235408.53599999999","103034.534","197967.38200000001","40829.300999999999","156160.122","977.95899999999995",,"6955090","3062046","1100511","2792533","222249","221842","407","0","288146","632430","7306354","1306494"
2003-05-01,"20272674.588999998","5381236.8739999998","1032010.899","4349225.9749999996","0",,"14891437.714999998","5251295.2939999998","327949.62199999997","4923345.6720000003","0",,"9464924.5149999987","96937.077000000005","9033689.7579999994","240531.21299999999","93766.467000000004","175217.90600000002","34791.298000000003","139406.076","1020.532",,"6924525","3060333","1094277","2769915","70226","69841","385","0","309679","628533","7193703","1301988"
2003-06-01,"20504063.441000003","5503736.8590000002","1138279.7290000001","4365457.13","0",,"15000326.582000002","5347181.8290000008","324042.78100000002","5023139.0480000004","0",,"9453812.529000001","138357.57199999999","8978906.7190000005","230087.78400000001","106460.454","199332.22400000002","41237.25","157075.14300000001","1019.831",,"6763154","3017726","986196","2759232","72169","71751","418","0","313943","617384","7123412","1322067"
2003-07-01,"20908535.784000002","5866214.0020000003","1158507.5959999999","4707706.4060000004","0",,"15042321.782000002","5556921.0219999999","369593.32699999999","5187327.6950000003","0",,"9279471.5760000013","147569.04800000001","8862308.2670000009","207102.92800000001","62491.332999999999","205929.18400000001","38709.622000000003","166211.56","1008.002",,"6790698","3016465","1010882","2763351","73777","73311","466","0","239133","614077","6955858","1351007"
2003-08-01,"20984532.995000001","5914756.398","1136367.1810000001","4778389.2170000002","0",,"15069776.597000001","5616787.6940000001","384770.8","5232016.8940000003","0",,"9258946.4080000017","110198.8","8890955.1870000008","202470.84899999999","55321.572","194042.495","36226.974000000002","156802.79199999999","1012.729",,"6854827","3025945","1057387","2771495","69517","68572","945","0","187464","607307","7122679","1382204"
2003-09-01,"21214512.509","6088458.0279999999","1207161.7860000001","4881296.2419999996","0",,"15126054.481000001","5756354.5800000001","354753.571","5401601.0089999996","0",,"9096527.1960000005","85823.438999999998","8798735.3169999998","141422.016","70546.423999999999","273172.70500000002","53583.803","218578.14600000001","1010.756",,"6655101","3033084","854474","2767543","59606","58727","879","0","192677","596181","7146658","1403031"
2003-10-01,"19730837.818000004","5471571.9340000004","1182678.723","4288893.2110000001","0",,"14259265.884000001","5414707.6349999998","384291.33600000001","5030416.2989999996","0",,"8633396.4170000013","73750.385999999999","8356694.1749999998","132202.38","70749.475999999995","211161.83199999997","42803.245999999999","167344.19099999999","1014.395",,"6798711","3265820","775507","2757384","64350","63249","1101","0","157006","603220","7319760","1421108"
2003-11-01,"19951746.317999996","5781404.8149999995","1247795.1850000001","4533609.63","0",,"14170341.502999999","5506335.0559999999","356848.967","5149486.0889999997","0",,"8435951.3959999997","65558.097999999998","8179273.8880000003","127931.857","63187.553","228055.05099999998","49523.057000000001","177510.87899999999","1021.115",,"6448448","3063937","764096","2620415","69664","68878","786","0","151143","591707","7209622","1494923"
2003-12-01,"20572349.124000002","6007369.9990000008","1334947.6780000001","4672422.3210000005","0",,"14564979.125","6032206.148","439296.62599999999","5592909.5219999999","0",,"8343613.2710000006","59220.192000000003","8120558.7280000001","116528.94","47305.411","189159.70600000001","50147.817000000003","137986.05499999999","1025.8340000000001",,"6389899","3046390","708860","2634649","71310","70162","1148","0","242858","596693","7388099","1439497"
2004-01-01,"20428567.894000001","6184829.966","1187580.051","4997249.915","0",,"14243737.928000001","5993199.1500000004","365846.77399999998","5627352.3760000002","0",,"8039464.5600000005","38705.101999999999","7884712.1069999998","99822.024999999994","16225.325999999999","211074.21800000002","34725.879000000001","175330.42800000001","1017.9109999999999",,"6312881","3042223","660249","2610409","80549","79794","755","0","99822","604942","7409617","1390209"
2004-02-01,"19736450.523000002","5920651.6799999997","1266062.0630000001","4654589.6169999996","0",,"13815798.843","5719790.8250000002","362951.94","5356838.8849999998","0",,"7891033.5489999996","41692.675000000003","7739476.4079999998","92951.326000000001","16913.14","204974.46900000001","37362.788999999997","166592.64300000001","1019.037",,"6399217","3038602","750850","2609765","74966","74191","775","0","110460","589934","7262131","1397326"
