"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2012-12-01,"7612.1","507.66771999999986","2055.6454799999997","1102.1774000000003","8284.9080300000005","17.543990000000001","40.81","121653.15585000001","10402.875","33124.592499119062","184760.70677911906"
2013-01-01,"7340","346.20266304397131","1547.4298100000001","818.10652000000005","6596.6139399999984","4.4461399999999989","15.040000000000006","97057.354300000006","7906.9580000000005","71740.503944884011","195148.67411999995"
2013-02-01,"12943.87939","215.74318023060661","1140.9581699999999","1009.2856999999999","5414.46569","6.6687500000000002","91.999999999999972","83134.806600000011","6174.8069999999998","65436.143122728019","175791.7298700001"
2013-03-01,"17310.073","145.15795588355363","1178.05","1178.0274199999999","6475.41878","5.5109300000000001","376.87","148196.13755000001","34422.574999999997","60139.333034992706","271726.95224000001"
2013-04-01,"11803.98515","169.68447267556314","1607.19604","1106.7464400000001","6798.2174000000005","3.6912500000000006","224.81","178773.97034999999","21353.101999999999","64839.150175183167","287419.55444999988"
2013-05-01,"7155.5","92.415926554236108","1626.8643999999999","1105.2068199999999","4050.6394599999994","5.3130799999999994","250.91000000000003","227384.36474999998","35979.514999999999","45172.025841199924","324209.07289000001"
2013-06-01,"3353.2000000000003","125.63165080603457","1914.4198399999998","1004.3979100000005","5478.2401","5.2257999999999996","372.09000000000003","226441.79955","32597.903999999999","58032.171264679986","329448.26014000014"
2013-07-01,"2186.1","250.64319474557971","1848.5120400000001","1511.9288000000001","4828.5672799999993","7.9333999999999998","222.67000000000002","211498.20139","25624.248","57871.663782800031","301639.88079000008"
2013-08-01,"16407.900000000001","208.69684589634494","1914.15192","1209.6089500000003","4691.1194699999996","11.136619999999995","394.27","245710.01","28543.226999999999","69825.400308245487","365581.08583000029"
2013-09-01,"32794.775390000003","523.5802315138211","1685.4317199999998","1323.8308200000001","5525.4249600000012","8.0622999999999987","84.79000000000002","194601.99610000002","33883.446000000004","73567.886166120079","341069.53856999986"
2013-10-01,"18335.150000000001","410.90081283849366","1673.5072699999998","1361.2746199999999","6065.5494800000006","4.4952200000000015","292.70999999999992","192281.39040000003","34701.502","85260.762716039942","339679.11356000003"
2013-11-01,"13888.577020000001","461.1444716096197","1608.7589899999998","1315.7077299999999","6213.816569999999","4.6908500000000002","98.65","173601.44459999999","27275.379000000001","66744.251620219948","292854.23926"
2013-12-01,"16528.752","657.36289702987358","1393.58314","1290.3886199999999","7076.6789200000012","9.2969600000000003","109.63","127581.46780000001","25062.856","60855.981862926717","240604.53780999998"
2014-01-01,"6031.6","462.20673467536358","1519.3644400000001","1339.2680700000003","5517.262380000001","5.4201299999999994","0.12999999999999545","130216.99840000001","22537.822","63602.099350000062","231232.17150467544"
2014-02-01,"4825.7","389.83968325607134","1187.6482599999999","1375.2180900000001","4466.6131899999982","2.0812599999999999","21.120000000000005","109615.17725000001","6877.4670000000006","53193.882629999949","181954.74736325603"
2014-03-01,"3445","404.28290233691064","978.53055000000006","1854.54386","4139.0428100000008","3.0088000000000004","118.94999999999999","102063.79805000001","28459.852999999999","66702.934749999986","208169.94472233692"
2014-04-01,"3842.5","102.90556429225899","1894.2571599999999","1385.6357799999998","5164.9423700000007","6.0469499999999989","159.1","124154.7741","25533.696","63731.82050999999","225975.67843429223"
2014-05-01,"2.5","262.4529899937404","2849.1799599999999","1390.8362800000002","4141.20046","4.8610199999999999","150.48000000000002","217424.04465","40626.146999999997","49803.645269999921","316655.34762999363"
2014-06-01,,"89.260912833050583","2482.3137199999996","981.97323999999981","3513.2578200000003","3.0816300000000001","126.46000000000002","230818.94194999998","44831.98","50556.642099999997","333403.91137283301"
2014-07-01,"51.6","309.40332120728283","2920.0016799999999","1352.10997","5829.6245399999989","6.627460000000001","125.49999999999997","206914.06815000001","37308.16936","46057.97503000006","300875.07951120735"
2014-08-01,"123.7","192.52849951465561","2770.0017199999998","1110.2372500000001","4425.289310000001","8.5011100000000006","181.23000000000002","183422.30909999998","40666.770000000004","52578.352329999965","285478.91931951459"
2014-09-01,"250.20000000000005","299.52661909989018","2606.2856699999998","1326.0083800000002","4749.7953600000001","5.4283700000000019","135.78999999999996","187724.25140000001","45059.324000000001","64963.55448999998","307120.16428909986"
2014-10-01,"26","384.48018962451567","1843.9538399999999","953.81612000000018","5718.45975","7.9490599999999976","179.96","155428.89739999999","45403.12","75431.84182999999","285378.4781896245"
2014-11-01,"348.8","445.20270427556676","2224.85376","1218.1303300000002","5509.9593100000002","6.8415100000000004","176.49","77023.070800000001","7710.7780000000002","66732.107700000008","161396.23411427558"
2014-12-01,"103.2","224.52869428745089","1650.4166700000001","1036.1863500000002","5248.9805800000004","4.801910000000003","170.88","83837.780200000008","22167.795000000002","76001.362869999968","190445.93227428742"
2015-01-01,"18","210.32185594342792","731.76496999999995","1031.8761600000003","4306.4732099999992","3.1909800000000001","127","103126.288","15714.966","50618.352764056544","175761.36093999998"
2015-02-01,"20","122.20055950685376","883.68871999999999","909.87826000000007","4174.0938200000001","1.6899900000000001","188.98000000000005","77585.066699999996","19231.149000000001","44995.632360493095","147923.58838999999"
2015-03-01,,"104.42110547395923","1317.97","1371.01423","4964.425299999999","2.1053199999999999","95.539999999999992","38030.066299999999","24472.707000000002","49006.884334526076","119269.68913000004"
2015-04-01,"2.5","26.036146955030798","1796.5891899999997","1100.6817900000001","3308.48108","2.3414500000000005","353.92","148008.37930000003","19158.129000000001","62243.117073045039","235646.60895000011"
2015-05-01,,,"2437.8940700000003","1303.0246200000001","3964.8892900000001","2.2272900000000004","212.90999999999997","171681.79824999999","46527.308000000005","56836.603309999991","282753.95773999998"
2015-06-01,"19.8","41.792362311872346","2386.7165499999996","1142.24551","4479.8182000000015","3.38008","191.60000000000002","155328.07400000002","39235.58","50812.920827688082","253450.51913"
2015-07-01,"18","54.456944870317791","2451.1374900000001","1278.3313400000002","3536.3332400000004","4.5061899999999993","295.08000000000004","209200.95699999999","47454.020000000004","50929.243055129613","314927.28033999988"
2015-08-01,"206.4","139.12397601400698","2400.63859","1139.5718899999999","4148.6821300000001","6.2909799999999985","310.33999999999992","162804.584","33224.932000000001","59279.195943986095","263349.72985000012"
2015-09-01,"208.05","161.84992250365147","2220.6216100000006","1008.0343800000003","4207.5889699999998","7.6825999999999981","302.63","143124.81300000002","41560.303","92109.915607496296","284609.16171999992"
2015-10-01,"103.2","328.09470239769217","2393.1822999999999","1026.8033699999999","3740.4453199999998","5.7025100000000011","316.34000000000009","135001.245","29006.343000000001","91126.44755760234","262731.78010000003"
2015-11-01,"196.6","324.12085756275462","2330.4452800000004","1474.33098","4071.6505500000003","5.0041700000000011","292.75","152981.45100000003","34642.431000000004","68014.206882437138","264040.53346999991"
2015-12-01,"242.4","306.89188839800056","1487.59662","1385.1756399999999","4489.4528399999999","4.6239600000000021","259.66000000000003","119384.97099999999","36671.252","74827.404891601996","238800.02850000001"
