"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2000-03-01,"20","71.655328798185934","895.4","953.4","2333.1","25.1","370","47695.9","7152.7","19478.599999999999","78995.855328798178"
2000-04-01,"63.3","97.823129251700678","1416","858","2558","34","485","71898","9489","13271.6","100170.72312925171"
2000-05-01,"440.3","771.65532879818591","1649","609","4330","40","501","102013","5796","14781","130930.95532879818"
2000-06-01,"853.6","1515.2834467120181","1116","414","2570","39","443","116984","8543.2000000000007","9693","142171.08344671203"
2000-07-01,"3719.4","951.97278911564615","896.3","646.70000000000005","2905.3","21","518","105711","10063.200000000001","10163","135595.87278911564"
2000-08-01,"2868","779.13832199546482","1515","582","4032","33","701","102337","11592.2","14001","138440.33832199546"
2000-09-01,"1544","615.41950113378687","1293","424","2437","21","844","79253","8314","19079","113824.41950113379"
2000-10-01,"4327","467.5736961451247","1179","495","3770","20","590","44049","10331","23988","89216.573696145118"
2000-11-01,"6810","404.08163265306121","1232","693","4187","16","361","57099","6665.2","24351","101818.28163265306"
2000-12-01,"1458","104.76190476190476","1482","601","7198","8","354","39314","12659","16414","79592.761904761908"
2001-01-01,"9.9999999999999998E-13","210.74829931972789","293.5","522.6","2483","5.04","136.6","44000.4","11309.7","17284","76245.58829931973"
2001-02-01,"1638.3","267.61904761904765","188.4","664.7","2769.8","16.100000000000001","436","36961.800000000003","8850.5","15690","67483.219047619059"
2001-03-01,"757.2","401.36054421768705","830.7","904.3","2572.6","20.3","507","58756.5","16089.7","16386","97225.660544217681"
2001-04-01,"1927.2","90.340136054421762","1424","740.04","1641","31.3","413.7","48767","9048.7000000000007","16602","80685.280136054425"
2001-05-01,"2985.8","227.61904761904759","1413","737.2","1738","44","333","80556","11678.7","13308","113021.31904761905"
2001-06-01,"2440.8000000000002","498.32199546485259","1439","420.2","1668","30","191","71221","10575","12507","100990.32199546485"
2001-07-01,"3950.9","624.94331065759638","1704.3","638.6","2635.2","8","350.1","109809","12299","16383","148403.04331065761"
2001-08-01,"4605","418.14058956916097","518","487","3389","26","232","53364","12901","23720","99660.140589569157"
2001-09-01,"3026","481.63265306122446","1414","485","2893","55","478","52680","11250","26630","99392.632653061228"
2001-10-01,"4583","233.56009070294783","1518","706","2707","21","1047","49793","11038","30207","101853.56009070294"
2001-11-01,"2876","473.01587301587301","1251","686","3992","32","861","50413","9665","24991","95240.015873015873"
2001-12-01,"1548","281.63265306122446","1351","710","3850","5","372","77558","7197","16789","109661.63265306123"
2002-01-01,"2588","127.54","1152.2","766.1","2308.6999999999998","5.5","609.20000000000005","52702.6","7839.5","16793.759999999998","84893.099999999991"
2002-02-01,"3257.3","169.1249886621315","793.4","774.5","1958.8","6.3","457.79","60846.7","9095.6","13351.4850113379","90711.000000000029"
2002-03-01,"1014.5","132.43002267573695","633.20000000000005","972","1712.9","59","297.04000000000002","42246.5","6758.9","15373.229977324299","69199.700000000041"
2002-04-01,"2857.6","72.244897959183675","919.2","763.9","1410.1","8.1999999999999993","571.01","74755","8334.4","12377.745102040801","102069.39999999998"
2002-05-01,"5039.1000000000004","333.1279818594104","1365.6","893","1879.2","5.6","405.63","101294","12140.5","10757.7420181406","134113.5"
2002-06-01,"314","504.57002267573694","1355.2","707.8","1251.5","8.1","393.77","88939","14216.1","13559.559977324299","121249.60000000005"
2002-07-01,"5063.6000000000004","449.85002267573697","2134.6","548.79999999999995","2506.9","13.5","527.23","101957.4","10105","16659.0199773243","139965.90000000002"
2002-08-01,"5476","553.95002267573693","1296.5","700.3","2031.9","34.1","637.79","94008.6","12929","20324.659977324201","137992.79999999993"
2002-09-01,"2101.3000000000002","470.7479818594104","1415.6","734.8","3566.3","34.700000000000003","990.27","66069.7","14063.8","28580.582018140602","118027.80000000002"
2002-10-01,"12463.2","679.43999999999994","1396.1","1040.4000000000001","2332.4","15.7","994.96","82400.5","6875.2","26317.599999999999","134515.5"
2002-11-01,"6031.6","493.57002267573688","992.2","775.6","1999.4","15","834.93","40999.1","12496","20244.9999773243","84882.400000000038"
2002-12-01,"3125","603.98911564625848","652","915.8","3988","7.4","225.41","70667.899999999994","7333.1","13443.400884353699","100961.99999999996"
2003-01-01,"6198.78","480.71999999999997","588.9","651","3374.1","3.1","299.48","82491.73","16631.25","9136.24","119855.3"
2003-02-01,"4588.26","430.91999999999996","367.6","924.7","2550.6999999999998","4.5199999999999996","361.36","63092.43","7438.6","8382.31","88141.400000000009"
2003-03-01,"6125.02","215.6","902.8","890.4","1990.05","9.3000000000000007","431.21","45284.23","8744.7999999999993","14029.39","78622.8"
2003-04-01,"3830.2","311.49999999999994","1424","730.1","1941.9","11.78","293.97000000000003","33398.32","6615","14673.03","63229.8"
2003-05-01,"4306.8999999999996","316.36","1284","1008","2089.3000000000002","31.17","405.53","125779.48000000001","10856.69","12274.97","158352.40000000002"
2003-06-01,"2664.32","295.45","1627.1","912.3","2117.6999999999998","10.5","456.34","116510.42","16915.276000000002","15427.093999999999","156936.50000000003"
2003-07-01,"12144.26","391.05","1980.9","617.29999999999995","1740.4","11.3","273.57","134165.27499999999","15104.252","16630.593000000001","183058.9"
2003-08-01,"10942.3","399.18","1798.6","878.3","3524.2","31.3","531.79","108787.41","20562.400000000001","17018.02","164473.5"
2003-09-01,"18122.400000000001","409.59","2421.5","808.7","3993.9","18.7","872.6","94211.430000000008","22365","19524.38","162748.20000000001"
2003-10-01,"8313.6","282.18","914","854.1","2837.4","12.7","1059.01","86360.92","16892.5","23137.59","140664"
2003-11-01,"8322.2999999999993","507.03300907029478","2064.8000000000002","903.2","4208.1000000000004","16.600000000000001","732.16","87742.125","12700.2","26630.7819909297","143827.29999999999"
2003-12-01,"3363","413.18360544217683","800.4","613.6","5930.4","17.899999999999999","315","104308.655","12289.8","19411.461394557798","147463.39999999997"
2004-01-01,"7965.7","350.98866213151922","260.60000000000002","698.69","3225","5.3","339.24","136322.79999999999","23968.5","21804.882097868482","194602.8"
2004-02-01,"2390","131.50113378684807","320","832.25","3202.4","8.6999999999999993","439","84132","18045.669999999998","20809.539866213105","129872.49999999996"
2004-03-01,"3024","83.399999999999991","961.1","1067.72","4080.75","6.2","629.1","57962.2","13364.16","23073.840900000003","103624"
2004-04-01,"4018.3","162.44444444444443","1248.1199999999999","721.43","3896.79","17.7","261","80592.600000000006","9455.7900000000009","17438.264555555506","117551.69999999995"
2004-05-01,"3445.9","147.3514739229025","1967.5","1222.21","3960.14","11.6","360.23","103619.47","26029.200000000001","17186.368296077089","157590.1"
