"MES","BCXP01","BCXP02","BCXP03","BCXP04","BCXP05","BCXP06","BCXP07","BCXP08","BCXP09","BCXP10","BCXP11","BCXP12","BCXP13","BCXP14","BCXP15","BCXP16","BCXP17","BCXP18","BCXP19","BCXP20","BCXP21","BCXP22","BCXP23","BCXP24","BCXP25","BCXP26","BCXP27","BCXP28","BCXP29","BCXP30","BCXP31","BCXP32","BCXP33","BCXP34"
2000-09-01,"20478717","3829876","1011744","2818132","0",,"16648841","4256200","260565","3995635","0",,"12159588","132303","11911503","115782",,"233053","38840","193389","824",,"5985518","3380819","1225277","1379422","115102","104638","10464","0","1978578","1205207","5541389","1326430"
2000-10-01,"20148666","3779723","906455","2873268","0",,"16368943","4149975","223437","3926538","0",,"12010525","132501","11757861","120163",,"208443","42339","165292","812",,"5941459","3337565","1220568","1383326","119815","109709","10106","0","1896968","1175941","5310180","1382245"
2000-11-01,"20181594","3961136","933912","3027224","0",,"16220458","4156034","241727","3914307","0",,"11863986","126159","11625050","112777",,"200438","38507","161114","817",,"5950250","3318764","1250906","1380580","105064","94050","11014","0","1930235","1073324","5584880","1312522"
2000-12-01,"20792659","4230588","1111815","3118773","0",,"16562071","4515872","284788","4231084","0",,"11855569","120212","11619586","115771",,"190630","38099","151709","822",,"5849312","3308280","1194683","1346349","116307","105422","10885","0","1868571","1078268","5601344","1280241"
2001-01-01,"20733285","4189089","1004639","3184450","0",,"16544196","4509098","252376","4256722","0",,"11834592","130169","11587481","116942",,"200506","38677","161003","826",,"5585947","3302543","950447","1332957","114350","101736","12614","0","1576787","1115469","5496787","1230660"
2001-02-01,"21615798","4440924","1254591","3186333","0",,"17174874","4551892","238499","4313393","0",,"12398967","140975","12140874","117118",,"224015","40873","182314","828",,"5491910","3223444","932368","1336098","134985","122445","12540","0","1405759","1096162","5624703","1280671"
2001-03-01,"21377417","4417107","1117603","3299504","0",,"16960310","4550928","257640","4293288","0",,"12184534","133253","11935912","115369",,"224848","41609","182405","834",,"5460662","3199570","936293","1324799","106201","92665","13536","0","1161410","1094496","5721532","1276293"
2001-04-01,"21102262","4087185","1032318","3054867","0",,"17015077","4409850","231091","4178759","0",,"12339242","131042","11910169","298031",,"265985","83913","181234","838",,"5473753","3208792","954449","1310512","242591","229807","12784","0","1063483","1066399","5747945","1194841"
2001-05-01,"21518351","4396899","1000171","3396728","0",,"17121452","4657056","252101","4404955","0",,"12255836","133046","11831168","291622",,"208560","40804","166912","844",,"5482154","3204129","979687","1298338","102378","89119","13259","0","1002383","1046477","5771322","1202687"
2001-06-01,"21258946","4537092","969417","3567675","0",,"16721854","4531907","247506","4284401","0",,"11959493","118291","11547685","293517",,"230454","53212","176394","848",,"5517813","3316874","905668","1295271","91369","77883","13486","0","936023","999265","5791544","1211095"
2001-07-01,"20951147","4362324","1095419","3266905","0",,"16588823","4577095","257384","4319711","0",,"11799717","107647","11412611","279459",,"212011","45849","165306","856",,"5434018","3231587","895135","1307296","107041","93042","13999","0","802572","1039594","5914378","1219864"
