"MES","AMMC01","AMMC02","AMMC03","AMMC04","AMMC05","AMMC06","AMMC07","AMMC08","AMMC09","AMMC10","AMMC11","AMMC12","AMMC13","AMMC14","AMMC15","AMMC16","AMMC17","AMMC18","AMMC19","AMMC20","AMMC21","AMMC22","AMMC23","AMMC24","AMMC25","AMMC26","AMMC27","AMMC28","AMMC29","AMMC30","AMMC31","AMMC32","AMMC33","AMMC34","AMMC35","AMMC36"
2001-12-01,"2700240.2650000001","303882","2396358.2650000001","1312273","3824188","0",,"5136461","442462","7390919","310",,"7833691","98343","12979554","397878",,"13475775","2700240.2650000001","303882","2396358.2650000001","1312273","3824188","0",,"5136461","442462","7390919","310",,"7833691","98343","12979554","397878",,"13475775"
2002-01-01,"2175362.148","217142","1958220.148","1123893","4283988","0",,"5407881","319435","7761228","252",,"8080915","100025","12574693","402637",,"13077355","2175362.148","217142","1958220.148","1123893","4283988","0",,"5407881","319435","7761228","252",,"8080915","100025","12574693","402637",,"13077355"
2002-02-01,"2191288.3160000001","239032","1952256.3160000001","1140639","4294987","0",,"5435626","308919","7724417","326",,"8033662","97862","12427730","415676",,"12941268","2191288.3160000001","239032","1952256.3160000001","1140639","4294987","0",,"5435626","308919","7724417","326",,"8033662","97862","12427730","415676",,"12941268"
2002-03-01,"2171259.2080000001","215114","1956145.2080000001","1008504","3957346","0",,"4965850","300109","7748503","295",,"8048907","103041","12524947","404007",,"13031995","2171259.2080000001","215114","1956145.2080000001","1008504","3957346","0",,"4965850","300109","7748503","295",,"8048907","103041","12524947","404007",,"13031995"
2002-04-01,"2126790.6660000002","208434","1918356.6660000002","989852","4131256","0",,"5121108","291274","7745731","255",,"8037260","103630","12424368","408212","21720","12957930","2126790.6660000002","208434","1918356.6660000002","989852","4131256","0",,"5121108","291274","7745731","255",,"8037260","103630","12424368","408212","21720","12957930"
2002-05-01,"2292925.983","237603","2055322.983","973898","4023834","0",,"4997732","312933","7608375","243",,"7921551","100006","12256902","392687","46285","12795880","2292925.983","237603","2055322.983","973898","4023834","0",,"4997732","312933","7608375","243",,"7921551","100006","12256902","392687","46285","12795880"
2002-06-01,"2293387.9649999999","252792","2040595.9649999999","1085453","4061583","0",,"5147036","302329","7358590","280",,"7661199","96572","11903201","381276","22876","12403925","2293387.9649999999","252792","2040595.9649999999","1085453","4061583","0",,"5147036","302329","7358590","280",,"7661199","96572","11903201","381276","22876","12403925"
2002-07-01,"2305186.4989999998","218502","2086684.4989999998","933722","3528817","0",,"4462539","288272","5846884","222",,"6135378","75052","10966556","340589","22333","11404530","2305186.4989999998","218502","2086684.4989999998","933722","3528817","0",,"4462539","288272","5846884","222",,"6135378","75052","10966556","340589","22333","11404530"
2002-08-01,"2261738.2429999998","177675","2084063.2429999998","1001450","3644053","0",,"4645503","348502","5994963","187",,"6343652","62197","11128861","333672","22310","11547040","2261738.2429999998","177675","2084063.2429999998","1001450","3644053","0",,"4645503","348502","5994963","187",,"6343652","62197","11128861","333672","22310","11547040"
2002-09-01,"2309290.5529999998","221204","2088086.5529999998","1075634","3636125","0",,"4711759","327602","6307367","244",,"6635213","41825","11731984","298557","22260","12094626","2309290.5529999998","221204","2088086.5529999998","1075634","3636125","0",,"4711759","327602","6307367","244",,"6635213","41825","11731984","298557","22260","12094626"
2002-10-01,"2212148.577","223031","1989117.577","1038624","3848600","0",,"4887224","332661","6395333","272",,"6728266","66357","12174305","258968","278","12499908","2212148.577","223031","1989117.577","1038624","3848600","0",,"4887224","332661","6395333","272",,"6728266","66357","12174305","258968","278","12499908"
2002-11-01,"2350047.273","194434","2155613.273","974302","4063972","0",,"5038274","367364","6534164","221",,"6901749","46130","12286105","249707","68","12582010","2350047.273","194434","2155613.273","974302","4063972","0",,"5038274","367364","6534164","221",,"6901749","46130","12286105","249707","68","12582010"
2002-12-01,"3037420.9640000002","359553","2677867.9640000002","1230283","4207158","0",,"5437441","383202","6939922","214",,"7323338","55076","12482223","234986","16148","12788433","3037420.9640000002","359553","2677867.9640000002","1230283","4207158","0",,"5437441","383202","6939922","214",,"7323338","55076","12482223","234986","16148","12788433"
2003-01-01,"2522877.9410000001","228274","2294603.9410000001","1064748.7239999999","4318269.3490000004","0",,"5383018.0730000008","388021.527","7293056.7470000004","227",,"7681305.2740000002","58212.953999999998","12618120.903999999","222823.802","34601.565999999999","12933759.225999998","2522877.9410000001","228274","2294603.9410000001","1064748.7239999999","4318269.3490000004","0",,"5383018.0730000008","388021.527","7293056.7470000004","227",,"7681305.2740000002","58212.953999999998","12618120.903999999","222823.802","34601.565999999999","12933759.225999998"
2003-02-01,"2597042.821","246066","2350976.821","1008106.895","3871202.5619999999","0",,"4879309.4570000004","397252.908","6769143.6809999999","231",,"7166627.5889999997","58402.981","12323211.770000001","222473.15900000001","58942.629000000001","12663030.539000003","2597042.821","246066","2350976.821","1008106.895","3871202.5619999999","0",,"4879309.4570000004","397252.908","6769143.6809999999","231",,"7166627.5889999997","58402.981","12323211.770000001","222473.15900000001","58942.629000000001","12663030.539000003"
