"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
1999-10-01,"5422360.7379999999","1789511.7379999999","3632849","1004679","2628158","12",,"16561501.335013401","3612039","194214","3414681","3144",,"12478838","121134","12225219","132485",,"470624.33501340001","44326","425175.33501340001","1123",,"4947469.01578","2178861.0929999999",,"2256628.4227799997","511979.5","138405.152","4164725.6904569999","6133576.3823683057","4937556.3930000002"
1999-11-01,"6101529.5159999998","1740559.5160000001","4360970","990857","3370101","12",,"16361964.544895601","3637487","220702","3414313","2472",,"12242794","124419","11985069","133306",,"481683.5448956","42128","438428.5448956","1127",,"5066210.2137599997","2404954.0870000003",,"2202810.8997599999","458445.22700000001","141473.23699999999","4173672.9779599998","6116773.2450429471","4999039.9360000007"
1999-12-01,"5907790.8629999999","2172627.8629999999","3735163","995036","2740115","12",,"16472206.7547778","3804947","281791","3520859","2297",,"12190005","122929","11930983","136093",,"477254.75477780006","36327","439797.75477780006","1130",,"4621525.2856789995","1845623.9270000001",,"2315776.0766789997","460125.28200000001","140262.64199999999","4192141.5684800004","6422506.0197175872","5073423.84"
2000-01-01,"5638522.4440000001","1790050.4439999999","3848472","1029231","2819229","12",,"16718889.5696011","3975649","224437","3748575","2637",,"12246623","133691","11984005","128927",,"496617.5696011","44095","451367.5696011","1155",,"4660071.3696104996","1966290.335",,"2229070.9396104999","464710.09500000003","144113.6666","4184653.7597600003","6389936.8583989004","5103834.0573800001"
2000-02-01,"5498009.477","1697489.477","3800520","1013903","2786605","12",,"16687110.3844244","4043281","265417","3775786","2078",,"12112313","133558","11849037","129718",,"531516.38442440005","43884","486471.38442439999","1161",,"4826265.6800419996","2208083.483",,"2161642.498042","456539.69900000002","142662.715","4095698.5700400001","6520537.6715756003","5227987.7408100003"
2000-03-01,"5467770.9780000001","1687696.7779999999","3780074.2","996732.8","2783329.4","12",,"16695393.43712","3996703","259931","3735699","1073",,"12263050","134913","11996783","131354",,"435640.43712000002","38480","395991.43712000002","1169",,"4782793.0773200002","2072772.825",,"2249534.0573200001","460486.19500000001","150660.08300000001","4169990.30008","6737694.0948800007","5192179.5290299999"
2000-04-01,"5765234.1809999999","1784141.281","3981092.9","1014298.6","2966782.1","12.2",,"16576395.833356701","3959868.3","229211","3729582","1075.3",,"12216272.700000001","127015.9","11965143.9","124112.9",,"400254.83335670002","42424","356656.83335670002","1174",,"4963250.8788775001","2355946.2330000005",,"2148346.7598775001","458957.886","150628.29300000001","3963526.7413600003","6773427.5476433001","5157720.6159000006"
2000-05-01,"5605577.9359999998","1704528.936","3901049","1052050","2848987","12",,"16599083.0510954","4000257","256238","3742938","1081",,"12177201","107879","11948997","120325",,"421625.05109540001","36441","384004.05109540001","1180",,"5117744.9394349996","2419240.1469999999",,"2260434.5754349995","438070.217","151557.22","3859721.48018","6756421.0939045995","5182939.7379300008"
2000-06-01,"5404057.8839999996","1782533.8840000001","3621524","868873","2752651","0",,"16666670.9719781","3962233","270526","3690594","1113",,"12280372","132788","12029040","118544",,"424065.97197810002","36505","386375.97197810002","1185",,"5040705.8709925003","2391108.977",,"2225304.4179925001","424292.47600000002","150154.71599999999","3757495.3661199999","6861768.7050219001","5398028.2937999992"
2000-07-01,"5603274.0940000005","1734495.094","3868779","1020323","2848456","0",,"16715613.565558","4075775","268097","3806559","1119",,"12187002","137239","11930026","119737",,"452836.565558","46858","405120.565558","858",,"5077293.2745500002","2574702.429",,"2116719.2765500001","385871.56899999996","154525.41800000001","3856300.8701999998","7087425.4274420002","5392074.6100000003"
2000-08-01,"5616493.3229999999","1703507.3230000001","3912986","968403","2944583","0",,"16723809.8763908","4133183","267253","3865930","0",,"12194786","136794","11937323","120669",,"395840.8763908","36251","358770.8763908","819",,"4987571.3511075005","2572651.5150000001",,"2073668.0061075001","341251.83","154269.80100000001","3865929.2632800001","7147254.8466092004","5413332.0479999995"
