"MES","SEHV01","SEHV02","SEHV03","SEHV04","SEHV05","SEHV06","SEHV07","SEHV08","SEHV09","SEHV10","SEHV11","SEHV12","SEHV13"
2000-08-01,"236.2","7008.6","9.5","519.5","238.4","13344.3",,,,,"3435","627.30399999999997","21499.7"
2000-09-01,"3.3","109.2","8.6999999999999993","479","214.95013999","12594.7",,,,,"2606.0579999999995","686.3","13869.2"
2000-10-01,"235.2","8296","0.2","10","230.6","14614.2",,,,,"596","148","23068.2"
2000-11-01,"7.3","266","2.2000000000000002","123","216.5","13753.3",,,,,"1001","292","14434.3"
2000-12-01,"231.6","6804","9.9999999999999995E-8","1E-8","213.6","13423.4",,,,,"1146","316","20543.400000000001"
2001-01-01,"221.4","6404","0.02","0.1","215.1","14016.5",,,,,"2738","819.1","21240"
2001-02-01,"233.5","6848.3","4.3","13.5","236.3","15788.6",,,,,"1364.6579999999999","438.1","23088.5"
2001-03-01,"20.6","936.5",,,"266.36211900000001","17816.7",,,,,"1600.1880000000001","466.8","19220"
2001-04-01,"229.5","6476.8",,,"247.72459000000001","15362.4",,,,,"1114.8","325.2","22164.400000000001"
2001-05-01,"227.1","6581.3",,,"334.778571","21010.128000000001",,,,,"1121.3","327.60000000000002","27919.027999999998"
2001-06-01,"188.8","4977.6000000000004",,,"291.7037115316013","18016.5",,,,,"1109.7","323.7","23317.800000000003"
2001-07-01,"368.6","11311","0.2","7.6","340.98265549937781","20031.5",,,,,"954.54449999999986","211.3","31561.399999999998"
2001-08-01,"14.3","538.6",,,"366.26349281158309","21877.3",,,,,"1742.4224999999999","323.5","22739.399999999998"
2001-09-01,"30","1054.8",,,"336.37841698351247","19590.099999999999",,,,,"1545.4529999999997","422.3","21067.199999999997"
2001-10-01,"27.1","875","30.302999999999997","7","434.80321807389583","25865",,,,,"2303.0279999999998","605","27352"
2001-11-01,"38.1","1165",,,"431.91211873521286","25332",,,,,"2318.1794999999997","431","26928"
2001-12-01,"7.2","170",,,"380.31972896948923","22187.351999999999",,,,,"2151.5129999999999","368","22725.351999999999"
2002-01-01,"145.07717","4239.21","15.397617397617399","330.48","416.51028962359248","20963.71",,,,,,,"25533.399999999998"
