"MES","SEMU01","SEMU02","SEMU03","SEMU04","SEMU05","SEMU06","SEMU07","SEMU08","SEMU09","SEMU10","SEMU11"
2000-06-01,"5430","4556.6343042071194","4993.3171521035601","3938.1017881705639","713.04715584690223","418.8664076108804","1140.5897887323943","998.33496571988235","160590.50064184851","8939960.2385685891","6732"
2000-07-01,"5457.1428571428569","4395.652173913043","4926.3975155279495","3936.823104693141","787.31343283582089","424.14225464493336","1125.4220474085419","1330.2556094911572","160076.92307692309","9206169.2969870865","6971.9822554284374"
2000-08-01,"5282.7586206896558","5273.8225629791896","5278.2905918344222","3534.8837209302328","715.18987341772151","463.24269889224576","1146.3909164639092","951.33410672853813","156822.22222222222","8893813.4810710996","4850"
2000-09-01,"5382.0224719101116","5383.4745762711873","5382.7485240906499","3266.6666666666665","745.90163934426232","462.34676007005254","1208.9383899619343","739.30069930069931","155878.78787878787","8819918.1446111873","5235.4285714285716"
2000-10-01,"5358.0246913580249","5362.1227887617069","5360.0737400598664","3772.727272727273","793.89312977099235","497.82923299565846","1158.9781140672037","1180.3018984570208","159303.0303030303","8777915.6327543426","160"
2000-11-01,"5255","5260.4255319148942","5257.7127659574471","4010.3448275862065","779.06976744186056","562.40786240786247","1071.0950937832747","1244.019138755981","154868.4210526316","8576598.3112183344","4250"
2000-12-01,"5257.7319587628863","5263.4457611668186","5260.5888599648524","4971.4285714285706","885.41666666666663","462.43194192377496","1057.281339502093","1169.1128387706169","152625","8648382.559774965","6895.8083832335333"
2001-01-01,"5165.3543307086611","5168.3070866141734","5166.8307086614168","5181.818181818182","781.60919540229895","463.14325452016692","1023.1311426585922",,"149515.15151515149","8641666.6666666679","3000"
2001-02-01,"5133.7209302325582","5154.6391752577319","5144.1800527451451","6450.9803921568628","806.66666666666663","497.00598802395206","1036.2344168705581",,"148272.72727272729","8420000","3833.3333333333335"
2001-03-01,"5098.3606557377043","5077.0547945205471","5087.7077251291257","6441.8604651162786","825.89285714285711","520.46783625730995","1014.1513658755036",,"144809.52380952379","8369879.5180722903",
2001-04-01,"4974.9463135289916","4974.2292870905585","4974.587800309775","6588.5416666666661","733.33333333333326","485.99439775910366","980.67541225435957","1697.6542137271938","139213.67521367519","8347983.8709677421","4696.6292134831456"
2001-05-01,"4978.8732394366189","4977.8923366709623","4978.3827880537901","6590.4761904761908","756.234915526951","473.54124748490943","955.15262515262509",,"140219.81424148608","8520964.5669291336","5200"
2001-06-01,"4895.6766917293226","4895.8940011648228","4895.7853464470727","6597.4264705882342","704.15738678544915","475.12010981468774","903.20721623653208",,"142534.31372549018","9255659.1211717706","5000"
2001-07-01,"4624.4665718349934","4594.4425694678821","4609.4545706514382","6587.0646766169148","698.90009165902848","468.04353893385428","868.47019208693655","1587.3743993010048","137735.07462686571","8654957.9216977693","4544.4444444444443"
2001-08-01,"3629.0322580645161","4129.943502824859","3879.4878804446876","6619.7183098591549","686.56716417910445","500","825.50997194206411",,"133794.11764705883","8653184.1652323585","6750"
2001-09-01,"4909.090909090909","5685.7142857142862","5297.4025974025972","6605.2631578947376","588.81578947368416","530.56768558951956","910.74691976655072",,"152372.54901960783","8845329.2496171501","4222.2222222222226"
2001-10-01,"4750","5435.1851851851852","5092.5925925925931","5528.3018867924529","688.74172185430461","480.51948051948051","863.57702349869453",,"145900","9305774.692331966","5000"
2001-11-01,"4777.7777777777774","5708.0291970802928","5242.9034874290355","4914.529914529915","586.70520231213879","632.41106719367588","868.33080787941617","1366.8916935720574","157827.58620689655","6181510.7102593007",
2001-12-01,,"5707.0175438596489","2853.5087719298244","4938.461538461539","633.41645885286778","630.91482649842271","852.22037958356373","1477.012892240331","155833.33333333334","9017885.6595336944","4800"
2002-01-01,"3889.3989200501474","3869.5575034404887","3879.4782117453178","4164.7536397688818","689.15587531082826","517.40024021614499","775.78963225817256","1477.5725593667548","147156.88282164969","9009075.9075907599","1856.1151079136691"
2002-02-01,"3830.1709745427074","4263.7862421830578","4046.9786083628824","3246.6128567310466","689.03213952135241","497.508930250047","774.20379867503402","1567.6305476114817","141554.33807328716","9204567.2474073209","2500"
2002-03-01,"3692.346467277157","3822.5679166627237","3757.4571919699401","2754.7892720306513","689.00794259707573","485.59129759895251","777.32150139929979","1595.8805004681249","143512.66335895192","9407820.6119518392","4000"
