"MES","BCPA01","BCPA02","BCPA03","BCPA04","BCPA05","BCPA06","BCPA07","BCPA08","BCPA09","BCPA10","BCPA11","BCPA12","BCPA13","BCPA14","BCPA15"
2006-05-01,"4249514.6752305869","499239.72341000009","2375867.9741193997","1374406.9777011867","5065098.8459278625","24162082.496903203","23964770.866894815","18715569.699606415","0","934551.9157885327","4314649.2514998671","197311.63000838651","1307294.45218","3601749.2924955599","38385739.762737215"
2006-06-01,"4310278.6532611866","484114.10636999999","2454862.1939599994","1371302.3529311866","4806638.9626578614","24142414.834703606","23947347.169995219","18965237.520216417","0","855846.41842893313","4126263.2313498687","195067.6647083865","1425816.1090899999","3565058.3223355585","38250206.882048212"
2006-07-01,"4435995.5097511867","505442.00018999999","2480810.6954999999","1449742.8140611867","4706282.0430865986","24448717.873981658","24248533.630003273","19188705.211366422","0","979336.0320089329","4080492.3866279172","200184.24397838651","1404413.8662399999","3559834.0855155587","38555243.378575005"
2006-08-01,"4513816.7676935596","475623.91964999994","2535733.6865699999","1502459.1614735594","5165547.5762909511","24544524.733889338","24344957.584255699","19397106.654363059","0","915711.66569190333","4032139.2642007335","199567.14963363975","1442280.3991100001","3525466.0733370478","39191635.550320894"
2006-09-01,"4575708.6638535596","558930.11797000002","2391779.4789700001","1624999.0669135593","5450403.0345509509","24713765.401649341","24517717.8606757","19582535.32789306","0","912874.19116190332","4022308.341620734","196047.54097363976","1353802.4798599998","3565958.2622870468","39659637.84220089"
2006-10-01,"4305986.5232635587","515987.63339000009","2477040.0022999994","1312958.8875735595","5733533.0954909511","24716328.950837836","24519639.311514195","19592432.195603058","0","900714.13837190345","4026492.977539232","196689.63932363974","1365024.9467099998","3565948.6928870482","39686822.209189385"
2006-11-01,"4651297.5623835605","582761.57305999997","2703768.0659000007","1364767.9234235594","6418864.1751509514","24802371.096327834","24615430.529144194","19854017.994573057","0","837220.97763190349","3924191.5569392326","186940.56718363977","1413527.6424100001","3511888.9043970462","40797949.3806694"
2006-12-01,"5473199.3454983067","643388.71739000012","3578544.8075500005","1251265.8205583054","6448491.7634696532","24935874.383618671","24751735.290758673","20131491.403036352","0","778774.7468103437","3841469.1409119768","184139.09286000003","1520977.27743","3483780.845050022","41862323.615066648"
2007-01-01,"5539275.9556430504","579183.76123999991","3510013.693909999","1450078.500493051","7314140.8398242593","24680313.281559505","24500282.482349504","19770138.692019638","0","923703.71450878412","3806440.0758210835","180030.79921","1522816.8999900003","3464416.5006981101","42520963.477714926"
2007-02-01,"5694035.7092277966","589675.99644000013","3677009.9824799998","1427349.7303077967","7645559.9843721734","24748463.845599666","24568985.095399667","19812676.336472929","0","958249.02063722454","3798059.7382895122","179478.75020000001","1555673.8358","3456455.0458818185","43100188.42088145"
2007-03-01,"6031856.4692777963","553389.62809999986","4000612.4173399997","1477854.4238377968","7629859.703942176","25027680.774220232","24849505.059580233","20200957.500602931","0","819123.55720722454","3829424.0017700796","178175.71463999999","1505339.7667400001","3465500.144831819","43660236.85901203"
2007-04-01,"5972262.3836977966","574410.52590999997","3944266.1824299996","1453585.6753577967","7344407.5980921751","25440674.948627692","25262810.73369769","20637623.257632926","0","801531.34010722453","3823656.1359575382","177864.21492999999","1537654.9458399997","3468213.9614155488","43763213.837673217"
2007-05-01,"6136378.9833125416","592871.04041000002","3837672.2599399993","1705835.6829625424","7431586.7985700918","25793016.19238032","25616667.871350322","21071495.138880242","0","767684.48990566505","3777488.2425644132","176348.32103000002","1603030.8682600001","3455306.0422499711","44419318.884772927"
2007-06-01,"6457957.4808472879","560714.58432000002","4395706.8451799992","1501536.0513472883","7273233.4071286833","26125755.178449597","25947859.002539597","21630807.655963529","0","729257.52686410514","3587793.819711965","177896.17590999999","1730748.6350000002","3420952.3657967136","45008647.067222282"
2007-07-01,"6516658.8242062721","552963.95444","4401403.7287400002","1562291.1410262715","7048033.3553560339","26197558.620296322","26021270.826036323","21613726.585636683","0","869919.42364786693","3537624.8167517749","176287.79426","1654889.2847899999","3445820.6638356084","44862960.748484239"
2007-08-01,"7435125.4254705077","628646.18263000005","5159748.1515799994","1646731.0912605086","6369933.0363906594","26248163.701072425","26075011.020622425","21783605.076168712","0","787655.50279796415","3503750.4416557499","173152.68044999999","1739815.11879","3485452.5120359119","45278489.793759502"
