"MES","BZCD01","BZCD02","BZCD03","BZCD04","BZCD05","BZCD06","BZCD07","BZCD08","BZCD09","BZCD10","BZCD11","BZCD12","BZCD13","BZCD14","BZCD15","BZCD16","BZCD17","BZCD18","BZCD19","BZCD20","BZCD21","BZCD22","BZCD23","BZCD24","BZCD25","BZCD26","BZCD27","BZCD28","BZCD29","BZCD30","BZCD31","BZCD32","BZCD33","BZCD34","BZCD35","BZCD36","BZCD37","BZCD38","BZCD39","BZCD40","BZCD41","BZCD42","BZCD43","BZCD44","BZCD45","BZCD46","BZCD47","BZCD48","BZCD49","BZCD50","BZCD51","BZCD52","BZCD53","BZCD54","BZCD55","BZCD56","BZCD57","BZCD58","BZCD59","BZCD60","BZCD61","BZCD62","BZCD63","BZCD64","BZCD65","BZCD66","BZCD67","BZCD68","BZCD69","BZCD70","BZCD71","BZCD72"
1998-09-01,"156.88","16.48","14.879999999999999","9.1999999999999993","3.9","5.3",,"0.78","0.64","0.14000000000000001",,"4.8999999999999995","1.6",,"1.6",,"2.8","123.3","84","39.299999999999997","5.4","5.4","5.4",,,,,,,,"8.9",,"8.9","225.1","31.94","29.14","0.04",,,"0.04","24.2","4.9000000000000004","2.8",,,,,"0.7","2.1","47.2","29.9","29.9",,,"17.3","17.3",,,"126.52","73.5","53.019999999999996","0.1","17.3",,"5.4",,"5.4",,"-3.3600000000000003",,,"-68.22"
1998-10-01,"194.24","12.92","8.92","7.16","1.8599999999999999","5.3",,"0.85999999999999988","0.55999999999999994","0.3",,"0.90000000000000036","4",,"4",,"9.6999999999999993","114.5","61","53.5","49.82","26.5","24.3","2.2000000000000002","23.32",,,,,,"7.3",,"7.3","217.5","56.205000000000005","54.005000000000003",,,,,"49.305","4.7","2.2000000000000002","1.7",,,,,"0.5","17.479999999999997","11.639999999999999","11.639999999999999",,,"5.84","5.84",,,"119.63499999999999","68.099999999999994","51.534999999999989",,"19.600000000000001",,"1.34",,"1.34",,"3.24",,,"-23.259999999999991"
1998-11-01,"147.72","11.82","9.82","7.66","2.36","5.3",,"1.26","1.26",,,"0.90000000000000036","2",,"2",,"2.2999999999999998","106.19500000000001","78.7","27.495000000000001","24.25","24.25","23.5","0.75",,,,,"0.755",,"2.4",,"2.4","144.73999999999998","18.239999999999998","16.2","0.2",,,"0.2","12.4","3.6","2.04","1.9",,,,,"0.14000000000000001","20.100000000000001","9.6999999999999993","9.6999999999999993",,,"10.4","10.4",,,"96.059999999999988","29.2","66.859999999999985",,,,"10.3",,"10.3",,,,,"2.9800000000000182"
1998-12-01,"262.84000000000003","13.740000000000002","8.9400000000000013","7.1999999999999993","2.1","5.0999999999999996",,"1.1400000000000001","0.94000000000000006",,"0.2","0.60000000000000053","4.8",,"4.8",,"8.1999999999999993","156.80000000000001","95.3","61.5","69.400000000000006","69.400000000000006","69.400000000000006",,,,,,,,"14.7",,"14.7","196.76","59.300000000000004","55.300000000000004","0.2",,,"0.2","51.96","3.14","4","1.9",,,,,"2.1","20.5","9.8000000000000007","9.8000000000000007",,,"10.7","10.7",,,"89.647999999999996","61.8","27.847999999999999",,"10.192",,"10.760000000000002",,"10.760000000000002",,"6.32",,,"66.080000000000041"
1999-01-01,"125.54000000000002","13.600000000000001","8.3000000000000007","7","2.5","4.5",,"0.8","0.8",,,"0.5","5.3",,"5.3",,"1.835","96.9","80.7","16.2","4.3049999999999997","4.3049999999999997","4.3049999999999997",,,,,,,,"8.9","1.6","7.3","157.97","56.604999999999997","53.504999999999995","0.40500000000000003",,,"0.40500000000000003","49.3","3.8","3.1",,,,,,"3.1","14.399999999999999","7.1","7.1",,,"7.3","7.3",,,"64.617454940000002","40.200000000000003","24.417454939999995",,"14.555",,"4.5649999999999995",,"4.5649999999999995",,"3.1875450600000002",,,"-32.429999999999978"
1999-02-01,"135.38000000000002","8.84","6.24","5","1.9","3.1",,"0.84000000000000008","0.84000000000000008",,,"0.39999999999999991","2.6",,"2.6",,"1.2372978100000001","107.7","97.100000000000009","10.6","9.1627021899999992","9.1627021899999992","9.1627021899999992",,,,,,,,"8.44","1.24","7.2","143.84","6.7850000000000001","4.8849999999999998",,,,,"0.185","4.7","1.9",,,,,,"1.9","12.7","7.3","7.3",,,"5.4","5.4",,,"86.227000000000004","43.800000000000004","42.426999999999992",,"26.187999999999999",,"11.9",,"11.9",,,,,"-8.4599999999999795"
1999-03-01,"139.72000000000003","7.2200000000000006","7.2200000000000006","6.16","3.36","2.8",,"1.06","1.06",,,,,,,,"2.4","97.200000000000017","72.300000000000011","24.9","20.2","20.2","20.2",,,,,,,,"12.7","1.6","11.1","176.01999999999998","40.714999999999996","38.814999999999998","0.4",,,"0.4","33.515000000000001","4.9000000000000004","1.9000000000000001","0.1",,,,,"1.8","34.6","25.3","25.3",,,"9.3000000000000007","9.3000000000000007",,,"87.723413620000002","36.839999999999996","50.883413619999999",,"2.6",,"6.94",,"6.94","1.2802113900000001","2.1213749900000001",,,"-36.299999999999955"
1999-04-01,"106.7","7.6","5.8","4.6999999999999993","1.4","3.3",,"0.7","0.7",,,"0.40000000000000036","1.8",,"1.8",,"0.59601312000000006","82.5","49.100000000000009","33.4","5.3039868800000001","5.3039868800000001","5.3039868800000001",,,,,,,,"10.700000000000001",,"10.700000000000001","144.17071440000007","30.19","27.89",,,,,"21.59","6.3","2.2999999999999998",,,,,,"2.2999999999999998","14.8","10.4","10.4",,,"4.4000000000000004","4.4000000000000004",,,"87.344000000000023","20.6","66.744000000000014",,"6.806",,"2.84",,"2.84","0.84443794999999999","1.3062764500000001",,,"-37.470714400000062"
1999-05-01,"177.1","9.3000000000000007","7.5","6.1","3.2","2.9",,"1","1",,,"0.39999999999999991","1.8",,"1.8",,"1.4","140.00200000000001","85.8","54.202000000000005","10","10","10",,,,,,"14.698",,"1.6999999999999997",,"1.6999999999999997","150.84","11.435","9.3350000000000009",,,,,"4.835","4.5","2.1",,,,,,"2.1","18.5","11","11",,,"7.5","7.5",,,"118.26500000000001","31.7","86.565000000000012",,,,"2.6",,"2.6",,,,,"26.259999999999991"
1999-06-01,"233.57999999999998","9.58","8.14","7.14","4.34","2.8",,"1","1",,,,"1.44",,"1.44",,"0.35081048999999997","103.73899999999999","81.699999999999989","22.039000000000001","35.149189509999999","35.149189509999999","35.149189509999999",,,,,,"75.960999999999999",,"8.8000000000000007",,"8.8000000000000007","185.558986","68.615000000000009","66.215000000000003","0.5",,,"0.5","61.914999999999999","3.8","2.4",,,,,,"2.4","5.9","3.6","3.6",,,"2.2999999999999998","2.2999999999999998",,,"95.023986000000008","30.740000000000002","64.283985999999999",,,,"11.139999999999999",,"11.139999999999999",,"4.84",,,"48.02101399999998"
