"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
2006-10-01,"23616860.571791999","23713293.352476001","96432.780684000027","-7851591.7890402814","2035752.0625845005","2255212.2110910006","-219460.1485065","1516452.8834067881","0","-7571389.2820193768","8713178.6799100526","6453751.9496300006","1575380.9233499998","60961.468832052829","623084.33809799992","2259426.7302800524"
2006-11-01,"24412009.65687","24514905.632131498","102895.9752615","-7669077.8647505688","2054292.778558","2270925.6604169998","-216632.88185899996","1736353.2369576809","0","-7909463.1734995376","9151408.1602202151","6743470.5320099993","1684690.7145900012","70967.498200713162","652279.41541950009","2407937.6282102144"
2006-12-01,"25209363.420006998","25327896.086707499","118532.66670049999","-6146738.8980542328","2015642.5982008995","2238543.6198417996","-222901.02164090003","1922996.8236071346","0","-7928164.7372219274","11227105.5593246","8012030.8340299986","2428847.5763100004","70883.536503706215","715343.61248089978","3215074.7252946063"
2007-01-01,"25626520.390125901","25745597.873973601","119077.48384769999","-7090939.0444820924","2028701.4490119002","2240038.9334296002","-211337.4844177","2330777.8192585167","0","-8049697.4765149243","10183807.498882268","7449216.316060001","1996893.3645399993","72989.907926967149","664707.91035529971","2734591.1828222661"
2007-02-01,"26584574.340597898","26701643.784682199","117069.4440843","-7536965.3369938396","2033257.7821990994","2256623.2304378995","-223365.44823879999","2652257.9758018684","0","-8215055.7989324387","10213553.011068853","7514709.7360100001","1957453.01471","73855.945762651085","667534.31458620029","2698843.2750588516"
2007-03-01,"27872893.589212202","27988767.7443741","115874.15516189999","-8373863.1548027908","1993351.8087856998","2226971.3554404997","-233619.54665480001","3063162.4517048388","0","-8053079.8744835537","10376139.917006718","7746716.8458899986","1820079.5367600003","87365.630499217572","721977.90384750022","2629423.0711067179"
2007-04-01,"29459327.773321502","29579574.210644402","120246.43732290002","-9355528.2934757695","2019262.0957135002","2228683.8665053002","-209421.77079179997","3180773.1779237594","0","-8245406.6090927999","10696881.788542675","8073064.2336899992","1878270.310730001","98715.075186570582","646832.16893609997","2623817.5548526715"
2007-05-01,"30226833.147587702","30341620.787673302","114787.6400856","-10035894.476221863","2089729.9068454001","2293594.6884292001","-203864.78158380001","3395120.3735537394","0","-8071898.3034703098","10813649.901187193","8281724.0529100001","1800650.2139799998","99611.446625192111","631664.18767200003","2531925.8482771921"
2007-06-01,"30542295.814040996","30519642.066203497","-22653.747837499996","-9203285.6014469136","2035691.463153","2253624.399768","-217932.93661500001","3846772.7639844841","0","-8082409.9712589625","11445518.94050364","8738273.0502199996","1815752.7320599996","103262.59222413719","788230.56599949999","2707245.8902836367"
2007-07-01,"31962351.3279819","31975925.445487801","13574.1175059","-9927077.9142378885","2021864.9106748998","2243143.6716708997","-221278.760996","4122810.0383342765","0","-8058978.5193276908","11875349.766756942","9260221.5784199983","1870869.82015","98281.641835545306","645976.72636139987","2615128.1883469452"
2007-08-01,"33798421.449812993","33775033.484238297","-23387.9655747","-9554583.9636361115","1936314.4790506002","2154572.5867551002","-218258.10770450003","5266983.1178207649","0","-7997357.8349511726","12915811.012455542","9971905.5260600001","2214474.5794700002","101705.19529934824","627725.71162620012","2943905.4863955486"
2007-09-01,"36564980.360486701","36559785.304430403","-5195.056056299999","-9870916.8292107172","1929687.0465467002","2178422.7559636002","-248735.70941689998","6229577.7092092782","0","-8657988.9719336312","13736183.896679776","10449870.650780002","2261208.926169998","132141.45484357249","892962.86488619982","3286313.2458997704"
2007-10-01,"37713248.706941597","37717054.047128297","3805.3401866999993","-10005800.813524056","1937542.5027903002","2171003.1148099001","-233460.61201959997","6834263.8130153781","0","-8925586.7879399471","13885139.795252513","10649343.374160001","2427350.1330300001","157508.8385105168","650937.44955200003","3235796.4210925172"
2007-11-01,"38751160.954240702","38751786.395259701","625.44101900000032","-9953057.9160852227","2071741.0194585","2326120.2848727","-254379.2654142","7174849.6898026494","0","-9016562.8157407641","14678431.552070566","11323176.733819999","2550165.4242799999","156998.9452081635","648090.44876239996","3355254.8182505635"
2007-12-01,"40266643.172985904","40261196.811808005","-5446.3611779000003","-8061803.4753122861","2118621.2585100997","2417225.4733647997","-298604.21485469997","7647982.181235305","0","-9217185.0959370732","17458293.679011337","13117459.198669998","3351259.3790400005","180600.22732484245","808974.87397649989","4340834.4803413432"
