"MES","BCCP01","BCCP02","BCCP03","BCCP04","BCCP05","BCCP06","BCCP07","BCCP08","BCCP09","BCCP10","BCCP11","BCCP12","BCCP13","BCCP14","BCCP15","BCCP16","BCCP17","BCCP18","BCCP19","BCCP20","BCCP21","BCCP22","BCCP23","BCCP24","BCCP25","BCCP26","BCCP27","BCCP28","BCCP29","BCCP30","BCCP31","BCCP32"
2008-04-01,"14337365.100159999","15979776.766439244","2859811.1763812182","13119965.590058027","-32314.815172999999","0","-32314.815172999999","330495.02417999995","85150.690932999976","220629.45613867801","140.18292199999999","140.18292199999999","0","11092785.782724001","17990944.127737958","8937739.2418149598","6508936.0135600017","969324.06390995765","1326181.4480959997","133297.71624899999","925705.00720799994","925345.28101999999","0","359.72618799999998","6679819.5594929988","6554363.8048799988","0","125455.75461300001","1447680.319222","454006.42133000004","0","993673.89789200004"
2008-05-01,"14988317.507040001","17359138.312184606","3623177.5203829785","13735960.791801626","-4645.7615532999998","0","-4645.7615532999998","329958.07263359998","84241.543458099986","223096.73765637397","138.45463939999999","138.45463939999999","0","10474733.112884101","18171721.347930674","8154539.9671226731","6145895.8539199987","638685.83722407417","1238214.2584237999","131744.0175548","985462.94161760004","985107.65041","0","355.29120759999995","6734440.3993627997","6617079.0282399999","0","117361.37112279999","2297278.0398276001","471308.57012000011","0","1825969.4697076001"
2008-06-01,"15488208.64708","17949046.686390229","3182273.2534944084","14766773.432895821","-20993.220818400001","0","-20993.220818400001","327785.61926559999","84031.058372799991","237550.80917618182","136.72635680000002","136.72635680000002","0","10098255.527731998","18947085.561576318","8172423.8197139166","6109038.6871000007","739844.66018911556","1204418.1987856","119122.27363920001","1047247.9876072","1046897.13138","0","350.85622719999998","6233701.1001092","6171530.1115899999","0","62170.988519200007","3493712.6541459998","836545.77916999988","0","2657166.8749759998"
2008-07-01,"15967202.959799999","18741823.714987021","3129804.9772916981","15612018.737695323","-4970.9116863999998","0","-4970.9116863999998","326487.50999200001","79798.629011199999","250139.4307510496","135.19010560000001","135.19010560000001","0","9211780.7102284003","21298408.768005628","10098861.736806827","7043324.8155399999","775776.17477722722","2161976.9253632003","117783.8211264","1109202.3275024001","1108855.4134800001","0","346.91402239999996","6379260.1885383995","6311406.8736199997","0","67853.314918399992","3711084.5151580004","1033728.2233500001","0","2677356.2918080003"
2008-08-01,"16409841.309079999","19582508.475286856","3567030.7471268931","16015477.728159964","5501.5122816999992","0","5501.5122816999992","326230.05238070001","79520.029097300008","269093.41997784638","134.61401139999998","134.61401139999998","0","8395907.505123999","22185369.603527274","10396914.957165875","6609866.8945600018","794178.02404427272","2875546.0771274995","117323.9614341","1068836.3631255999","1068490.9274299999","0","345.43569559999997","6638871.2640932985","6584070.7059499985","0","54800.558143300004","4080747.0191424997","1195876.9865800003","0","2884870.0325624994"
2008-09-01,"16672076.79191","19815792.547747489","3696768.720204276","16119023.827543214","-10118.533452600002","0","-10118.533452600002","330449.11118250003","79400.44500929999","281374.02714086598","134.2299486","134.2299486","0","8649044.5254013017","22161093.464883741","9781366.4284171443","6039459.7510499991","822081.71885054617","2801933.8078544997","117891.15066210002","1100229.6936643999","1099885.24352","0","344.4501444","6674172.6708914991","6612455.7111599995","0","61716.959731499999","4605324.6719107004","1594993.7554600006","0","3010330.9164506998"
2008-10-01,"16082536.995379999","19669900.815230131","3747688.8414859236","15922211.973744208","-10417.164818699999","0","-10417.164818699999","330742.41848719999","79176.238237900005","276152.80515992403","133.84588579999999","133.84588579999999","0","7843700.2385321008","22198117.714521699","10752137.016337495","7806998.8924200004","892788.33094579668","1934784.8260705997","117564.96690109999","1113671.5347932","1113328.0702","0","343.46459319999997","6872315.3742565","6791723.9236599999","0","80591.450596499999","3459993.7891345005","453329.97437999997","0","3006663.8147545005"
2008-11-01,"15870398.340809999","19516136.006262451","3776790.9632487893","15739345.043013662","-18908.549653900001","0","-18908.549653900001","334079.08260019997","79308.215815200005","276338.87958222779","133.84588579999999","133.84588579999999","0","8395668.1069839019","22552035.456069775","11256030.433708275","7541335.8142000008","904075.70528967294","2692957.3894680003","117661.5247506","1152227.2248232001","1151883.7602300001","0","343.46459319999997","6982250.8191329995","6922138.2499899995","0","60112.569142999993","3161526.9784053005","401391.63402000006","0","2760135.3443853003"
2008-12-01,"17043319.105519999","20546030.042678684","4917564.6294286642","15628465.413250022","1060.7237346000002","0","1060.7237346000002","333320.62556719995","79546.844429299992","282682.62566103484","133.84588579999999","133.84588579999999","0","8744237.8030693009","20841711.937489986","10207424.684273284","6347961.37457","969557.53268268425","2774813.6985801994","115092.07844039999","1071736.4997532","1071393.03516","0","343.46459319999997","6060150.2771793995","6016523.0536199994","0","43627.223559400001","3502400.4762840997","377553.76893000002","0","3124846.7073540995"
2009-01-01,"15808647.000790002","21395518.351059861","5264039.75811252","16131478.592947342","-2958.4610382999999","0","-2958.4610382999999","335502.64021619991","76244.351648900003","275313.03316795942","133.84588579999999","133.84588579999999","0","8933076.5956177004","21611814.859546233","10850505.141642334","6246615.9737999989","1008926.8406582349","3479870.2487436999","115092.07844039999","1133286.6272532002","1132943.1626600001","0","343.46459319999997","6045902.9792702002","6003792.0329300007","0","42110.946340199989","3582120.1113804998","512675.43095999997","0","3069444.6804204998"
2009-02-01,"15391407.633989999","20369433.707932748","4538417.3586730352","15831016.349259714","-4165.3929992000003","0","-4165.3929992000003","336407.35689589992","76343.998393300019","264657.4380246948","133.84588579999999","133.84588579999999","0","9109062.8476747982","22271669.713730514","11614692.771954512","6623699.3112599989","1012528.1386648121","3863326.2286392003","115139.0933905","1145457.9679932001","1145114.5034","0","343.46459319999997","6303658.8919193","6261510.6837499999","0","42148.2081693","3207860.0818635002","491573.51587","0","2716286.5659934999"
2009-03-01,"14840806.77166","20697661.50166291","4638598.7560635097","16059062.745599398","-19300.886771899997","0","-19300.886771899997","341016.2742094","76512.297407299993","512740.22066164087","133.84588579999999","133.84588579999999","0","8845798.1471582018","23115019.386700999","12328273.191150798","7236637.2292900011","1075685.5850502965","3899958.2658945005","115992.11091599998","1142223.0874232","1141879.62283","0","343.46459319999997","6452894.0471526003","6409037.2278900007","0","43856.819262599995","3191629.0609744","466028.15660000005","0","2725600.9043744002"
2009-04-01,"14840585.365319999","19752123.826433826","4107806.7683289852","15644317.058104841","-2777.3622465999983","0","-2777.3622465999983","340506.3529848","76643.9009047","292283.784869647","133.84588579999999","133.84588579999999","0","8709098.8617077991","24234468.87614616","15250470.21226416","7963427.6645499989","1163080.2479536652","6007961.7097000973","116000.59006039999","1150205.8756432","1149862.41105","0","343.46459319999997","6450785.1159915002","6390908.55767","0","59876.558321499993","1383007.6722472999","372632.46386999998","0","1010375.2083773001"
