"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2007-05-01,"3840.7666007100001","3855.3520695900002","14.585468880000001","939.97400000000005","944.29300000000001","4.319","68.014560950000003","68.014560950000003",,,,,,,,,,,,,
2007-06-01,"3890.7383202599999","3887.8524925099996","-2.8866946869683163","921.62099999999998","926.53","4.9089999999999998","74.686677380000006","74.686677380000006",,,,,,,,,,,,,
2007-07-01,"4113.5587294699999","4115.3057201399997","1.74699067","902.01021411904787","907.08802821642382","5.07781409737599","74.684803639999998","74.684803639999998",,,,,,,,,,,,,
2007-08-01,"4383.7122503000001","4380.6787917299998","-3.0334585700000001","818.5940379728479","826.19105530358718","7.5970173307393001","74.677264899999997","74.677264899999997",,,,,,,,,,,,,
2007-09-01,"4742.53960577","4741.86579824","-0.67380753000000004","730.49795004548105","737.91261786260168","7.4146678171206197","81.87579968","81.87579968",,,,,,,,,,,,,
2007-10-01,"4916.9815784799994","4917.4777114899998","0.49613300999999999","725.50728970394164","737.14775534800947","11.640465644067801","81.876547209999998","81.876547209999998",,,,,,,,,,,,,
2007-11-01,"5078.7891158899993","5078.8710871899993","8.1971299999999997E-2","712.48622200055604","720.93939227971725","8.4531702791612098","81.868058889999986","81.868058889999986",,,,,,,,,,,,,
2007-12-01,"5319.23952087","5318.5200543999999","-0.71946646999999997","766.79690084330764","782.89082404542125","16.093923202113601","81.868058889999986","81.868058889999986",,,,,,,,,,,"6167.9044806033071","6183.2789373354208","15.3744567321136"
2008-01-01,"5622.2423497","5622.4683261600003","0.22597645999999999","704.58836899253185","715.6867206459184","11.0983516533865","79.507917280000001","79.507917280000001",,,,,,,,,,,,,
2008-02-01,"5993.9779687","5993.3387951799996","-0.63917352000000005","732.32944036070523","742.80267146217386","10.473231101468601","79.497211680000007","79.497211680000007",,,,,,,,,,,,,
