"MES","AMFE01","AMFE02","AMFE03","AMFE04","AMFE05","AMFE06","AMFE07","AMFE08","AMFE09","AMFE10","AMFE11","AMFE12","AMFE13"
2005-10-01,"19188800.084157296","40682241.69656989","10539107.922914622","30143133.773655266","59871041.780727185","7536448.3471590793","3080156.9448299995","11248752.643306406","2411201.7825920871","24276559.717887573","35594482.062839612","24882364.33307961","10712117.729760002"
2005-11-01,"20315064.812777299","40559805.331639536","10407376.754554272","30152428.577085264","60874870.144416839","7540876.6981830327","3234092.16022","11635133.132080536","2148622.4336536536","24558724.42413722","36316145.720279619","24648194.316009611","11667951.404270008"
2005-12-01,"20301972.63945286","41126804.86311847","10877813.923749221","30248990.939369246","61428777.502571329","7673973.2471296573","3259021.1729400004","11893757.132910535","2400136.5284615238","25226888.081441715","36201889.421129614","24718556.232829615","11483333.188299999"
2006-01-01,"21109661.467742849","38565848.508940764","8325673.6340415273","30240174.874899238","59675509.976683617","8242524.7961646561","3277173.4428400001","12312742.220670534","966793.28451881791","24799233.744194012","34876276.232489601","23918100.767809611","10958175.46467999"
2006-02-01,"21762003.625651397","38395373.798973776","8239440.3447656501","30155933.454208124","60157377.424625173","8647987.9169060346","3260760.1362774004","12042351.813829843","1070327.3312205798","25021427.198233854","35135950.226391315","24065542.464681312","11070407.761710003"
2006-03-01,"22952185.823125992","38264979.307662562","8055257.3912500236","30209721.916412536","61217165.13078855","9422116.1199449934","3204051.3548238003","12178862.219066659","1233657.9634083803","26038687.657243833","35178477.473544717","24387252.066684712","10791225.406860005"
2006-04-01,"24022365.681854241","38542900.774248704","8104445.4614273766","30438455.312821325","62565266.456102945","10333474.437430993","3281975.3698511999","12664960.739999641","721667.84042469598","27002078.387706526","35563188.068396419","24515905.64128641","11047282.427110009"
2006-05-01,"24847181.256645057","38914253.134365976","8182582.0906870421","30731671.043678936","63761434.391011029","11149690.820313986","3246201.0650028","12977622.477488445","795005.99086938892","28168520.35367462","35592914.037336409","24469526.730426416","11123387.306909993"
2006-06-01,"25150507.350946266","39066763.264508031","8324130.4919686848","30742632.772539344","64217270.615454301","11588919.884967608","3255356.3897895999","12699240.149972444","567572.62173822522","28111089.046467878","36106181.568986423","24670234.561806414","11435947.007180009"
2006-07-01,"26649460.318646595","39354215.023761541","8260035.9376347978","31094179.086126741","66003675.342408136","12501430.514717085","3238345.5070552002","13104943.84853364","476577.81072579185","29321297.681031719","36682377.661376417","24715265.812096413","11967111.849280003"
2006-08-01,"27881876.245582949","39486717.530164845","8253238.4964794079","31233479.033685438","67368593.775747791","13045334.811240148","3198943.5208739997","13098617.128577953","451002.53025757847","29793897.990949679","37574695.784798115","25329602.526878115","12245093.257920001"
2006-09-01,"29035487.444149449","39674112.232312664","8222114.1851442922","31451998.04716837","68709599.676462114","13911307.334737217","3180723.5732324999","13127869.867601952","208992.33941232972","30428893.114983998","38280706.561478116","25699907.750728115","12580798.81075"
2006-10-01,"30004182.26597295","39797974.918876685","8241928.3112598211","31556046.607616864","69802157.184849635","14266702.481449801","3211647.4398125","12969577.200427454","630063.78141176328","31077990.903101519","38724166.281748116","25889024.076208115","12835142.205540001"
2006-11-01,"31575661.581690948","40053561.396473251","8308602.4145563897","31744958.981916863","71629222.978164196","14105793.758226657","3185209.3405229999","13375367.790940454","714302.60618597921","31380673.495876089","40248549.482288107","26654657.833918117","13593891.64836999"
2006-12-01,"32347842.555158753","40417383.801502481","8455630.4331621099","31961753.368340369","72765226.35666123","12687279.96955891","3332380.4050731994","13490964.560115868","658612.905791739","30169237.840539716","42595988.516121514","27704944.544031516","14891043.972089998"
2007-01-01,"33685634.02474016","40216230.018734418","8524127.0817905497","31692102.93694387","73901864.043474585","13644067.699738078","3376231.1700384002","13691055.706495589","419585.90297759697","31130940.479249667","42770923.564224914","28081596.134944916","14689327.429279998"
2007-02-01,"34990012.136190072","40344929.946798772","8554705.7687613443","31790224.178037424","75334942.082988843","14129011.834203484","3347050.9826221005","13734458.113486111","569066.78524882486","31779587.715560518","43555354.367428325","28606311.689758319","14949042.677670006"
2007-03-01,"36289235.723634377","40310526.301308393","8173967.511715807","32136558.789592583","76599762.024942771","14743013.9939369","3336721.5869083004","13459667.397965305","444516.39915394317","31983919.377964448","44615842.646978319","29242628.285578318","15373214.361400001"
