"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2000-07-01,"955.3","4044.2","4999.5","218.1","42.2","372.1","12932.9","39.188000000000002","7491.6","6416.7","29.861000000000001","551.39400000000001","33093.542999999998"
2000-08-01,"766","4815","5581","152","113","460","16962","32.802","7057","9632","1.94","598.09799999999996","40589.839999999997"
2000-09-01,"958","5082","6040","49","91","264","17150","13.215","5144","6465","22.905000000000001","627.94899999999996","35867.068999999996"
2000-10-01,"1302","5153","6455","249","208","344","14245","91.641000000000005","5257","7075","0.04","611.83000000000004","34537.511000000006"
2000-11-01,"1051","6181","7232","116.3","134","686.7","13077","11.96","5885","7110","2.5499999999999998","656.39","34909.9"
2000-12-01,"1020","5774","6794","139.19999999999999","85","254.8","14397","32.180999999999997","4884","6149","17.274000000000001","578.86","33332.315000000002"
2001-01-01,"655.7","5251","5906.7","228","68","333","10306",,"4934","8296","3","391","30465.7"
2001-02-01,"883","4500","5383","329.3","121","249.04","8894",,"3262","4210","22.96","359","22830.3"
2001-03-01,"621.70000000000005","5930","6551.7","277","185","356","11323",,"6082","6947",,"415","32136.7"
2001-04-01,"695","6195.9","6890.9","379.5","44","104.1","9307","9.7769999999999992","3257.6","6210.9","41.76","632","26877.536999999993"
2001-05-01,"636.29999999999995","5021.2","5657.5","276.8","94","470.74","7822.7",,"4529.3","8657.2999999999993","25.98","433.40000000000003","27967.72"
2001-06-01,"520.9","3362.5","3883.4","358.9","189.7","277.09999999999997","7209.4",,"2907.9","6951","10","1170.8","22958.2"
2001-07-01,"650.20000000000005","4084","4734.2","264.8","152.5","335.59999999999997","11348.3","14.534000000000001","3691.5","4730.8","40.86","889.9","26202.994000000002"
2001-08-01,"255","2193","2448","470","92","358","10886",,"4549.1000000000004","6033","26.96","704.8","25567.859999999997"
2001-09-01,"162","3582","3744","251","179","486","15449",,"7771","8664","37.96","703","37284.959999999999"
2001-10-01,"38","3522","3560","293","208","518","7938",,"4377","8847","5","627","26373"
2001-11-01,"43","3910","3953","575","203","160","10888","4.657","4577","10966",,"473","31799.656999999999"
2001-12-01,,"3253","3253","321","254","400","9250","6.0720000000000001","2805.1","5647","48","2085","24069.171999999999"
2002-01-01,"236.4","4167.8999999999996","4404.2999999999993","332","131.4","479.5","9269.6","16.8","6395.63","5459.5","25.8","718.08","27232.61"
2002-02-01,"314.3","4605","4919.3","90.1","117.9","105.85","6115.49","14.8","2752.973","6239.5","82.9","684.26700000000005","21123.08"
2002-03-01,"351.6","4403.5","4755.1000000000004","71.900000000000006","68.900000000000006","139.97999999999999","5527.3","7.5","3540.4","8516.9","16.3","637.04999999999995","23281.329999999998"
2002-04-01,"82.5","4526.6000000000004","4609.1000000000004","131","136.5","758.24","12519.2","17.100000000000001","6232.3","7009.1","9.8000000000000007","1570.37","32992.71"
2002-05-01,"698.1","3362.4","4060.5","171.3","149.15","199.9","11070.4","8.3000000000000007","4606.5","9186.7999999999993","57.7","667.47","30178.02"
2002-06-01,"1467.1","3063.5","4530.6000000000004","83.3","78.7","492.2","11516.24","19.399999999999999","7227.14","7969.8","20","943.68","32881.06"
2002-07-01,"997.7","6384.3","7382","157.1","105.96","263.14","6236.97","24.5","4074.9","6904.3","78.400000000000006","626.42999999999995","25853.700000000004"
2002-08-01,"1045","2414.3000000000002","3459.3","44.7","57.99","696.2","10973.6","17.399999999999999","7279.5","9258.4","32.799999999999997","597.27","32417.160000000003"
2002-09-01,"1017.2","3704","4721.2","81.900000000000006","117.69","436.03","9095.9","17.2","6960","7554","1.2","1067.6400000000001","30052.76"
2002-10-01,"1400.6","4301.2","5701.7999999999993","209.8","441.66","370.65","10039.969999999999","21.8","7399.2","7640.2","96.3","1044.29","32965.67"
2002-11-01,"541.5","3208.8","3750.3","40.299999999999997","1058.03","269.36","8885.1","25.9","6343.14","6637.4","8.4","825.89","27843.82"
2002-12-01,"1142.3","4359.8","5502.1","164.3","815.28","193.74","10683.92","13.7","5660.2","7275.7","44.4","462.68","30816.020000000004"
2003-01-01,"1146.1400000000001","3819.45","4965.59","171.679","532.06939999999997","436.779","7684.9539999999997","23.869","6485.3370000000004","7722.53","39.12697","747.25262999999995","28809.187000000002"
2003-02-01,"432.14","5173.2700000000004","5605.4100000000008","162.09399999999999","524.66459999999995","508.94499999999999","12468.516","21.158000000000001","8537.5730000000003","6953.3","54.019930000000002","678.79447000000005","35514.475000000006"
2003-03-01,"1165.8699999999999","5028.84","6194.71","100.994","526.43039999999996","187.71199999999999","4734.6090000000004","21.492999999999999","3964.643","6214.52","75.213489999999993","263.64810999999997","22283.972999999998"
2003-04-01,"978.28","5981.94","6960.2199999999993","193.15799999999999","192.61199999999999","418.392","16393.985000000001","17.957999999999998","7588.277","6309.97","17.232220000000002","306.55678","38398.360999999997"
2003-05-01,"942.02","5290.09","6232.1100000000006","212.42","840.93899999999996","300.13600000000002","8910.5789999999997","39.676000000000002","5742.5039999999999","7364.78","47.891829999999999","688.49017000000003","30379.526000000002"
