"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2003-06-01,"1229.02","5042.46","6271.48","164.559","488.02640000000002","606.76499999999999","9536.7240000000002","16.483000000000001","7988.058","6368.6","32.216320000000003","565.19028000000003","32038.102000000003"
2003-07-01,"1295.72","4859.12","6154.84","160.845","473.26100000000002","268.95299999999997","10060.420400000001","21.292000000000002","5889.0972000000002","6998.39","116.88431","686.80408999999997","30830.787000000004"
2003-08-01,"1353.69","6039.01","7392.7000000000007","270.67500000000001","688.53700000000003","253.38900000000001","6494.2640000000001","18.649999999999999","4678.9650000000001","6187.59","150.22049000000001","946.83451000000002","27081.825000000001"
2003-09-01,"1037.1500000000001","5133.8100000000004","6170.9600000000009","160.91200000000001","96.438999999999993","124.1631","6084.875","19.803000000000001","4119.2930999999999","7217.62","264.83659","1135.04421","25393.946"
2003-10-01,"1400.894","4733.67","6134.5640000000003","63.530999999999999","533.38800000000003","204.5575","11647.419","26.709","4754.4675999999999","5129.4970000000003","210.11002999999999","920.32286999999997","29624.565999999999"
2003-11-01,"2343.6889999999999","3886.3429999999998","6230.0319999999992","271.60599999999999","806.85260000000005","610.07389999999998","14545.4735","33.387","7524.2906999999996","2576.5619999999999","307.46962000000002","1616.41868","34522.166000000005"
2003-12-01,"2014.6410000000001","2959","4973.6409999999996","215.97200000000001","643.11","401.57900000000001","15618.3228","25.718","8584.2142999999996","2798.1149999999998","120.65600000000001","1055.8639000000001","34437.191999999995"
2004-01-01,"3021.2","9646.2000000000007","12667.400000000001","269.8","599.79999999999995","1709.7","10298.9","10.7","12321.1","2969.9","514.38","566.1","41927.78"
2004-02-01,"2103","7158.9","9261.9","61.1","751.3","291.60000000000002","13540.2",,"5341.7","2698.1","37.909999999999997","474.3","32458.109999999997"
2004-03-01,"3035.9","11825.9","14861.8","274","789.3","512.79999999999995","14375.2","17","7401.7","2712.2","195.57","287.02999999999997","41426.599999999991"
2004-04-01,"2128.6999999999998","9665.2999999999993","11794","174.2","888.4","555.29999999999995","14635.8","26.8","6270.4","2915.6","56.9","802.18","38119.579999999994"
2004-05-01,"3265.7","9734.2999999999993","13000","257","889","1349.3","10094.4","48.9","11767.1","2917.7","4.3600000000000003","736.69","41064.449999999997"
2004-06-01,"2556.8000000000002","9877.6","12434.400000000001","144.1","830.4","598.29999999999995","11236.7","31.1","4861.6000000000004","3152.5","213.24","2013.14","35515.479999999996"
2004-07-01,"1787.4","8386.9","10174.299999999999","219.6","641.79999999999995","733.4","11964.6","20.100000000000001","6936.8","2731.5","102.54","1003.32","34527.959999999992"
2004-08-01,"3829.4","8855.1","12684.5","219.1","883.2","660.6","12676.4","16.100000000000001","5986.4","2882.8","226.38","852.6","37088.080000000002"
2004-09-01,"2562.9","7032.8","9595.7000000000007","158.9","694.3","934.8","10457.799999999999","47.7","6993.1","1778.6","232.99","1093.44","31987.33"
2004-10-01,"2496","9786.2000000000007","12282.2","298.2","442.3","340.6","9606.7999999999993","36.4","5249.2","2876.5","215.62","720.74","32068.560000000001"
2004-11-01,"1885.1","13385.8","15270.9","79.7","1114.0999999999999","704.6","15563","44.5","7841.9","1919.2","135.52000000000001","1070","43743.42"
2004-12-01,"2069.6999999999998","9255.1","11324.8","398.5","722.1","921.6","17193.599999999999","55.1","10253.1","4137.6000000000004","114.27","723.71","45844.37999999999"
2005-01-01,"1846.0329999999999","7721.6639999999998","9567.6970000000001","327.20375999999999","980.07334000000003","431.93799999999999","14767.58498","10.791","5787.9829299999992","4002.46414","189.49199999999999","209.88038999999844","36275.107539999997"
2005-02-01,"1871.20776","7557.64725","9428.8550099999993","82.015360000000001","1135.5261","410.57670999999999","12298.6006","10.234299999999999","5351.9450800000004","2453.3056900000001","62.132170000000002","302.15406000000075","31535.345080000003"
2005-03-01,"2472.7996499999999","10466.242550000001","12939.0422","288.18295999999998","1495.9196099999999","1092.6943799999999","17369.88175","1.87775","11026.101199999999","5034.0660600000001","69.620140000000006","983.28854000000865","50300.674590000002"
2005-04-01,"2440.2579999999998","9876.6225099999992","12316.880509999999","291.50598000000002","845.7296","646.19799999999998","19479.514050000002","2.9211","6331.0604900000008","4091.7436000000002","110.29886","1110.5052699999942","45226.357459999999"
2005-05-01,"2675.2167400000003","10740.666740000001","13415.88348","347.87601999999998","1020.1023899999999","1048.62563","16923.472720000002","10.541880000000001","9447.4317600000013","2833.7015099999999","129.18337","610.89715999999316","45787.715919999995"
2005-06-01,"1536.29404","11264.99221","12801.286250000001","441.55689999999998","1089.2390600000001","758.29651000000001","12636.2863","12.78459","5781.6210799999999","5276.9053000000004","41.632390000000001","1478.1482199999955","40317.756599999993"
2005-07-01,"2086.2942600000001","8869.6180499999991","10955.91231","690.58339999999998","1316.4478899999999","1365.51792","17107.189850000002","1.87785","9598.6782700000003","3206.73216","45.590339999999998","728.26601000000664","45016.796000000009"
2005-08-01,"2383.1098499999998","7826.9243399999996","10210.034189999998","1215.7759900000001","1873.7410499999999","723.26038000000005","16322.584299999999","3.7557","7071.4718799999991","8847.2055299999993","99.822949999999992","1055.6238599999924","47423.275829999991"
2005-09-01,"2086.0491700000002","7193.4952499999999","9279.5444200000002","927.02739999999994","2717.7794799999997","1153.6120000000001","18484.42398","23.049600000000002","8746.9485700000005","9204.90416","125.66158","1318.454310000001","51981.405500000001"
2005-10-01,"1466.3915500000001","8112.8573800000013","9579.2489300000016","891.95730000000003","2560.0163600000001","1503.18067","17644.896239999998",,"8308.741109999999","8677.7426199999991","47.28613","837.59875000000466","50050.668109999999"
2005-11-01,"1554.2192000000002","4582.9846699999998","6137.2038700000003","1192.0472600000001","1827.857","1106.1757399999999","16253.293899999999","5.6335499999999996","7985.92587","10300.56977","206.67662999999999","1079.629729999986","46095.013319999991"
2005-12-01,"1436.7584499999998","6829.20226","8265.9607099999994","731.76441","1073.576","511.99890000000005","20859.817920000001","47.454920000000001","6923.2362700000003","13843.601000000001","155.28979999999999","1880.2420000000056","54292.941930000008"
2006-01-01,"2176.88382","8573.4712600000003","10750.355080000001","1082.9468000000002","2431.5999200000001","1271.94469","23694.926890000002","24.268380000000001","12239.455940000002","12141.435009999999","164.48159000000001","550.81110000000001","64352.22540000001"
2006-02-01,"1670.46369","6395.7568899999997","8066.2205799999992","776.47656999999992","2130.0485100000001","1045.28927","24565.08625","20.22786","11531.891130000002","11610.5921","174.88238000000001","451.97944999999999","60372.694100000008"
2006-03-01,"2048.1601599999999","8953.8377899999996","11001.997949999999","1311.1135400000001","731.22279000000003","648.98514","36145.854159999995","182.91189000000003","12508.448540000001","12500.19687","143.93916999999999","563.05925000000002","75737.729300000006"
2006-04-01,"2095.45676","9691.0519999999997","11786.508760000001","1992.9304","2635.2525000000001","972.16339000000005","42800.912619999996","150.9091","16397.42901","11352.997539999998","154.32378","434.60691999999995","88678.034020000006"
2006-05-01,"1867.06095","11547.433000000001","13414.49395","1119.5991999999999","2835.7248099999997","2228.6924199999999","49359.644690000001","27.915749999999999","20504.581879999998","12287.642529999999","24.475000000000001","792.83212000000003","102595.60235000002"
