"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2001-09-01,"1663811","29620","1633940","251",,"1325081","386","1324695","0",,"5357.1","0","4450.4920000000002","906.495","145637","9471","25822","110344","10195","10061","134","246786","259017"
2001-10-01,"1696391","29000","1667138","253",,"1351520","426","1351094","0",,"5518.2889999999998","0","4603.0929999999998","915.08299999999997","146260","9534","26522","110204","2953","2791","162","252167","263574"
2001-11-01,"1705539","29614","1675660","265",,"1365694","434","1365260","0",,"5040.148000000001","0","4556.7430000000004","483.29199999999997","147341","9548","26934","110859","5445","5291","154","256752","263954"
2001-12-01,"1767171","30775","1736086","310",,"1364952","479","1364473","0",,"4735.8209999999999","0","4570.4579999999996","165.25","211216","8751","27086","175379","5739","5609","130","288403","232139"
2002-01-01,"1809963","27864","1781847","252",,"1390624","470","1390154","0",,"4439.0600000000004","0","4271.7560000000003","167.191","227778","8795","42203","176780","2876","2422","454","290303","239924"
2002-02-01,"1858330","27065","1830939","326",,"1380738","465","1380273","0",,"4146.9830000000002","0","3977.9810000000002","168.88900000000001","227702","8847","43084","175771","2891","2769","122","279533","248585"
2002-03-01,"1886597","25535","1860767","295",,"1356500","466","1356034","0",,"4372.9250000000002","0","4202.7089999999998","170.10300000000001","221261","8451","43037","169773","3304","3211","93","295913","252195"
2002-04-01,"1905549","24150","1881144","255",,"1322576","444","1322132","0",,"4322.777","0","4151.8329999999996","170.83099999999999","222390","8102","47903","166385","5490","5385","105","306152","252314"
2002-05-01,"1919621","25905","1893473","243",,"1292861","446","1292415","0",,"4605.2220000000007","0","4433.55","171.559","201982","7989","38625","155368","2666","2574","92","311355","256718"
2002-06-01,"1855433","26478","1828675","280",,"1251117","430","1250687","0",,"4638.9890000000005","0","4465.3760000000002","173.5","234095","43625","32990","157480","2284","2190","94","314002","263753"
2002-07-01,"1342054","29053","1312779","222",,"1026634","375","1026259","0",,"4796.7930000000006","0","4621.482","175.19800000000001","467307","281523","27966","157818","2424","2314","110","320804","260916"
2002-08-01,"1384348","25244","1358917","187",,"1030158","383","1029775","0",,"4704.5560000000005","0","4527.7889999999998","176.654","341829","161550","26989","153290","2329","2247","82","327293","265436"
2002-09-01,"1486626","27131","1459251","244",,"1086258","370","1085888","0",,"4598.2340000000004","0","4420.2529999999997","177.86799999999999","187735","6178","27117","154440","3829","3742","87","367346","254109"
2002-10-01,"1531199","25828","1505099","272",,"1129543","371","1129172","0",,"4601.0620000000008","0","4421.8680000000004","179.08099999999999","209413","27016","26714","155683","3053","2978","75","376559","256765"
2002-11-01,"1584110","29099","1554790","221",,"1175118","370","1174748","0",,"4573.9059999999999","0","4393.5889999999999","180.20400000000001","191526","4877","27142","159507","2953","2873","80","373815","261456"
2002-12-01,"1708593","30191","1678188","214",,"1188554","373","1188181","0",,"4094.7129999999997","0","3913.0920000000001","181.50800000000001","190578","4878","26163","159537","4287","4208","79","370745","264516"
2003-01-01,"1767982","32211","1735544","227",,"1241100","376","1240724","0",,"4115.2109999999993","0","3932.377","182.721","194130","4854","28883","160393","2469","2379","90","381007","269653"
2003-02-01,"1628023","32698","1595094","231",,"1222234","355","1221879","0",,"4115.6480000000001","0","3932.3290000000002","183.20599999999999","235712","48494","27077","160141","2372","2290","82","381090","275990"
2003-03-01,"1669725","31502","1637980","243",,"1243668","390","1242672","606",,"4139.9119999999994","0","3955.8649999999998","183.934","187398","4681","28453","154264","2983","2898","85","386239","279969"
2003-04-01,"1732763","37374","1695166","223",,"1264234","373","1263254","607",,"4036.6719999999996","0","3852.3829999999998","184.17599999999999","189833","4590","31878","153365","7086","7017","69","394334","282786"
2003-05-01,"1787508","43754","1743549","205",,"1280220","420","1279191","609",,"4019.2459999999996","0","3834.471","184.66200000000001","182119","1182","29667","151270","5482","5418","64","397773","293262"
2003-06-01,"1840895","47885","1792827","183",,"1294373","427","1293335","611",,"3616.1619999999998","0","3430.6590000000001","185.39","181237","1119","30059","150059","2275","2188","87","396805","298356"
2003-07-01,"1900996","53515","1847393","88",,"1303617","524","1302479","614",,"3810.6019999999999","0","3624.3710000000001","186.11799999999999","180615","1019","30711","148885","2463","2372","91","400154","303873"
2003-08-01,"1912736","29408","1883239","89",,"1328152","526","1327008","618",,"3728.7739999999999","0","3541.5729999999999","187.08799999999999","174811","892","28882","145037","3116","3018","98","410492","309111"
2003-09-01,"1932059","29118","1902872","69",,"1323846","618","1322610","618",,"3619.9539999999997","0","3432.2669999999998","187.57400000000001","170094","702","26482","142910","2508","2409","99","412845","320966"
2003-10-01,"1898149","33698","1864383","68",,"1291341","614","1290107","620",,"3577.2240000000002","0","3389.0520000000001","188.059","184574","16901","26358","141315","4835","4742","93","421103","325086"
