"MES","AMOL01","AMOL02","AMOL03","AMOL04","AMOL05","AMOL06","AMOL07","AMOL08","AMOL09","AMOL10","AMOL11"
2002-08-01,"9926791.4970031995","1233895.277","8692896.2200031988","4097645.8573040003","-834048.43800000008","-122836.242","-487574.63899999997","2653186.5383040002","28642845","-13849092.899304334","26139834.85900287"
2002-09-01,"10580115.899","1178904.25","9401211.6490000002","4363163.6638940005","-853268.01800000004","-139266.913","-478494.82199999999","2892133.910894","28668529","-13886823.130829304","27075051.429064691"
2002-10-01,"10771596.800999999","1045914.1040000001","9725682.6969999988","4628469.4304839987","-881029.20399999991","-135583.64000000001","-470392.11300000001","3141464.4734839988","28796667","-13838595.005160861","27825219.165323138"
2002-11-01,"10748449.868999999","979185.01600000006","9769264.8529999983","4894939.7090739999","-935310.12899999996","-137608.87599999999","-229729.95599999998","3592290.7480740002","28966733","-13952649.408560321","28375639.192513674"
2002-12-01,"11688768.699000001","1017198.1129999999","10671570.586000001","5388184.929663999","-898438.47500000009","-108263.37400000001","-160618.285","4220864.7956639994","28957116","-13878560.929959796","29970990.451704204"
2003-01-01,"11597058.814999999","695742.24300000002","10901316.571999999","5617395.712253999","-926400.26300000004","-122593.87400000001","-163821.52899999998","4404580.0462539988","28848764","-14083333.111609153","30071327.506644845"
2003-02-01,"10386108.151000001","696350.44100000011","9689757.7100000009","5849921.74309","-942394.00100000005","-128109.163","-144903.94899999999","4634514.6300900001","28640507","-14150058.877262037","28814720.462827962"
2003-03-01,"10333179.197000001","680202.77300000004","9652976.4240000006","5985439.4008439984","-1015340.778","-148125.26500000001","-141389.68299999999","4680583.6748439986","28864704","-14305355.481297513","28892908.617546484"
2003-04-01,"11157780.873","1072309.4870000002","10085471.386","5659447.8707619999","-1044074.002","-144703.55499999999","-135123.06899999999","4335547.2447619997","28902592","-14088208.289976005","29235402.340785991"
2003-05-01,"11111300.215","1073691.0530000001","10037609.162","6208419.122597998","-1143977.5819999999","-144441.32700000002","-144887.35699999999","4775112.8565979982","29260071","-14191536.478332996","29881256.540265001"
2003-06-01,"11868317.857999999","1012596.889","10855720.968999999","5870134.6043520011","-1125629.5385836002","-167827.40600000002","-147391.785","4429285.8747684006","29139954","-14126107.867671279","30298852.976097122"
2003-07-01,"12311049.892000001","1063748.473","11247301.419000002","6238845.6969868001","-1094392.0554132999","-152049.52800000002","-143323.47199999998","4849080.6415734999","29261762","-14500915.572940655","30857228.487632848"
2003-08-01,"12363496.254000001","971802.18700000015","11391694.067","6577137.1407779995","-1122187.2209999999","-176107.52499999999","-137440.91","5141401.4847779991","29365218","-14696760.919793326","31201552.631984677"
2003-09-01,"12972318.347000001","1005961.851","11966356.496000001","6271191.4806139981","-1146842.253","-191044.14499999999","-138678.93399999998","4794626.1486139987","29369851","-14495701.9570521","31635131.687561896"
2003-10-01,"11658899.142999999","1111898.0819999999","10547001.060999999","6436306.6212168988","-1204263.612","-174127.236","-130453.37800000001","4927462.3952168999","29486481.990940001","-14722160.409107132","30238785.038049765"
2003-11-01,"11860411.083999999","1090980.0649999999","10769431.018999999","6418445.9792860001","-1312201.388","-168277.02800000002","-127062.197","4810905.3662860002","29571244.184308793","-14599529.108461555","30552051.461133238"
2003-12-01,"13444175.326000001","1190429.4249999998","12253745.901000001","6094008.8158759996","-1194276.0460000001","-185454.73300000001","-119364.996","4594913.0408759993","29616978","-14633857.617324781","31831779.324551221"
2004-01-01,"12648281.470000001","1063722.5959999999","11584558.874000002","6424793.4063576013","-1260087.987","-188506.99","-111830.868","4864367.5613576015","29258495.687010556","-14396734.979749337","31310687.14261882"
2004-02-01,"12084267.722999999","1060640.9779999999","11023626.744999999","6658291.4167100014","-1291744.9129999999","-213783.946","-119785.28200000001","5032977.2757100016","29168159.01436951","-14586093.647703392","30638669.387376115"
2004-03-01,"12556358.59","1083555.2050000001","11472803.385","6338390.8333839988","-1380889.4890000001","-242161.87400000001","-120229.80899999999","4595109.6613839986","29223380","-15065159.637619182","30226133.408764817"
2004-04-01,"11431728.231000001","1018863.9820000001","10412864.249","6419555.8063020008","-1393308.602","-261928.079","-121628.254","4642690.8713020012","29380349","-14927028.66107429","29508875.459227711"
2004-05-01,"12104235.282000002","1029055.385","11075179.897000002","6466938.6612199983","-1497462.845","-334234.45400000003","-165386.55799999999","4469854.8042199984","29301612","-14901609.774529384","29945036.926690616"
2004-06-01,"11285701.630000001","1212888.4909999999","10072813.139","6372935.3280559992","-1495531.963","-346872.717","-167447.83100000001","4363082.8170559984","29102578","-14465087.140439587","29073386.815616414"
2004-07-01,"11752425.25","1097799.3540000001","10654625.896","6582659.6616373332","-1539734.4279999998","-356196.25","-162373.54500000001","4524355.438637333","28988929.951596446","-14737695.030864466","29430216.255369317"
2004-08-01,"12617576.137","1128172.682","11489403.455","6890129.2048073374","-1651274.618","-360649.11100000003","-164454.04","4713751.4358073371","28964539.594680816","-15125487.411020145","30042207.074468009"
2004-09-01,"13903141.057","1377444.5689999999","12525696.488","6566026.5201888066","-1598011.4809999999","-326972.647","-169675.554","4471366.8381888065","28907387.570708923","-15284887.64950392","30619563.247393813"
2004-10-01,"14156273.578","1370604.598","12785668.98","6704147.5854089092","-1657018.8969999999","-341435.913","-137604.728","4568088.0474089095","28776848","-15054808.5686264","31075796.458782513"
2004-11-01,"14893983.469846491","1441600.4340000001","13452383.03584649","6348185.9826703435","-1642001.9170000001","-355247.82199999999","-146636.908","4204299.3356703436","28821472.184418313","-15152001.772689734","31326152.783245411"
2004-12-01,"15041171.534","1503188.5530000001","13537982.981000001","6748415.9133732114","-1514055.5730000001","-296846.31399999995","-140504.74100000001","4797009.2853732109","29322416.734883253","-14910660.477085255","32746748.524171211"
2005-01-01,"14509893.610609999","1312108.1270600001","13197785.483549999","6913126.4841446467","-1519928.6669999999","-309788.40600000002","-151529.23300000001","4931880.1781446468","29112776.001478404","-15105268.691248935","32137172.971924115"
2005-02-01,"14737572.864107279","1317223.4641938007","13420349.399913479","6942307.7333546812","-1624781.7280559998","-333025.33590359997","-149766.2962446","4834734.3731504818","29097804.581484981","-15085552.875721928","32267335.478827018"
2005-03-01,"14790564.92013127","1255418.1879039998","13535146.73222727","6627968.4221945517","-1738550.7770703998","-355099.35587480001","-98463.112718400007","4435855.1765309526","29283142.438856468","-15217784.034591882","32036360.313022807"
2005-04-01,"15800555.289512072","1317140.4030436","14483414.886468472","6467941.6292033521","-1769625.4126567999","-336139.21541479998","-108599.45722319999","4253577.5439085523","29728201.709567666","-14974874.056361876","33490320.083582811"
2005-05-01,"15834781.768438471","1238995.0802000002","14595786.688238472","6695622.7274393504","-1878062.0575579999","-385261.53774479998","-107571.49351640001","4324727.6386201503","29868189.670188073","-15124971.302573893","33663732.694472805"
2005-06-01,"16173930.177463273","1177395.6972836002","14996534.480179673","6409777.4606300965","-1917381.4527867998","-388201.45936480002","-113112.15028960002","3991082.3981888974","29880049.158593673","-15439304.719006233","33428361.317956008"
2005-07-01,"17035268.701370284","1077332.3050565005","15957936.396313783","6218348.364386973","-2169752.4809394996","-400859.31025799998","-114965.88373750001","3532770.6894519734","29930313.433476206","-15486677.440700855","33934343.0785411"
2005-08-01,"18109641.209900487","1062798.4524862999","17046842.757414188","6537278.9151867144","-2446521.1385697001","-397223.83163679997","-121310.0325549","3572223.9124253145","29897631.894624554","-15841514.74732955","34675183.817134507"
2005-09-01,"18834401.792997696","985631.63652559964","17848770.156472094","6733340.8439283557","-2672230.0027490002","-401292.55389120005","-125123.89528","3534694.3920081556","30044269.490153868","-16590518.733047897","34837215.305586226"
2005-10-01,"20076910.397227295","888110.31306999992","19188800.084157296","6495850.7813455444","-2970846.2816900006","-391676.14912999998","-130668.77476999999","3002659.575755544","30143133.773655266","-16740111.370728493","35594482.062839612"
2005-11-01,"21156089.142177299","841024.3293999997","20315064.812777299","6484130.5891312398","-3097091.7986599994","-398294.76385000005","-122243.97025","2866500.0563712404","30152428.577085264","-17017847.72595419","36316145.720279619"
2005-12-01,"21128690.530032858","826717.89057999989","20301972.63945286","6707364.0590795651","-3092647.1404400002","-306019.35006999999","-104856.89195","3203840.6766195646","30248990.939369246","-17552914.834312059","36201889.421129607"
2006-01-01,"21354016.45600285","244354.98826000001","21109661.467742849","3853394.4080768712","-3283402.9708699998","-365241.73520000005","-121600.86413","83148.837876871286","30240174.874899238","-16556708.948029352","34876276.232489601"
2006-02-01,"21999585.185285699","237581.55963430001","21762003.625651397","3456730.4329412151","-3378024.9079854996","-365556.38104439998","-121696.7160517","-408547.57214038447","30155933.454208124","-16373439.281327823","35135950.226391315"
2006-03-01,"23152355.816096492","200169.9929705","22952185.823125992","2960878.0783935301","-3809858.6757743","-393254.98194319999","-124623.14937099998","-1366858.7286949698","30209721.916412536","-16616571.53729884","35178477.473544717"
2006-04-01,"24284155.081124641","261789.39927039997","24022365.681854241","2465900.9332967838","-4183576.9650563998","-388882.12869759998","-122470.8155464","-2229028.9760036161","30438455.312821325","-16668603.950275537","35563188.068396404"
2006-05-01,"25074508.035858657","227326.77921359998","24847181.256645057","2096146.4863870554","-4510436.1423991993","-426426.26014759997","-126392.8134672","-2967108.7296269438","30731671.043678936","-17018829.533360634","35592914.037336424"
2006-06-01,"25406868.869106665","256361.51816039998","25150507.350946266","2079283.9472274762","-4694937.5272931997","-469149.28526759997","-179986.52766560001","-3264789.3929989235","30742632.772539344","-16522169.16150027","36106181.568986423"
2006-07-01,"26880160.098774996","230699.78012839999","26649460.318646595","1338022.0198213113","-4921232.9213920003","-463804.62953759998","-194379.04597400004","-4241394.5770822894","31094179.086126741","-16819867.166314632","36682377.661376417"
2006-08-01,"28078629.31254695","196753.06696400003","27881876.245582949","1109155.4071397614","-5246084.7896495005","-469267.31925199996","-185899.612999","-4792096.314760739","31233479.033685438","-16748563.179709531","37574695.784798115"
2006-09-01,"29267079.84574645","231592.40159699999","29035487.444149449","1045995.4011080768","-5541202.3941425011","-484007.69709199999","-709978.45946650009","-5689193.1495929249","31451998.04716837","-16517585.780246781","38280706.561478116"
2006-10-01,"30230394.691596951","226212.42562400002","30004182.26597295","1147258.7897850182","-5686921.4852244984","-473396.930162","-1011714.5445885001","-6024774.1701899795","31556046.607616864","-16811288.421651717","38724166.281748116"
2006-11-01,"31735200.192272447","159538.61058149999","31575661.581690948","1186741.4452937339","-5467426.5137134995","-500979.79412199993","-1015526.4811285001","-5797191.3436702657","31744958.981916863","-17274879.737649433","40248549.482288115"
2006-12-01,"32560982.503999252","213139.9488405","32347842.555158753","2240877.5804644013","-4732336.2176937005","-440701.45364079997","-1299489.4455266998","-4231649.5363967987","31961753.368340369","-17481957.870980807","42595988.516121514"
2007-01-01,"33902319.451817863","216685.42707769998","33685634.02474016","1702640.2923943726","-4806587.2362414999","-472199.07390960003","-1543794.6001907999","-5119940.6179475272","31692102.93694387","-17486872.779511586","42770923.564224914"
2007-02-01,"35206230.506654374","216218.37046429998","34990012.136190072","1816501.15477846","-5102096.0549167003","-521320.65926839999","-1767390.5060354997","-5574306.0654421402","31790224.178037424","-17650575.881357037","43555354.367428318"
2007-03-01,"36463743.468556277","174507.74492189998","36289235.723634377","1284727.2217625054","-5304880.4810452992","-538320.37783839996","-2010572.8450998999","-6569046.482221094","32136558.789592583","-17240905.384027548","44615842.646978319"
2007-04-01,"37782470.511976577","168919.54918290002","37613550.962793678","475529.96901442949","-5530401.7791250004","-552365.82307839999","-2277148.7005251003","-7884386.3337140707","32606074.623201165","-17340793.303052451","44994445.949228317"
2007-05-01,"38620727.882233389","160581.47818559999","38460146.404047787","644129.93662626296","-5770723.1168128001","-607970.7295872001","-2344647.0370093002","-8079210.9467830379","33061899.085766561","-16805718.932709597","46637115.610321715"
2007-06-01,"38650513.04109218","23730.42979250001","38626782.611299679","864719.94890204445","-5793587.0804284997","-643936.17689599993","-1530377.7840084997","-7103181.0924309548","33508866.496550396","-16960303.041364003","48072164.974055111"
2007-07-01,"39908579.052893825","56913.733025900001","39851665.319867924","-169896.74800550379","-5797379.5478472002","-659472.7072512001","-1312759.5368695001","-7939508.5399734043","33625764.87161658","-16824388.131162368","48713533.520348735"
2007-08-01,"40968788.188138962","39040.038045299996","40929748.15009366","-13473.20496853441","-6027003.434094999","-685825.31458759995","-723954.58604909992","-7450256.5397002324","33709480.704192221","-17322661.834946711","49866310.479638949"
2007-09-01,"43044744.187401056","55827.032813699996","42988917.154587358","-416539.008308338","-6222732.4719942007","-709750.5556075999","-841356.9605688001","-8190378.9964789394","34233751.629192218","-17913550.671381719","51118739.115918927"
2007-10-01,"44133796.87056753","93087.711676700012","44040709.158890828","-669516.12303721346","-6204325.4929520003","-734248.46739519993","-857471.41172459989","-8465561.4951090124","34495951.708517797","-18054030.436146349","52017068.936153263"
2007-11-01,"44999886.431053944","65123.130249000002","44934763.300804943","-651530.77986261994","-6348873.7716659997","-750825.74832279992","-732768.8953794","-8483999.1952308193","34841524.058264099","-18542256.356116503","52750031.807721719"
2007-12-01,"46187680.349831842","116384.63746209998","46071295.71236974","337706.15877831262","-5703720.5347391004","-670383.00511919998","-642106.52095650008","-6678503.9020364881","34976580.660320774","-19121881.357772127","55247491.112881899"
2008-01-01,"48431304.819628574","85272.190693800003","48346032.628934771","-68568.975699176081","-5778825.881546001","-747160.88820679998","-683359.00251850008","-7277914.7479704777","34826425.375856422","-19806557.83185561","56087985.424965099"
