"MES","STIC01","STIC02","STIC03","STIC04","STIC05","STIC06","STIC07","STIC08","STIC09","STIC10","STIC11","STIC12","STIC13","STIC14","STIC15","STIC16","STIC17","STIC18","STIC19","STIC20","STIC21","STIC22","STIC23","STIC24","STIC25","STIC26"
2007-02-01,"n.d.","109.66116189168039","143.98297813231341","108.33785239274326","119.75351270127217","103.01726425979217","129.93029112285905","117.66153026127044","109.53032429583459","93.577663786829703","99.80699812176843","94.012621633510491","n.d.","83.222408867560077","102.03515293894122","97.404152899693173","91.403560217788581","134.8773964670641","100.47096340318647","113.57883696439538","106.33326113163507","101.18943066925213","122.58619056248936","111.80607817230876","110.61959219699369","109.92598764851847"
2007-03-01,"n.d.","110.08973741186014","149.50116135699346","110.10881488050427","120.1403011784565","103.03192586905064","135.87661381623647","118.00163516124671","110.19975532136193","93.265717006627611","99.995731461299812","94.463988671365215","n.d.","82.983808391929713","102.80464062214868","98.666447708713633","91.775632929543789","135.49748312055465","100.54312220692286","113.30366506724698","106.30477060618662","100.49434420618094","124.02754568600683","110.50642185554621","111.54990488012594","110.83604209692702"
2007-04-01,"n.d.","111.5846665918279","150.55861187727581","115.20203186479905","123.82743007024494","103.57044257497701","139.93011905390338","120.02475265671403","113.47439482680868","93.498440614901739","100.32474704750307","95.323802401727761","n.d.","82.59032762072016","104.1400681876607","99.44363839619362","92.60742563724142","136.86697724389688","101.3988180515432","116.21885760402391","112.08701471690193","103.27709169451002","126.70770772488915","112.35470266762825","115.38572161409139","112.36860833786726"
2007-05-01,"n.d.","111.83395310264628","158.07721552264792","119.5755425804262","124.19757327426204","104.07738983403792","154.85378209835332","120.02376350221672","111.65409351118022","93.021638831793084","99.39503017507468","95.381531851270296","n.d.","80.922742162313554","104.40606441347204","100.128644314599","92.607220178471906","138.22430469343362","101.1823568524668","114.81103476703748","108.31595590776763","101.54630596092085","127.00178168492056","113.67750472751018","113.56125015840711","113.21991193648019"
2007-06-01,"n.d.","110.68584063892241","157.49484942568085","118.41352160863313","123.53730953590288","103.72141388272684","149.65248400406139","119.08678214870027","110.81220451235011","92.28935445597439","98.885994010719926","94.451973851060657","n.d.","78.701291052628164","101.76279855622353","98.669256902547573","91.944493078427683","133.03901701973592","100.72971034349297","115.33968131315727","108.25626777217478","100.47245781343241","126.12188535189195","114.33603924328256","112.81209288171881","112.07906801383398"
2007-07-01,"n.d.","106.10843147451943","156.12196375041006","113.97216529837735","121.51148491932467","101.33266484211451","143.70675163299953","115.65928202641732","107.66990787241666","89.262819325141294","95.904982390613398","90.950061660675544","n.d.","78.328195863063172","98.292940854464149","94.18742852739274","88.95988183914983","129.29705534017148","97.646468177698978","111.77889418503842","105.89109497756587","97.721412310735417","124.0510477037092","110.67333925046428","109.82522642180736","109.18345185091449"
2007-08-01,"n.d.","103.01731002698699","146.21781530264968","112.47073954044512","119.49500854072966","100.46118339711921","127.66651402354614","110.69878965860916","104.79771571395997","87.18718714095273","93.461965796173615","88.60653075527668","n.d.","78.887427694078966","94.89261194833081","91.469989712545171","86.983733099548104","130.59162585148891","95.319533859785707","108.85145632017255","101.33065068234549","95.621686555754067","123.01326155698382","109.17118232731211","107.26144255693472","106.0778882986577"
2007-09-01,"n.d.","103.74623559391384","156.29753073630872","118.78874464945967","123.30795366780835","101.10833261309671","134.73366352123699","114.06984530923324","109.27513899470031","87.63098624133022","93.90883079592821","88.678320094773667","n.d.","79.784423946838174","97.409879440448634","92.79310242572781","87.284646835488473","133.08180108314519","98.243683502466965","109.94527296708758","108.48454208092646","98.425118635280484","125.95206783597985","110.39979365759599","111.77338021610161","108.82265548546748"
2007-10-01,"n.d.","102.72002788123565","161.38029987664254","121.66893164598791","126.25878442315059","100.13892791734142","134.8804753741716","113.54450893525802","109.27003910385099","86.247782266278762","92.957414898904432","87.344703819786886","n.d.","78.227880373004425","97.913214646038966","93.41170618018198","86.250113791535526","141.82019097039014","99.387944889375802","110.15618878006998","108.485493945656","97.959378483868463","130.87494308980374","111.16474045792091","111.935319371383","108.98955734846641"
2007-11-01,"n.d.","101.9598835587675","157.33047688522976","114.97647600362464","122.01253683079962","100.1408308587729","129.32605906941887","109.36714007899761","110.73950855799163","85.297311625953697","92.725497524160957","86.466070328053334","n.d.","80.022576027967517","96.524020690769859","91.066342249242751","85.786945856497653","139.47225214324098","98.223659454082764","108.50304773178259","108.15205117715054","100.41204121944918","128.20387419430628","114.15766222913049","113.26477795363554","108.18103164725258"
2007-12-01,"62.422825524148671","100.48880312683262","155.42534226545743","114.86755847511145","122.46745772142981","100.21551985039272","130.47558563382341","107.06283963922144","108.53386623068572","83.965619388195762","90.86147433125997","85.035698192687647","n.d.","78.013355008752271","96.59247843911642","89.931915064995749","84.797015809914924","138.30442612325302","97.155158543379471","104.25845152018857","105.65950654478316","98.648404047382257","128.46187785898684","116.04295073003077","111.56741752941208","106.83808027653303"
2008-01-01,"60.287158375167671","99.811946323155368","155.32087816453867","110.87602910494115","129.25198743454695","101.50798017629545","135.1300277036402","104.43580121661797","108.31170917558424","84.030599287010986","90.362563835017184","84.101920805837537","n.d.","80.791963258142545","97.557462444076165","89.405907673859986","84.624360886425052","140.05603912019444","97.788532005044772","101.0637197634211","103.72346543813823","100.83034627029357","130.77829984598745","118.07702078738038","110.53463139153857","107.18659891696279"
2008-02-01,"56.524129082028402","96.937078547408689","159.19387325250162","110.44701389987969","129.33112776201077","102.0485215510907","139.90852465155635","102.00643855475457","108.55677375017106","82.305678172006949","88.385269865810983","81.842112682527855","n.d.","79.723687050417666","96.154288345133878","88.076146080968016","82.894749457003371","140.17747086199512","97.250310931892599","98.5387848467319","104.05555575825618","101.03196767928165","128.17800459984358","117.23768181111674","109.83471969141412","106.43268220318252"
2008-03-01,"56.580898962542435","95.747038406893665","150.08013697514895","103.15912216290847","130.63650651875511","100.47649340531375","138.43495366185999","95.617395296117607","110.89235221212289","81.652397798268709","87.095105947153769","80.703047866376821","n.d.","82.073714794283291","93.986512014220139","86.871571815372889","82.012428713639252","145.05840403699031","101.43408170520119","96.865373750589043","106.89687851072335","104.33368047390101","131.05118788209103","117.21240734545033","112.89075073132162","105.30340676147952"
2008-04-01,"53.854943736363332","93.189180737744707","152.4292183410241","103.37410031096273","122.97691290615617","98.801526014390816","141.80693706504223","93.073687883842496","107.26569956323982","81.144493134432977","85.946408722416948","79.480556673425042","n.d.","76.393671384396242","93.440619646386565","86.724891051162231","80.623674760418496","153.14896957847054","95.463739521020926","95.415922327626205","104.22195973199845","98.26904976851597","131.04609092116715","116.54376279717644","109.2688817050867","102.89953245252613"
2008-05-01,"51.805876718637677","92.301952051767145","154.41280114548508","102.86715923961967","115.79838835143936","96.065527514964828","140.57998271999222","88.715760171569642","103.98284921193525","79.51830757670389","84.252725647542718","77.723758501891936","n.d.","73.884066099755756","89.056297773440988","85.525025469961861","78.843568947973779","149.50734198436231","93.244465960740968","92.561498748453658","101.14628252170299","95.425473471674707","129.16213620895351","116.92378604660442","106.1727686940355","100.79651006519539"
