"MES","BPDP01","BPDP02","BPDP03","BPDP04","BPDP05","BPDP06","BPDP07","BPDP08","BPDP09","BPDP10"
2007-12-01,"5423244.1287599998",3834972.0703,1576227.4914,298209.03054,216564.4014,367114.77071,276307.59079,55524.13747,8594.51345,12056758.13482
2008-01-01,"5428068.7381799994",4048429.16164,1567026.2986,298255.97537,215659.51047,382835.39901,273975.70996,56155.40232,8952.16508,12279358.36063
2008-02-01,"5488074.2298599994",4051293.72575,1556199.74276,301146.58492,213894.97924,382493.86,279639.76456,57066.83329,11493.56906,12341303.28944
2008-03-01,"5461439.0588799994",4097354.81171,1527865.40488,302844.17472,223962.77118,377874.65249,271697.42392,52537.5399,7508.28984,12323084.12752
2008-04-01,"5577927.5588799994",4072863.49285,1516983.24426,298735.04228,224579.92812,375558.14362,261493.86581,55434.43051,7277.92111,12390853.62744
2008-05-01,"5498097.2829999998",4081035.75702,1506855.29632,290413.50285,228161.66422,364355.76477,256694.2159,54334.70328,6339.52946,12286287.71682
2008-06-01,"5533412.4700499997",4089335.40843,1484566.81702,292079.29635,216452.28135,360007.25187,254534.79793,52635.30678,4970.48064,12287994.11042
2008-07-01,"5607314.9314799989",4218062.8658,1452850.05114,296661.42474,212580.16857,336107.19035,247073.45282,52540.22979,6271.83238,12429462.14707
2008-08-01,"5614406.58335",4161274.88871,1426516.00678,300134.85675,208554.0078,339559.36469,246992.13665,49743.16539,8272.7865,12355453.79662
2008-09-01,"5889795.1946399994",4277656.83795,1417597.04274,282791.26283,210315.90309,347321.86218,241474.47015,49986.94923,9652.17052,12726591.69333
2008-10-01,"5985374.1914799996",4346961.65082,1400220.82195,279929.06656,211195.62388,343299.36495,237984.31832,57331.98235,7496.11939,12869793.1397
2008-11-01,"6283014.9810199998",4458201.94668,1412327.63067,278448.87173,208177.89587,376129.04002,246275.61416,58795.95883,7978.30018,13329350.23916
2008-12-01,"6342985.2762000002",4528107.00758,1430759.22556,280373.58535,213483.50608,379864.03397,249353.98679,58781.54928,8622.68392,13492330.85473
2009-01-01,"6602935.6777500007",4554919.8829,1515274.03066,281619.29429,225926.95474,392806.3091,265346.88039,56882.38431,8649.92883,13904361.34297
2009-02-01,"6904165.8135299999",4583259.93429,1539986.26245,285134.69535,230565.03538,407075.73567,271183.62236,57568.31347,10831.12642,14289770.53892
2009-03-01,"7281771.1534000002",4838593.96141,1570830.48727,285072.69339,228994.54833,406956.20328,285819.94128,59742.18336,12541.8836,14970323.05532
2009-04-01,"7552070.8887700001",4820642.76795,1595698.39592,288286.74716,223831.04885,418258.77465,282845.98662,60575.00366,14320.47594,15256530.08952
2009-05-01,"7827911.1950299982",4751862.53432,1576140.16127,292799.4334,228183.25508,415813.6801,282026.9356,60595.19796,14143.10494,15449475.4977
2009-06-01,"8188190.1995299999",4822464.97808,1578169.8129,294750.36041,235031.71064,416126.57292,289562.11356,60171.48094,13168.46883,15897635.69781
2009-07-01,"8194585.0494600004",4699037.56788,1568979.45131,288004.35491,234567.71166,420549.58998,282209.8644,60097.15523,11442.59937,15759473.3442
2009-08-01,"8133619.0436900007",4691256.85163,1516229.37745,276014.09877,223169.49347,446940.73648,267646.07635,62316.68024,10702.90564,15627895.26372
2009-09-01,"8238449.4369700011",4803891.14225,1480610.00747,269894.96808,219480.5203,435846.25706,257844.59638,59380.99349,10120.52866,15775518.45066
2009-10-01,"8406486.4644600004",5016542.56004,1511097.46598,259787.8463,202614.80327,409498.10694,250652.97448,63578.99007,10466.50775,16130725.71929
2009-11-01,"8409831.681499999",4810610.7693,1457924.20491,252099.63158,200889.17496,375146.5311,246029.21787,59329.69538,8898.67166,15820759.57826
2009-12-01,"8528773.4628500007",5204879.53688,1435976.8771,244122.27361,184268.76816,368709.79008,256954.69176,57121.73583,9618.07045,16290425.20672
2010-01-01,"8707265.935589999",5172019.21572,1425669.30068,229832.19049,179729.24028,353613.1199,252761.13209,50751.75791,8681.76726,16380323.65992
2010-02-01,"8756062.2329699993",5114839.46916,1419043.82371,228523.3508,175795.23052,338413.41273,244603.02038,38745.31836,9041.182,16325067.04063
2010-03-01,"8686484.3619400002",5033850.34159,1435562.65559,231784.13677,175088.82328,331918.90185,235535.20503,39426.96992,8404.81783,16178056.2138
2010-04-01,"8746882.6816799995",4985645.53702,1415747.36226,243163.52575,174774.75485,323384.74308,227379.07827,37849.66686,7933.52124,16162760.87101
2010-05-01,"9682149.8953499999",4822683.96091,1508238.81312,244457.59204,193122.07099,325536.68511,231120.723,37770.25932,7640.55684,17052720.55668
2010-06-01,"9917080.161009999",4749266.53436,1488081.8787,245495.04399,191350.72414,319822.86916,222851.02209,37358.11159,7367.13712,17178673.48216
2010-07-01,"10091680.239089999",4604586.28956,1461793.99011,253230.09192,192978.48376,307040.19028,217546.81662,35329.03641,7305.06879,17171490.20654
2010-08-01,"10389987.304920003",4476811.93506,1442422.69532,254999.84145,190264.83734,294658.66874,213762.14236,35168.34976,6799.29451,17304875.06946
2010-09-01,"10969478.940810001",4521525.46898,1425650.07139,256213.84597,194555.94927,291016.91391,210382.12536,34828.43816,6637.0811,17910288.83495
2010-10-01,"11061430.530359998",4477304.03154,1421573.88419,248598.14665,190420.89156,272011.12364,207376.57292,34085.84161,6685.04166,17919486.06413
2010-11-01,"11227202.128449999",4565937.46926,1443359.73168,250642.99229,174162.12697,263908.07146,204980.37097,33492.95107,6598.40525,18170284.2474
2010-12-01,"11164667.263160001",4446873.46927,1418908.15488,243378.27094,163093.51015,231866.88515,190096.38167,32650.3437,6485.73789,17898020.01681
2011-01-01,"11124185.099470001",4426018.2419,1359394.2883,236362.8597,157469.78803,209444.73818,178636.09495,31603.55951,6334.7188,17729449.38884
