"MES","BCMP01","BCMP02","BCMP03","BCMP04","BCMP05","BCMP06","BCMP07","BCMP08","BCMP09","BCMP10","BCMP11","BCMP12","BCMP13","BCMP14","BCMP15","BCMP16","BCMP17","BCMP18","BCMP19","BCMP20","BCMP21","BCMP22","BCMP23","BCMP24","BCMP25","BCMP26","BCMP27","BCMP28","BCMP29","BCMP30","BCMP31","BCMP32","BCMP33","BCMP34","BCMP35","BCMP36","BCMP37","BCMP38","BCMP39","BCMP40","BCMP41","BCMP42","BCMP43","BCMP44","BCMP45","BCMP46","BCMP47","BCMP48"
2003-03-01,"2443955.645","5060563.9810000006","1050240.548","4010323.4330000002","0",,"14717355.768076601","4874421.2719999999","320380.18199999997","4554041.09","0",,"9585251.8080000002","55890.417999999998","9237690.1129999999","223142.66099999999","68528.615999999995","257682.6880766","35020.874000000003","221685.14307659998","976.67100000000005",,"4511235.8010000009","3206380.0750000002","1163160.7039999999",,"1792894.621","250324.75","148125.26500000001","147430.39600000001",,"0","694.86900000000003","1015340.778","868300.27500000002",,"147040.503","0","141389.68299999999","64261.000999999997",,"77128.682000000001","0","3002094.8","215543.45800000001","1514642.45","7431572.9679234","8294527.9369999999"
2003-04-01,"2510696.4700000002","5119305.5580000002","964147.50699999998","4155158.051","0",,"14701760.753364302","5033002.193","313648.92099999997","4719353.2719999999","0",,"9468352.2930000015","58672.493999999999","9071236.7290000003","235408.53599999999","103034.534","200406.2673643","40829.300999999999","158599.00736429999","977.95899999999995",,"4893272.068","3569371.443","1493900.399",,"1822954.797","252516.247","144703.55499999999","144007.769",,"0","695.78599999999994","1044074.0009999999","898268.86199999996",,"145805.139","0","135123.06900000002","65577.615000000005",,"69545.453999999998","0","2980252.8250000002","215305.65100000001","1492798.6329999999","7510188.4386357004","8184916.017"
2003-05-01,"2563887.0079999999","5381236.8739999998","1032010.899","4349225.9749999996","0",,"14893883.026939699","5251295.2939999998","327949.62199999997","4923345.6720000003","0",,"9464924.5149999987","96937.077000000005","9033689.7579999994","240531.21299999999","93766.467000000004","177663.21793970003","34791.298000000003","141851.38793970001","1020.532",,"4582086.3310000002","3148780.0640000002","1257513.7819999999",,"1638048.8149999999","253217.467","144441.32700000002","143743.70800000001",,"0","697.61900000000003","1143977.5819999999","954890.71299999999",,"189086.86900000001","0","144887.35800000001","74819.184999999998",,"70068.172999999995","0","3041379.145","220482.86600000001","1507756.541","7404615.4930603001","8426186.2280000001"
2003-06-01,"2658653.878","5503736.8590000002","1138279.7290000001","4365457.13","0",,"15002667.905916402","5347181.8290000008","324042.78100000002","5023139.0480000004","0",,"9453812.529000001","138357.57199999999","8978906.7190000005","230087.78400000001","106460.454","201673.54791640001","41237.25","159416.46691640001","1019.831",,"5108196.2530000005","3667347.523","1236723.5490000001",,"2186904.2560000001","243719.71799999999","167827.40600000002","167127.03700000001",,"0","700.36900000000003","1125629.5390000001","953883.48400000005",,"171746.05499999999","0","147391.785","80961.678",,"66430.107000000004","0","3080104.4130000002","221395.541","1493900.2719999999","7331325.0630836003","8385554.7989999996"
2003-07-01,"2713210.9550000001","5866214.0020000003","1158507.5959999999","4707706.4060000004","0",,"15044672.299596701","5556921.0219999999","369593.32699999999","5187327.6950000003","0",,"9279471.5760000013","147569.04800000001","8862308.2670000009","207102.92800000001","62491.332999999999","208279.7015967","38709.622000000003","168562.07759669999","1008.002",,"4797934.4249999998","3408169.3689999999","1359097.814",,"1804055.719","245015.83600000001","152049.52800000002","151507.85800000001",,"0","541.66999999999996","1094392.0560000001","946909.223",,"147482.83300000001","0","143323.47200000001","101563.357",,"41760.114999999998","0","3157315.4380000001","224947.60800000001","1492398.0389999999","7153705.2184033003","8554060.1359999999"
2003-08-01,"2739069.15","5914756.398","1136367.1810000001","4778389.2170000002","0",,"15071732.786141302","5616787.6940000001","384770.8","5232016.8940000003","0",,"9258946.4080000017","110198.8","8890955.1870000008","202470.84899999999","55321.572","195998.68414129998","36226.974000000002","158758.9811413","1012.729",,"4717886.0619999999","3282150.4130000002","1313036.656",,"1723669.0970000001","245444.66","176107.52499999999","175563.03",,"0","544.495","1122187.2209999999","978155.55900000001",,"144031.66200000001","0","137440.90299999999","99749.43",,"37691.472999999998","0","3158755.5959999999","228776.91899999999","1475692.3678211002","7344924.8478587","8791340.0170000009"
2003-09-01,"2749365.3939999999","6088458.0279999999","1207161.7860000001","4881296.2419999996","0",,"15128015.744561901","5756354.5800000001","354753.571","5401601.0089999996","0",,"9096527.1960000005","85823.438999999998","8798735.3169999998","141422.016","70546.423999999999","275133.96856190002","53583.803","220539.40956190001","1010.756",,"4949182.7170000002","3472617.3849999998","1006546.2560000001",,"2220956.943","245114.18599999999","191044.14499999999","190498.23699999999",,"0","545.90800000000002","1146842.253","989407.70799999998",,"157434.54500000001","0","138678.93400000001","102521.693",,"36157.241000000002","0","3221502.2590000001","229935.723","1487353.6770111001","7348259.0754380999","8883578.568"
2003-10-01,"2882272.6970000002","5471571.9340000004","1182678.723","4288893.2110000001","0",,"14261232.221982501","5414707.6349999998","384291.33600000001","5030416.2989999996","0",,"8633396.4170000013","73750.385999999999","8356694.1749999998","132202.38","70749.475999999995","213128.1699825","42803.245999999999","169310.52898249999","1014.395",,"4665373.5379999997","3156529.3120000004","1179654.4809999999",,"1728636.1","248238.731","174127.236","173579.916",,"0","547.32000000000005","1204263.612","970258.36499999999",,"234005.247","0","130453.378","93811.475000000006",,"36641.902999999998","0","3423510.2009999999","232598.745","1502790.7457274999","7526122.8630175004","8951673.3779999986"
2003-11-01,"2908994.0980000002","5781404.8149999995","1247795.1850000001","4533609.63","0",,"14170965.9569987","5506335.0559999999","356848.967","5149486.0889999997","0",,"8435951.3959999997","65558.097999999998","8179273.8880000003","127931.857","63187.553","228679.50499869997","49523.057000000001","178135.33299869997","1021.115",,"4844395.1729999995","3236854.5589999999","1132932.4339999999",,"1871210.415","232711.71","168277.02800000002","167728.29500000001",,"0","548.73299999999995","1312201.3879999998","1071069.1259999999",,"241132.26199999999","0","127062.19799999999","90692.68",,"36369.517999999996","0","3056993.3960000002","231985.47899999999","1493378.5330595002","7413853.6550013004","9109784.0029999986"
2003-12-01,"3524676.1239999998","6007369.9990000008","1334947.6780000001","4672422.3210000005","0",,"14565360.738575799","6032206.148","439296.62599999999","5592909.5219999999","0",,"8343613.2710000006","59220.192000000003","8120558.7280000001","116528.94","47305.411","189541.31957580001","50147.817000000003","138367.66857579999","1025.8340000000001",,"5061429.3320000004","3562333.557","972738.48",,"2382414.2609999999","207180.81599999999","185454.73300000001","185069.38200000001",,"0","385.351","1194276.047","921045.71",,"273230.337","0","119364.995","85588.611000000004",,"33776.383999999998","0","2868486.5890000002","228134.236","1514271.8246702","7470384.8934241999","9353403.5720000006"
