"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
2002-08-01,,"72659.206000000006","1886836.85",,,"21834.082000000002","68251.282999999996","2049581.4210000001","0","0","266448","1494852.463","288280.95799999998"
2002-09-01,,"38414.080999999998","1935444.2409999999",,,"22712.571","70353.320000000007","2066924.213","0","0","268278","1507300.121","291346.092"
2002-10-01,,"41274.28","1905321.865",,,"104878.304","67598.671000000002","2119073.12","0","0","270108","1553086.09","295879.02899999998"
2002-11-01,,"39791.913","1894648.699",,,"104695.753","66798.61","2105934.9750000001","0","0","261102.58300000001","1546437.9039999999","298394.489"
2002-12-01,,"50952.873","2048076.7379999999",,,"105590.201","68606.747999999992","2273226.56","0","1060467.746","0","911409.2790000001","301349.533"
2003-01-01,,"45008.809000000001","2035836.463",,,"114569.929","71230.667000000001","2266645.8679999998","0","1065827.3910000001","0","896335.951","304482.23"
2003-02-01,,"44779.603000000003","2039873.92",,,"114780.78","74599.353999999992","2274033.6569999997","0","1068450.9909999999","0","898471.75199999998","307110.913"
2003-03-01,,"55155.688000000002","2056950.1159999999",,,"115096.807","75219.960999999996","2302422.5720000002","0","1069709.9280000001","0","922179.88899999997","310532.75300000003"
2003-04-01,,"51196.999000000003","2048429.088",,,"115202.281","72993.437999999995","2287821.8059999999","0","1065302.69","0","935713.25699999987","286805.86"
2003-05-01,,"51417.587","2005482.764",,,"115413.189","70412.731","2242726.2710000002","0","1056161.9820000001","0","896809.02700000012","289755.261"
2003-06-01,,"61334.999000000003","1979000.7180000001",,,"115729.469","60386.684999999998","2216451.8710000003","0","1059172.1370000001","0","864661.52699999989","292618.201"
2003-07-01,,"83583.244999999995","1979886.8089999999",,,"109180.921","54377.428000000007","2227028.4029999999","0","1062946.612","0","868305.76199999999","295776.02899999998"
2003-08-01,,"61384.529000000002","1961061.105",,,"157034.59399999998","57862.827000000005","2237343.0550000002","0","1036797.583","0","901259.13299999991","299286.33799999999"
2003-09-01,,"59051.502999999997","1949056.26",,,"158280.28599999999","60295.402999999998","2226683.452","0","1038847.377","0","885645.57","302190.50699999998"
2003-10-01,,"63904.307999999997","1992381.287",,,"112547.977","55035.65","2223869.2220000001","0","1040140.547","0","879576.42299999995","304152.25400000002"
2003-11-01,,"64214.142999999996","1943768.3030000001",,,"154307.19","54998.421000000002","2217288.057","0","1040913.959","0","869995.30800000008","306378.78700000001"
2003-12-01,,"52567.375","1967300.257",,,"157646.26300000001","47745.792000000001","2225259.6869999999","0","1034763.915","0","881950.61499999999","308545.15700000001"
2004-01-01,,"57976.213000000003","1941923.5919999999",,,"189765.97","48427.37","2238093.145","0","1035703.434","0","890693.96699999995","311695.74400000001"
2004-02-01,,"28974.452000000001","1946908.176",,,"212985.685","52210.607000000004","2241078.92","0","1036950.0109999999","0","890943.90599999996","313185.00199999998"
2004-03-01,,"15492.055","1963104.075",,,"214368.09399999998","57290.647000000004","2250254.8709999998","0","1039562.412","0","895381.61699999997","315310.842"
2004-04-01,,"2071.433","1986902.443",,,"214619.82799999998","56183.432000000001","2259777.1359999999","0","1039900.693","0","902736.11399999994","317140.32900000003"
2004-05-01,,"6891.9030000000002","1973720.057",,,"206436.25","55391.26","2242439.4700000002","0","1039990.265","0","901829.65499999991","300619.549"
2004-06-01,,"8398.6460000000006","2045113.96",,,"199480.33299999998","52031.95","2305024.889","0","1042068.6040000001","0","961360.21100000001","301596.076"
2004-07-01,,"1735.14","2057041.983",,,"199960.43","55651.769","2314389.3219999997","0","1043045.732","0","967201.83","304141.74800000002"
2004-08-01,,"5633.5079999999998","2068833.91",,,"196095.44600000003","76623.577000000005","2347186.4410000001","0","1046221.8030000001","0","993611.44099999999","307353.19699999999"
2004-09-01,,"6328.1360000000004","2007810.5549999999",,,"229777.91899999999","77435.163000000015","2321351.773","0","1048329.99","0","962537.31499999994","310484.467"
2004-10-01,,"18272.412","1943874.8230000001",,,"230178.36499999999","101273.26100000001","2293598.861","0","1049243.095","0","930719.59900000016","313636.16600000003"
2004-11-01,,"7713.5169999999998","1893811.9029999999",,,"222810.74500000002","109176.193","2233512.358","0","1001574.267","0","915583.18800000008","316354.902"
2004-12-01,,"19166.169000000002","1920462.6839999999",,,"254068.65700000001","69525.198999999993","2263222.7089999998","0","1002663.826","0","942383.28199999989","318175.59999999998"
2005-01-01,,"19068.143","1877367.6368",,,"293700.10099999997","85068.845000000001","2275204.7258000001","0","1002716.452","0","951811.70399999991","320676.30099999998"
2005-02-01,,"18954.695","1847607.236",,,"302144.68","108685.148","2277391.7590000001","0","1003925.084","0","950562.99099999992","322903.68400000001"
2005-03-01,,"20720.487000000001","1821078.068",,,"349231.54700000002","94427.51","2285457.6119999997","0","1005767.98","0","971513.36100000003","308176.27"
2005-04-01,,"9059.3459999999995","1779564.9539999999",,,"378452.07","120459.238","2287535.6079999995","0","1005464.079","0","971745.16700000013","310326.364"
2005-05-01,,"498.108","1767824.875",,,"372213.658","69562.191999999995","2210098.8329999996","0","948248.054","0","950146.52300000004","311704.25799999997"
2005-06-01,,"5815.54","1788302.0260000001",,,"372353.38900000002","54407.530999999995","2220878.486","0","947706.74099999992","0","961068.8280000001","312102.91499999998"
2005-07-01,,"6658.6794399999999","1765935.2444600002",,,"362095.55291999999","83444.710169999991","2218134.1869900003","0","1081913.4205400001","0","822752.11627","313468.65018000006"
2005-08-01,,"5755.4007199999996","1753467.1338199999",,,"361433.01578000002","91343.736170000004","2211999.2864899999","0","1078601.7716099999","0","818421.69597","314975.81891000003"
2005-09-01,,"7410.2739099999999","1754346.1679",,,"361300.88634000003","88668.608229999998","2211725.9363799999","0","1071653.78036","0","823198.64084999997","316873.51517000009"
2005-10-01,,"40108.001109999997","1721059.74835",,,"349116.28405000002","106311.76986999999","2216595.8033799999","0","1068404.8976499999","0","830084.38002000004","318106.52571000002"
2005-11-01,,"10072.442410000001","1635405.6685900004",,,"304607.82704","66762.250749999992","2016848.1887900003","0","1058482.5909599999","0","639294.06841000007","319071.52942000004"
2005-12-01,,"3956.7083400000001","1700721.0158300002",,,"275775.99375000002","60288.999429999996","2040742.7173500003","0","1070686.3933600001","0","649266.15732","320790.16667000001"
2006-01-01,,"2266.7558300000001","1690567.0407799999",,,"241126.26298","117666.02620999998","2051626.0857999998","0","1070346.348","0","658403.24335999996","322876.49443999998"
2006-02-01,,"4398.9931999999999","1666783.6897199999",,,"239854.20267","130329.73115000001","2041366.61674","0","1060029.34935","0","651707.53795999999","329629.72942999995"
2006-03-01,,"1753.5565000000001","1693547.1198499999",,,"226483.86120000001","117325.78284","2039110.3203899998","0","1051773.1071900001","0","657421.13128000009","329916.08192000003"
2006-04-01,,"8510.9033400000008","1683496.33751",,,"226606.77513999998","108118.60219000001","2026732.61818","0","1056191.4625800001","0","655803.1324","314738.0232"
