"MES","BPCA01","BPCA02","BPCA03","BPCA04","BPCA05","BPCA06","BPCA07","BPCA08","BPCA09","BPCA10"
2009-07-01,"5235743.9481099993",4578998.93559,2928387.56259,551055.82633,365865.48134,541880.76524,625957.35642,178940.53156,36487.11022,15043317.5174
2009-08-01,"4767363.5318899993",4733777.24845,2981492.16662,559344.32294,382052.32077,544676.04518,617091.77263,180914.08473,37322.51787,14804034.01108
2009-09-01,"5560689.6729100002",4981151.39413,3038743.23198,575123.04163,384968.8066,570192.40319,631891.37753,184105.17407,38778.68028,15965643.78232
2009-10-01,"5528170.1440999992",4792397.72522,3125490.41017,584239.16953,421518.9791,591728.33044,650581.17636,187254.75021,40214.88932,15921595.57445
2009-11-01,"4965281.5498599987",4791485.34794,3155903.91986,604137.95578,427464.95891,613596.07208,645944.46041,192989.27537,41628.80196,15438432.34217
2009-12-01,"5138067.46863",4989203.10726,3223876.71588,653586.79065,442879.40566,623422.8769,694220.98238,207733.40537,50322.94506,16023313.69779
2010-01-01,"5839894.6199199995",4813205.80927,3199450.66938,632510.00364,441437.7106,631273.95513,682327.25325,210134.47654,50909.1655,16501143.66323
2010-02-01,"5712304.2806999991",5407467.28557,3233134.15485,632407.60296,427984.3985,623782.17431,710196.75754,213299.26929,54615.57009,17015191.49381
2010-03-01,"5703142.1666999999",5398711.35725,3299049.06482,631281.71673,434096.17288,620746.23645,735836.20847,219876.72407,52762.60798,17095502.25535
2010-04-01,"5841621.59504",5199181.0345,3342466.37592,638342.13951,443496.85814,630328.55151,736771.95293,220846.97311,51687.53768,17104743.01834
2010-05-01,"6261100.6055799993",5364831.83252,3429744.13229,680897.54771,539285.72301,655497.3489,823051.18607,222611.11605,63049.59463,18040069.08676
2010-06-01,"6182009.7522899993",5228002.13742,3364245.92194,650961.73471,522751.14304,635122.05363,781616.15447,213805.00707,57583.67222,17636097.57679
2010-07-01,"5850793.4050099989",5278369.07654,3429080.21652,658201.84484,521086.15604,643051.01792,789205.13652,216379.48205,60723.91748,17446890.25292
2010-08-01,"5944189.3063399987",5226246.11472,3454028.98431,664193.52489,536017.04989,652859.15136,795263.68009,225014.6182,56824.2684,17554636.6982
2010-09-01,"6088679.0080899997",5236790.07557,3477192.1984,648363.83611,527963.37177,654803.95349,798896.78412,227729.30841,58702.77657,17719121.31253
2010-10-01,"6045136.7680300009",5278075.78853,3514122.74237,659156.71497,535411.3053,671101.60113,790854.41478,228178.81604,63315.28331,17785353.43446
2010-11-01,"6156310.9510400007",5252133.3764,3511100.35458,679812.6972,554525.94008,674562.89685,796562.4891,222674.84491,61716.06325,17909399.61341
2010-12-01,"5796315.4999200003",5284198.10597,3138407.27568,668391.16084,541395.56301,607318.54257,719519.83202,207693.61132,64649.44011,17027889.03144
2011-01-01,"5808816.24125",5273871.88775,3204161.27593,665876.10208,531498.16759,630418.74626,756205.02806,221269.05856,66078.56833,17158195.07581
2011-02-01,"6050665.528789999",5378120.33226,3259836.55505,666005.75858,527522.46894,636037.7478,759773.3893,233968.63764,68925.344,17580855.76236
2011-03-01,"6012101.4174099993",5526973.57594,3357820.29612,680103.38071,526577.57122,646630.22371,755826.83699,232382.12632,74020.29931,17812435.72773
2011-04-01,"5792844.969899999",5543631.91342,3388372.34077,700122.87919,520449.54928,657889.87816,756775.13621,230349.7057,73682.97872,17664119.35135
