"MES","BCOP01","BCOP02","BCOP03","BCOP04","BCOP05","BCOP06","BCOP07","BCOP08","BCOP09","BCOP10","BCOP11","BCOP12","BCOP13","BCOP14","BCOP15","BCOP16","BCOP17","BCOP18","BCOP19","BCOP20","BCOP21","BCOP22","BCOP23","BCOP24","BCOP25","BCOP26","BCOP27","BCOP28","BCOP29","BCOP30"
2002-02-01,"1573074.8670000001","1211","715","496","0","501282","20639","480643","0",,"1067073","1414","1065659","0",,"3508.8670000000002","1969.0730000000001","1539.7940000000001","131052","0","17405","113647","4349","3919","430","-","0","4611","304471","267137"
2002-03-01,"1601156.452","1103","658","445","0","522930","24514","498416","0",,"1073983","1419","1072564","0",,"3140.4520000000002","2167.2930000000001","973.15899999999999","129587","0","17790","111797","3996","3599","397","-","0","4633","306747","266643"
2002-04-01,"1613068.264","713","291","422","0","531601","23200","508401","0",,"1078096","1458","1076638","0",,"2658.2640000000001","1712.24","946.024","124097","0","17533","106564","2446","2080","366","-","0","4573","311864","264973"
2002-05-01,"1608183.432","908","367","541","0","532717","15498","517219","0",,"1071891","1479","1070412","0",,"2667.4319999999998","1664.61","1002.822","121966","0","18041","103925","2476","2143","333","-","0","4562","314628","265857"
2002-06-01,"1598350.2949999999","847","315","532","0","544154","20198","523956","0",,"1050385","1473","1048912","0",,"2964.2950000000001","1959.4390000000001","1004.856","122774","0","19878","102896","1816","1525","291","-","0","4598","310146","265848"
2002-07-01,"1476643.781","1320","440","880","0","500433","19474","480959","0",,"972409","1474","970935","0",,"2481.7809999999999","1542.0989999999999","939.68200000000002","130933","13369","21136","96428","1692","1394","298","-","0","4630","325046","260412"
2002-08-01,"1466679.534","1097","299","798","0","496926","17125","479801","0",,"966323","1471","964852","0",,"2333.5340000000001","1457.817","875.71699999999998","115523","7785","22907","84831","1688","1352","336","-","0","4657","332933","264974"
2002-09-01,"1503242.996","1535","654","881","0","523384","17598","505786","0",,"975217","1475","973742","0",,"3106.9960000000001","2141.0529999999999","965.94299999999998","104517","0","18456","86061","1600","1271","329","-","0","4678","350731","266849"
2002-10-01,"1414627.1969999999","1344","283","1061","0","512352","18346","494006","0",,"898282","806","897476","0",,"2649.1970000000001","1625.932","1023.265","89400","0","6508","82892","1589","1288","301","-","0","4628","324596","254246"
2002-11-01,"1432146.888","1093","323","770","0","520973","19678","501295","0",,"907537","798","906739","0",,"2543.8879999999999","1890.6679999999999","653.22","88381","0","6115","82266","1394","1120","274","-","0","4624","333609","252258"
2002-12-01,"1454894.6159999999","1013","247","766","0","542403","14240","528163","0",,"908094","798","907296","0",,"3384.616","1344.327","2040.289","85126","55","6137","78934","3048","2752","296","-","0","4647","317175","280212"
2003-01-01,"1465781.442","1139","299","840","0","547798","16124","531674","0",,"912635","799","911836","0",,"4209.442","3131.971","1077.471","83834","3","6255","77576","2811","2527","284","-","0","4669","319289","283349"
2003-02-01,"1458109.166","1111","394","717","0","541122","15831","525291","0",,"911386","818","910568","0",,"4490.1660000000002","3827.248","662.91800000000001","82289","3","6893","75393","2796","2518","278","-","0","4678","325315","285806"
2003-03-01,"1468191.2250000001","1233","431","802","0","550357","14723","535634","0",,"912215","818","911397","0",,"4386.2250000000004","2386.806","1999.4190000000001","80076","0","6317","73759","2814","2534","280","-","0","4690","327866","293063"
2003-04-01,"1484649.18","1344","571","773","0","550955","15095","535860","0",,"928198","807","927391","0",,"4152.18","2257.9029999999998","1894.277","82233","0","8084","74149","1425","1166","259","-","0","3715","324567","301988"
2003-05-01,"1514809.5079999999","1278","576","702","0","572090","14360","557730","0",,"937298","838","936460","0",,"4143.5079999999998","1893.6420000000001","2249.866","83142","0","10412","72730","1733","1467","266","-","0","3258","331805","304805"
2003-06-01,"1546598.9890000001","1320","642","678","0","591795","15085","576710","0",,"949334","286","949048","0",,"4149.9889999999996","2367.3139999999999","1782.675","81857","0","9717","72140","1945","1677","268","-","0","3266","330971","307031"
2003-07-01,"1579121.047","1415","858","557","0","611160","14946","596214","0",,"963780","287","963493","0",,"2766.047","969.65599999999995","1796.3910000000001","78193","0","9632","68561","1660","1408","252","-","0","3274","332849","311951"
2003-08-01,"1608718.719","1318","842","476","0","632993","15118","617875","0",,"971093","316","970777","0",,"3314.7190000000001","1451.1859999999999","1863.5329999999999","74866","0","6420","68446","1684","1451","233","-","0","3284","339247","315854"
2003-09-01,"1629860.051","1329","739","590","0","645936","15308","630628","0",,"978393","310","978083","0",,"4202.0509999999995","2493.6709999999998","1708.38","68089","0","4810","63279","1617","1377","240","-","0","3287","329670","304020"
2003-10-01,"1610498.54","1390","831","559","0","630582","15507","615075","0",,"975295","321","974974","0",,"3231.54","1556.97","1674.57","67898","0","4513","63385","1602","1366","236","-","0","3058","338517","306547"
2003-11-01,"1617399.098","1220","670","550","0","641943","14800","627143","0",,"970074","330","969744","0",,"4162.098","2140.8389999999999","2021.259","67355","0","4540","62815","1562","1341","221","-","0","3037","336421","310985"
2003-12-01,"1660420.709","988","551","437","0","682749","15596","667153","0",,"973723","321","973402","0",,"2960.7089999999998","1220.56","1740.1489999999999","67120","0","5066","62054","3627","3370","257","-","0","3032","332811","312086"
2004-01-01,"1673948.75715","1213.86697","649.13013000000001","564.73684000000003","0","685737.78121000016","16154.847449999999","669582.93376000016","0",,"983055.10896999994","345.34440000000001","982709.76457","0",,"3942","2075","1867","67559","0","5346","62213","3409","3155","254","-","0","3037","333625","317123"
2004-02-01,"1671952","1214","627","587","0","679786","15023","664763","0",,"986334","343","985991","0",,"4618","2297","2321","66227","0","6376","59851","3213","2988","225","-","0","3039","333995","320043"
2004-03-01,"1655269","1380","679","701","0","663102","15715","647387","0",,"987221","390","986831","0",,"3566","1475","2091","64785","0","5021","59764","3277","3036","241","-","0","3044","337074","328149"
2004-04-01,"1648221","1212","640","572","0","644224","16024","628200","0",,"998494","448","998046","0",,"4291","2291","2000","64485","0","4710","59775","1854","1640","214","-","0","2848","342117","327840"
2004-05-01,"1672150","1208","546","662","0","651538","15776","635762","0",,"1015646","420","1015226","0",,"3758","2113","1645","65955","0","6104","59851","1858","1630","228","-","0","2825","340773","332077"
2004-06-01,"1533446","1069","389","680","0","488710","15313","473395","0","2","1040683","357","1040326","0",,"2984","1297","1687","44046","0","3284","40762","1724","1502","222","-","0","1607","307641","311910"
2004-07-01,"1532074","800","260","540","0","470213","15766","454324","0","123","1056856","393","1056463","0",,"4205","2605","1600","44453","0","3639","40814","1846","1434","412","-","0","1609","312694","311597"
2004-08-01,"1541663","738","308","430","0","466071","16342","449644","0","85","1071209","445","1070764","0",,"3645","1980","1665","48776","0","7808","40968","2062","1663","399","-","0","1615","321409","312611"
2004-09-01,"1550339","486","150","336","0","468859","17478","451320","0","61","1076883","476","1076407","0",,"4111","2229","1882","48119","0","7437","40682","1847","1467","380","-","0","1619","328517","315220"
2004-10-01,"1577999","421","123","298","0","476812","17414","459303","0","95","1095506","561","1094945","0",,"5260","3428","1832","47380","0","6546","40834","1824","1460","364","-","0","1427","331555","316318"
