"MES","SEML01","SEML02","SEML03","SEML04","SEML05","SEML06","SEML07","SEML08","SEML09","SEML10","SEML11","SEML12","SEML13"
2002-12-01,"269.02949999999998","1024.0379","1293.0673999999999","52.025700000000001","274.25850000000003","423.67599999999999","13806.92","8.5289999999999999","38.883699999999997","0.70428999999999997","13.5","3891.6654100000001","19803.23"
2003-01-01,"267.74804999999998","894.89269999999999","1162.64075","54.510579999999997","150.3895","990.59766000000002","9578.7999999999993","15.017289999999999","43.494500000000002","0.69683000000000006","17.358000000000001","3925.4237899999998","15938.928899999999"
2003-02-01,"96.993530000000007","1168.59555","1265.58908","51.579000000000001","183.33099999999999","1121.4945299999999","15842.91","12.641","55.770859999999999","0.59221000000000001","30.907","8833.27952","27398.0942"
2003-03-01,"254.38432","1096.3537699999999","1350.7380899999998","27.73368","221.85470000000001","396.05444999999997","6101.2","12.82146","26.64283","0.55159000000000002","18.008199999999999","1160.5588","9316.1638000000003"
2003-04-01,"213.92554000000001","1311.8055999999999","1525.7311399999999","50.994","78.615250000000003","938.09983","21421.599999999999","11.04156","52.759399999999999","0.59494000000000002","11.04","1319.5349799999999","25410.0111"
2003-05-01,"203.51356000000001","1142.6793399999999","1346.1929","52.090040000000002","316.91259000000002","665.31071999999995","11698.7","24.820989999999998","38.258429999999997","0.67797000000000007","21.4787","1151.1857600000001","15315.628100000002"
2003-06-01,"258.67111999999997","1065.5505000000001","1324.22162","39.809519999999999","195.88030000000001","1309.47954","12053.6","9.8350000000000009","54.11844","0.54674999999999996","15.3849","2866.40013","17869.2762"
2003-07-01,"277.03190999999998","1037.75935","1314.79126","38.909999999999997","191.27243000000001","544.31557999999995","12536.3","12.679","39.677500000000002","0.62278","37.491100000000003","12433.45685","27149.516499999998"
2003-08-01,"284.29928000000001","1271.5640000000001","1555.86328","65.488640000000004","299.36959000000002","492.68696999999997","7842.4920000000002","10.724","30.075700000000001","0.54279999999999995","42.257800000000003","14599.33152","24938.832299999998"
2003-09-01,"213.56934000000001","1057.4385400000001","1271.0078800000001","38.927199999999999","42.454549999999998","247.51750000000001","7505.7529999999997","11.321","25.373799999999999","0.60528000000000004","69.862399999999994","8382.8211900000006","17595.643799999998"
2003-10-01,"278.36477000000002","932.52287999999999","1210.8876500000001","17.529119999999999","231.90955","385.137","13820.763999999999","14.77","29.112500000000001","0.42151","42.424700000000001","8182.5846700000002","23935.540699999998"
2003-11-01,"447.95510000000002","739.66490999999996","1187.6200100000001","65.706029999999998","351.02069999999998","1003.7402","31757.3","17.255980000000001","46.363999999999997","0.20841000000000001","58.176000000000002","11391.56927","45878.960599999999"
2003-12-01,"362.37200000000001","534.93399999999997","897.30600000000004","52.247","301.34800000000001","634.88990000000001","16801.400000000001","12.411","52.923999999999999","0.22800000000000001","19.957999999999998","5612.6716999999999","24385.383599999997"
2004-01-01,"478.88099999999997","1527.2550000000001","2006.136","65.260900000000007","265.82600000000002","2288.3289","10395","4.97","64.004900000000006","0.22028","89.31","12654.10302","27833.16"
2004-02-01,"324.88499999999999","1105.3230000000001","1430.2080000000001","14.776999999999999","273.26749999999998","373.16300000000001","13189.6",,"26.4178","0.20682","24.88","11293.93988","26626.46"
2004-03-01,"440.53399999999999","1691.9521999999999","2132.4861999999998","65.637","278.21100000000001","566.62699999999995","13043.3","5.82","34.6","0.21099999999999999","38.619999999999997","2952.0277999999998","19117.54"
2004-04-01,"260.39299999999997","1142.7570000000001","1403.15","38.475000000000001","310.29199999999997","623.63900000000001","13457.2","8.93","26.1067","0.218","11.5","9491.8192999999992","25371.33"
2004-05-01,"362.64100000000002","1077.9100000000001","1440.5510000000002","53.429200000000002","226.21199999999999","1814.6869999999999","9843.6","17.190000000000001","57.857999999999997","0.23499999999999999","0.9","4632.0277999999998","18086.690000000002"
2004-06-01,"267.221","1036.4570000000001","1303.6780000000001","27.334","303.35700000000003","723.673","10810.6","11.45","25.798999999999999","0.253","42.68","13962.266","27211.090000000004"
2004-07-01,"197.226","930.83900000000006","1128.0650000000001","40.588999999999999","203.76499999999999","796.42679999999996","11948.4","7.61","35.6327","0.21312400000000001","34.51","13369.368376","27564.58"
2004-08-01,"427.08100000000002","992.56100000000004","1419.6420000000001","39.058999999999997","339.29599999999999","700.673","12775.8","5.7","28.848500000000001","0.22800000000000001","26.38","7315.5535","22651.18"
2004-09-01,"283.137","776.86300000000006","1060","28.326699999999999","229.947","1072.57","10814.1","16.850000000000001","33.142000000000003","0.13686000000000001","55.63","12003.477440000001","25314.18"
2004-10-01,"276.65100000000001","1082.5440000000001","1359.1950000000002","53.158999999999999","149.33459999999999","359.84789999999998","9720.7999999999993","12.39","25.104199999999999","0.219","23.05","3628.0003000000002","15331.099999999997"
2004-11-01,"207.60579999999999","1478.1611","1685.7669000000001","13.727499999999999","351.17090000000002","724.00930000000005","14834","14.86","34.417700000000004","0.14088999999999999","41.96","4251.2468099999996","21951.3"
2004-12-01,"233.93180000000001","1033.9775","1267.9093","68.005700000000004","231.4511","946.66869999999994","15578.9","17.63","42.618499999999997","0.29459000000000002","45.3","2720.0221099999999","20918.800000000003"
2005-01-01,"229.56027","941.54057999999998","1171.10085","53.08164","348.47370000000001","445.11129","12525.27929","3.3756499999999998","26.000239999999998","0.28810000000000002","22.798999999999999","1268.3545999999988","15863.86436"
