"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
1999-06-01,"63487.776399998926","-46477.977556000464","-80373.977556000464","33896","17009.798843998462","120884.01572219934","-33845.30771900015","-521306.43779930007","474387.46130999876","40119.731513897888","-23109.932669899426","253227.73233009875","-276337.66499999817"
1999-07-01,"-5736.0153999989852","332020.07868800033","101289.07868800033","230731","326284.06328800134","-173461.47455560043","75777.599561999552","32537.768740971573","39757.824709035456","-25388.281543593854","351672.3448315952","387273.61283160001","-35601.268000004813"
1999-08-01,"122852.16200000141","419487.26981300022","36884.269813000225","382603","542339.43181300163","98035.756444400176","46762.785561999772","63277.550740972161","50383.816845025402","258459.90959239751","283879.52222060412","396889.48122060299","-113009.95899999887"
1999-09-01,"735519.77699999977","205302.16389099881","83286.163890998811","122016","940821.94089099858","318994.27208329923","57246.764421500266","362093.70605572872","-386226.64063423127","352108.10192629695","588713.83896470163","567080.52496469766","21633.314000003971"
1999-10-01,"-411732.89900000114","607358.84478799999","304039.84478799999","303319","195625.94578799885","77048.261731000617","32970.642561999615","67724.21170662716","634041.93016877072","811785.04616839811","-616159.10038039926","-633841.63338039815","17682.53299999889"
1999-11-01,"735149.58600000013","-424864.13510599919","-304394.13510599919","-120470","310285.45089400094","118674.19797999971","14829.287503000349","-16940.456999999471","-188838.03889879491","-72275.010415794328","382560.46130979527","-295180.3166902028","677740.77799999807"
1999-12-01,"187641.9179999996","-256767.64350599982","-69150.643505999818","-187617","-69125.725506000221","-441244.92908099946","28452.590520000085","71347.903999999166","399269.15217279643","57824.717611796223","-126950.44311779644","71661.209882199764","-198611.65299999621"
2000-01-01,"581755.61499999929","-54544.52555899974","137466.47444100026","-192011","527211.08944099955","37594.035931499675","-3588.8087200000882","40755.217380000278","390076.53665161692","464836.98124311678","62374.108197882771","327042.52719788253","-264668.41899999976"
2000-02-01,"-44519.71","179882.08384099882","221358.08384099882","-41476","135362.37384099886","166415.13993149996","-89660.189719999675","120054.68343000021","114409.89094046457","311219.52458196506","-175857.1507409662","-34875.183740966022","-140981.96700000018"
2000-03-01,"-256635.2639999995","12088.453332001343","-109186.64666800015","121275.10000000149","-244546.81066799816","-43223.382221999578","74623.730039999355","-38003.211780000478","-182106.74023366394","-188709.60419566464","-55837.206472333521","-26285.707472331822","-29551.499000001699"
2000-04-01,"-107730.51400000136","427050.96612199768","231688.16612200066","195362.79999999702","319320.45212199632","178349.80055749975","-202708.55871999916","16826.576870000921","99377.27235965617","91845.091067157686","227475.36105483864","-68985.84194516018","296461.20299999882"
