"MES","BCXA01","BCXA02","BCXA03","BCXA04","BCXA05","BCXA06","BCXA07","BCXA08","BCXA09","BCXA10","BCXA11","BCXA12","BCXA13","BCXA14","BCXA15","BCXA16"
2003-05-01,"2752428","196615","1256466","1299347","4056397","23739026","23190109","16214039","0","1443357","5532713","548917","1792344","0","3996076","36336271"
2003-06-01,"3001227","243088","1459951","1298188","3967961","23568390","23038927","16200441","0","1349633","5488853","529463","1898283","0","3914188","36350049"
2003-07-01,"2874122","235535","1348637","1289950","4216138","23618336","23101401","16249750","0","1274422","5577229","516935","2009430","0","3847831","36565857"
2003-08-01,"2806459","245914","1160434","1400111","4331964","23628182","23135963","16187155","0","1348095","5600713","492219","2130386","0","3942864","36839855"
2003-09-01,"2649277","267817","1166892","1214568","4575266","23546017","23239747","16574417","0","1266089","5399241","306270","2114475","0","4013333","36898368"
2003-10-01,"3625399","225281","2330547","1069571","2543002","23570189.990940001","23114095","16554473","0","1217445","5342177","456094.99093999999","1838861.3307669004","0","4147416","35724868.321706906"
2003-11-01,"2802294","231378","1458636","1112280","3488222","23541775.184308793","23097623.184308793","16518459","0","1249946","5329218.1843087925","444152","1610637","0","4103478","35546406.184308797"
2003-12-01,"2814659","293568","1495282","1025809","4240908","23466384","23037388","16676852","0","1181241","5179295","428996","1615276","0","4190821","36328048"
2004-01-01,"2963130","244700","1628223","1090207","4058977","23063979.687010556","22766650.687010556","16283073.687010558","0","1286307","5197270","297329","1687393.2066456003","0","4179728","35953207.893656157"
2004-02-01,"2806737","264241","1407574","1134922","3739485","22934010.01436951","22644987.01436951","16057224.014369512","0","1353330","5234433","289023","1748462.0970800002","0","3968049","35196743.11144951"
2004-03-01,"2591022","257711","1278973","1054338","4017173","22900714","22615022","16014382","0","1390246","5210394","285692","1798173","0","3934507","35241589"
2004-04-01,"2491184","234712","1252963","1003509","3743250","23005118","22744103","16180509","0","1338809","5224785","261015","1590015","0","3822104","34651671"
2004-05-01,"2482272","279491","1221324","981457","4201876","22871849","22599092","16033063","0","1289028","5277001","272757","1438378","0","3881628","34876003"
2004-06-01,"2689516","257022","1335964","1096530","3409652","22733694","22463305","16075406","0","1353980","5033919","270389","1560381","0","3770552","34163795"
2004-07-01,"2602769","283826","1279463","1039480","3468094","22571873.951596446","22318328.951596446","15923448.951596448","0","1398304","4996576","253545","1481493.0353198999","0","3911495","34035724.986916348"
2004-08-01,"2621493","299657","1376807","945029","3971588","22471782.594680816","22227636.594680816","15938469.594680816","0","1262600","5026567","244146","1566357.3717056001","0","3945896","34577116.966386415"
2004-09-01,"2385603","299803","1121827","963973","4522965","22334353.570708923","22112688.570708923","15994853.570708925","0","1095227","5022608","221665","1756786.1935642001","0","3857995","34857702.764273122"
2004-10-01,"2340976","278434","1162638","899904","4378741","22091607","21863555","15918354","0","1068212","4876989","228052","1961298","0","3880351","34652973"
2004-11-01,"2376433","339307","1073778","963348","4516286","22026351","21800369","15933059","0","1016099","4851211","225982","1990888","0","3838773","34748731"
2004-12-01,"2971331","365594","1623821","981916","4173307","22450246.734883253","22224618.734883253","16758869.734883253","0","881958","4583791","225628","2031110.3411799998","0","3780817","35406812.076063253"
2005-01-01,"2850214.58","389945.55","1465352.42","994916.61","4576370.37","23161823.150000002","22930600.010000002","17336695.800000001","0","1003046.46","4590857.75","231223.14","1875253.47","0","3807146.07","36270807.640000001"
2005-02-01,"3297888.9300307077","373177.1563899999","1745919.9678432501","1178791.8057974577","4548049.5738700004","23121662.745709661","22895987.440399662","17099445.346999969","0","1173485.6095106022","4623056.4838890936","225675.30531000003","1836372.0819000001","0","3732960.684418119","36536934.015928492"
2005-03-01,"2748889.7760139122","314657.07203000004","1340300.9617012001","1093931.7422827119","4704748.7290899996","23252836.681249585","23021907.812369585","17136660.17262667","0","1198111.0859506959","4687136.5537922187","230928.86887999997","1909916.6651799998","0","3711780.5169680067","36328172.368501507"
2005-04-01,"2937785.812743912","295359.45746000006","1528092.1551911999","1114334.200092712","5067456.2983300006","23518169.032030784","23300257.754000783","17433975.913786668","0","1033747.3443218963","4832534.4958922202","217911.27802999999","1864480.1650800002","0","3738812.8482480077","37126704.156432703"
2005-05-01,"2511397.0362439123","312665.07545999996","1252074.0617712003","946657.89901271206","5082800.424829999","23749515.702881187","23524336.793831188","17705318.398866672","0","988086.19194229622","4830932.2030222183","225178.90904999996","1736984.3655299998","0","3721588.1703380072","36802285.699823104"
2005-06-01,"2547392.6185539123","319066.8627900001","1246345.7605811998","981979.9951827121","4983157.2395799998","23615213.50861679","23425961.791886792","17866551.000426672","0","945235.45764789591","4614175.33381222","189251.71672999999","1838117.8880799999","0","4082271.0225580069","37066152.277388707"
2005-07-01,"2538954.9967930806","272444.54738999996","1349973.2090332499","916537.24036983086","5248471.0496799992","23632315.149680395","23441563.360010393","17755019.372756608","0","1058405.0309812555","4628138.9562725332","190751.78966999997","1794910.5131399999","0","4122354.0522394748","37337005.761532955"
2005-08-01,"2751494.3750325264","284643.77512000001","1508611.2568779497","958239.34303457639","5641674.5811400004","23560817.414775167","23367389.902275167","17757622.855139896","0","1051655.0566258614","4558111.9905094085","193427.51250000001","1985397.66646","0","4071413.6820837855","38010797.719491482"
2005-09-01,"2555226.5712822489","270313.53845999995","1266246.4625352998","1018666.5702869494","5989031.71074","23660367.009821407","23464613.958581407","17915786.382046547","0","915112.37332201435","4633715.2032128461","195753.05123999997","2004107.40729","0","4055205.5621609432","38263938.261294603"
2005-10-01,"2907230.7805216946","295778.31242000003","1565788.4457999996","1045664.0223016951","6329731.7599299997","23719084.071789075","23521441.427129075","17976456.374949832","0","966074.03695952054","4578911.0152197219","197642.64466000002","1928683.2708700001","0","4095553.6818052558","38980283.564916022"
2005-11-01,"3402956.8986916952","311668.4351","2069845.4465399999","1021443.0170516951","6400540.5926900003","23670815.995979074","23478385.185959075","18252239.445749834","0","907255.42849952076","4318890.3117097216","192430.81002","1982875.1461300002","0","4039085.708225254","39496274.341716021"
2005-12-01,"3272718.7261016946","509470.25293999992","1730110.5040299993","1033137.9691316953","5879868.7554700002","23726972.136619084","23521651.669249084","18466544.08691984","0","832211.08899952052","4222896.4933297215","205320.46736999997","1929150.9101100001","0","3365038.790615255","38173749.31891603"
2006-01-01,"3719107.731500695","477184.04144","2129169.8087590002","1112753.881301695","5762471.5846300004","23699024.233179078","23502025.376039077","18331925.510759834","0","948039.76539952063","4222060.0998797221","196998.85713999998","1377062.8776400001","0","3442709.970035255","38000376.396985032"
2006-02-01,"3970386.2888214183","472037.60745000007","2380895.4634073502","1117453.2179640681","6032590.9588799989","23574748.798957717","23380660.859027717","18181957.13243648","0","977416.66311807372","4221287.0634731604","194087.93992999996","1306264.0980700003","0","3396200.0978324101","38280190.242561549"
2006-03-01,"3538315.8673408637","412490.56784000003","2126809.3587920498","999015.94070881384","6151701.2139600003","23598308.983766884","23403565.196126882","18211132.577089768","0","967240.94742707978","4225191.671610035","194743.78763999997","1263931.54318","0","3352917.4275567224","37905175.035804465"
2006-04-01,"4052571.8624205869","433630.64248000004","2352593.5078194002","1266347.7121211868","5674846.5094099995","23803456.750718426","23612019.674878426","18481229.884876419","0","959730.31112853263","4171059.4788734727","191437.07583999998","1253105.81259","0","3379909.7507838784","38163890.685922891"
2006-05-01,"4249074.8013405865","499239.72341000009","2375867.9741193997","1373967.1038111867","5053219.7028200012","24049349.966538418","23853273.405948419","18715569.699606415","0","934551.9157885327","4203151.790553472","196076.56059000001","1307294.45218","0","3405463.8649238795","38064402.787802882"
2006-06-01,"4309838.7793711862","484114.10636999999","2454862.1939599994","1370862.4790411866","4794759.8195500001","24029682.304338824","23835849.709048823","18965237.520216417","0","855846.41842893313","4014765.7704034736","193832.59529","1425816.1090899999","0","3368772.8947638781","37928869.907113887"
2006-07-01,"4435555.6358611863","505442.00018999999","2480810.6954999999","1449302.9401711868","4695590.5407099994","24336732.418738827","24137783.244178828","19188705.211366422","0","979336.0320089329","3969742.0008034734","198949.17456000001","1404413.8662399999","0","3364476.6579438783","38236769.119493887"
2006-08-01,"4513376.8938035592","475623.91964999994","2535733.6865699999","1502019.2875835595","5154869.5054500001","24432679.918411873","24234346.286601875","19397106.654363059","0","915711.66569190333","3921527.9665469108","198333.63180999999","1442280.3991100001","0","3330247.6280110353","38873454.344786458"
2006-09-01,"4575708.6638535596","558930.11797000002","2391779.4789700001","1624999.0669135593","5439724.9637099998","24601920.586171877","24407106.563021876","19582535.32789306","0","912874.19116190332","3911697.0439669113","194814.02314999999","1353802.4798599998","0","3376764.400221034","39347921.093816467"
2006-10-01,"4305986.5232635587","515987.63339000009","2477040.0022999994","1312958.8875735595","5722855.02465","24608789.822411872","24413333.700911872","19592432.195603058","0","900714.13837190345","3920187.3669369104","195456.12149999998","1365024.9467099998","0","3376754.8308210354","39379411.147856466"
2006-11-01,"4651297.5623835605","582761.57305999997","2703768.0659000007","1364767.9234235594","6408186.1043100003","24694831.967901871","24509124.918541871","19854017.994573057","0","837220.97763190349","3817885.9463369111","185707.04936","1413527.6424100001","0","3322695.0423310334","40490538.319336466"
2006-12-01,"5473199.3454983067","643388.71739000012","3578544.8075500005","1251265.8205583054","6437840.5557000004","24829836.117440481","24645697.024580482","20131491.403036352","0","778774.7468103437","3735430.8747337866","184139.09286000003","1520977.27743","0","3294864.9474753453","41556718.243544132"
2007-01-01,"5539275.9556430504","579183.76123999991","3510013.693909999","1450078.500493051","7303559.8772099996","24574559.712639086","24394528.913429085","19770138.692019638","0","923703.71450878412","3700686.506900663","180030.79921","1522816.8999900003","0","3276588.9995696577","42216801.445051789"
2007-02-01,"5694035.7092277966","589675.99644000013","3677009.9824799998","1427349.7303077967","7635005.7751399977","24642977.577227693","24463498.827027693","19812676.336472929","0","958249.02063722454","3692573.4699175376","179478.75020000001","1555673.8358","0","3268905.143613969","42796598.041009456"
2007-03-01,"6031856.4692777963","553389.62809999986","4000612.4173399997","1477854.4238377968","7619305.4947100002","24922340.189577691","24744164.474937692","20200957.500602931","0","819123.55720722454","3724083.4171275385","178175.71463999999","1505339.7667400001","0","3277950.2425639695","43356792.162869461"
2007-04-01,"5972262.3836977966","574410.52590999997","3944266.1824299996","1453585.6753577967","7333853.3888599994","25335622.846617691","25157758.63168769","20637623.257632926","0","801531.34010722453","3718604.0339475381","177864.21492999999","1537654.9458399997","0","3280808.3004639698","43460201.865479454"
2007-05-01,"6136378.9833125416","592871.04041000002","3837672.2599399993","1705835.6829625424","7421059.3427200001","25688230.290370319","25511881.969340321","21071495.138880242","0","767684.48990566505","3672702.3405544134","176348.32103000002","1603030.8682600001","0","3268177.6145282821","44116877.099191152"
2007-06-01,"6457957.4808472879","560714.58432000002","4395706.8451799992","1501536.0513472883","7262757.1013699993","26021259.873148922","25843363.697238922","21630807.655963529","0","729257.52686410514","3483298.5144112888","177896.17590999999","1730748.6350000002","0","3234121.2627125932","44706844.353078797"
2007-07-01,"6516658.8242062721","552963.95444","4401403.7287400002","1562291.1410262715","7037678.0192500008","26094269.913898755","25917982.119638756","21613726.585636683","0","869919.42364786693","3434336.1103542065","176287.79426","1654889.2847899999","0","3260240.336449841","44563736.378594868"
2007-08-01,"7435125.4254705077","628646.18263000005","5159748.1515799994","1646731.0912605086","6359657.6642700015","26145672.311311055","25972519.630861055","21783605.076168712","0","787655.50279796415","3401259.0518943788","173152.68044999999","1739815.11879","0","3300702.6338827759","44980973.153724343"
2007-09-01,"8584264.1678159107","652806.29128","6352115.5239354009","1579342.3526005086","5679030.9116000002","26554785.130661048","26381714.497941047","22207077.484078705","0","741925.05473796441","3432711.9591243793","173070.63271999999","1342338.4318959001","0","3242137.0813427758","45402555.723315634"
2007-10-01,"8889368.7975499984","672834.14360999991","6590524.3573699994","1626010.29657","5643715.24266","26696812.265447743","26524901.576017745","22422595.368414078","0","723179.5233166361","3379126.6842870316","171910.68943","1348997.8642549","0","3288823.5063737212","45867717.676286362"
2007-11-01,"9069459.1484994907","701280.05752000003","6660617.7370299986","1707561.3539494919","5490633.6816999996","26936608.845095158","26768616.226325158","22702036.501599465","0","750527.82220149552","3316051.9025241979","167992.61877","1284811.7879599999","0","3316931.2681614673","46098444.731416121"
2007-12-01,"10122007.734273728","827062.97672999999","7664306.7448499994","1630638.012693729","5184326.973770001","27005131.769788492","26838306.143358491","22996366.178308755","0","697801.8819339592","3144138.083115777","166825.62643","1256853.2017999999","0","3189904.084978085","46758223.764610305"
2008-01-01,"11121168.335083222","818874.16839000001","8473187.104650002","1829107.0620432203","5379308.5354400007","26996753.951264009","26821416.186044008","22881555.938088909","0","791459.33872826828","3148400.9092268297","175337.76522","1216103.48181","0","3308103.4551958311","48021437.758793063"
2008-02-01,"11816251.747132711","749872.74116000009","9181890.1395599991","1884488.8664127123","5553968.5916100005","26881044.203126211","26706747.63391621","22798025.200939052","0","810868.96440321661","3097853.4685739428","174296.56920999999","1338302.24557","0","3308719.6276534302","48898286.415092349"
2008-03-01,"12596990.220524069","776822.37690000003","9841927.9918800015","1978239.8517440679","5349445.2109100008","26815012.940740954","26639983.910860956","22838560.615507729","0","735931.0426264588","3065492.2527267663","175029.02987999999","1062904.4097199999","0","3357387.7960929144","49181740.577987939"
2008-04-01,"13451123.701377798","800240.27963000012","10519373.06591","2131510.3558377968","5135105.7168199997","27031150.819305725","26870624.756615724","23125358.059555192","0","714678.33368551976","3030588.3633750109","160526.06269000002","1057355.8852600001","0","3415894.2404436935","50090630.363207214"
2008-05-01,"14417725.837379154","775904.12455000018","11564777.230850002","2077044.4819791531","4981872.9517800007","27272732.90178499","27116666.949464992","23434310.367220439","0","727948.70080015133","2954407.8814444006","156065.95232000001","968146.21129000012","0","3536090.8756104149","51176568.777844563"
2008-06-01,"14532036.442486508","802304.97607999993","11626552.350555999","2103179.1158505087","4357312.2732100002","27525081.728090059","27380718.059230059","23757964.905669115","0","751728.23469021416","2871024.9188707285","144363.66886000001","903595.83278300008","0","3386590.4352671364","50704616.711836696"
2008-07-01,"15258740.571899492","817015.05365000002","12084903.209330002","2356822.3089194922","4622026.5081399996","27783307.041185874","27640639.015695874","24025354.010617334","0","804904.98873635742","2810380.0163421812","142668.02549","854448.65517000004","0","3477043.6457988005","51995566.422194175"
2008-08-01,"15714280.515636614","855874.15954999998","12616562.782370003","2241843.5737166102","4185365.8695899998","27848464.519411776","27701971.776441775","24101417.604714163","0","803825.94894741115","2796728.2227802007","146492.74296999999","898886.45345999999","0","3469551.5988842389","52116548.956982635"
2008-09-01,"15848031.886741355","972994.83442000009","12681632.23821","2193404.8141113562","4236584.5074200006","28224994.930117276","28079156.169487275","24510605.378828719","0","709081.67589154677","2859469.114767008","145838.76062999998","848722.50702000014","0","3389669.1776636415","52548003.008962266"
2008-10-01,"15406380.644436102","939191.34818999993","12394243.510910001","2072945.7853361019","4793156.1192500005","28351937.215516999","28207660.843936998","24695508.970503274","0","716859.2833857825","2795292.5900479411","144276.37157999998","790170.43526000017","0","3423371.6976807043","52765016.112143807"
2008-11-01,"15393298.066366103","931831.21508000011","12302892.724090001","2158574.1271961019","5101563.6068600016","28460275.903466992","28316138.833056994","24830634.166863266","0","716915.2324457824","2768589.4337479416","144137.07040999999","784175.36231999984","0","3354158.8463907037","53093471.785403796"
2008-12-01,"16766406.4621861","1051861.6546","13112937.289919998","2601607.5176661019","5824045.5467900001","28525401.587679572","28383848.045669571","25012933.465363268","0","669794.35772578267","2701120.2225805176","141553.54201000003","863497.31882999977","0","3269667.5695007015","55249018.484986372"
2009-01-01,"17712519.010068499","984315.33678000001","13834926.750082398","2893276.9232061021","5374075.8368000006","28196309.202479567","28055060.478509568","24746418.419873267","0","706531.42796578258","2602110.6306705177","141248.72396999999","944409.8580775999","0","3301830.3834607024","55529144.290886372"
2009-02-01,"16996454.077515006","1006613.8735","13024953.610258901","2964886.593756102","6399706.2012600014","28111025.455359567","27969676.501419567","24642128.105813265","0","805753.25974578259","2521795.1358605172","141348.95394000001","921371.22534419992","0","3318262.5731307035","55746819.532609478"
2009-03-01,"17261484.251726102","948028.83899000008","13329654.6315","2983800.7812361019","6271481.7865999993","28100146.501479566","27959935.020959567","24657059.321523268","0","785335.12348578253","2517540.5759505173","140211.48051999998","1169291.44777","0","3281479.9687407026","56083883.956316367"
2009-04-01,"16913680.336406104","950060.96511000011","12421326.380140003","3542292.9911561017","6725599.6101299999","28536986.324789565","28383632.872789565","25058800.782473266","0","758555.47266578255","2566276.6176505177","153353.45199999999","1420799.8106999998","0","3314962.1657907031","56912028.247816369"
2009-05-01,"15999288.244676104","915017.00858999998","11834197.208380003","3250074.027706102","7047272.7997300001","28775408.124799564","28630884.320189565","25300240.909683265","0","757461.42438578268","2573181.9861205178","144523.80460999999","1558430.24245","0","3422441.6360607031","56802841.047716364"
2009-06-01,"17094111.710496105","1117123.18731","12799996.6291","3176991.894086102","7367831.3420800008","29168911.12664957","29025794.89768957","25814055.167783268","0","696028.7469457828","2515710.9829605175","143116.22896000001","1483739.80672","0","3185761.0288907029","58300355.014836386"
2009-07-01,"16713373.277316103","1099110.13907","12584281.485710001","3029981.6525361016","7634474.1697000004","29169974.176659573","29026901.419769574","25830903.901193272","0","726231.61257578258","2469765.9060005173","143072.75689000002","1441372.6434500001","0","3161044.0633207038","58120238.330446377"
2009-08-01,"16797051.449585911","1105846.2415","12713955.209280003","2977249.9988059094","8093700.1210000003","29280427.609131534","29137407.986761533","26035037.068743266","0","679232.51979578263","2423138.3982224818","143019.62236999997","1453654.6448299999","0","3218601.4043807033","58843435.228928149"
2009-09-01,"17815647.37002591","1112823.1006700001","13585861.768930001","3116962.5004259087","9245126.9264800008","29597105.75097023","29465530.465500228","26355768.694593262","0","672818.24816478277","2436943.5227421839","131575.28546999997","1516135.0778000001","0","3178440.6511907019","61352455.776466846"
2009-10-01,"18633245.342485908","1175522.8667800003","14256476.166920001","3201246.3087859093","8836516.8945200015","29992199.800010234","29860676.106070235","26765554.675763272","0","661660.37758478266","2433461.0527221835","131523.69394","1441124.0199899997","0","3186610.5920907031","62089696.649096847"
2009-11-01,"18720305.611845907","1646389.5470899998","13467666.95073","3606249.114025909","8915122.4014899991","30188066.17095023","30056286.292780232","27022532.395873263","0","634931.48175478261","2398822.4151521833","131779.87816999998","1502403.7185899997","0","3203748.4348307028","62529646.337706834"
2009-12-01,"18816245.520945914","1584909.4039600003","14135038.824790003","3096297.2921959087","9323306.7790399995","30679238.332485076","30547453.152025077","27601665.31129811","0","586827.53006478259","2358960.3106621839","131785.18046","1713641.3508700004","0","3086124.5413308544","63618556.524671845"
2010-01-01,"19896941.28899591","1617828.8220900001","15275565.342470001","3003547.1244359091","9302733.9387799986","30474193.123165078","30341083.62521508","27358280.443478115","0","625510.56841478264","2357292.6133221835","133109.49794999999","1498350.4805100001","0","3072088.4732608539","64244307.304711841"
2010-02-01,"20556290.738515913","1559052.10283","15950017.780470004","3047220.855215909","8757634.8027499989","30576899.7463421","30421151.1265321","27363153.010628119","0","714292.12250478263","2343705.9933991986","155748.61981","1590882.7729899997","0","3010975.5838808557","64492683.644478872"
2010-03-01,"19958187.339135911","1536559.6794899998","15340474.251480002","3081153.4081659089","9007205.9382500015","30867576.385504764","30656694.444804765","27813689.807708114","0","644118.34592148266","2198886.2911751685","210881.94070000004","1519161.5602599999","0","3025595.2181608537","64377726.441311523"
2010-04-01,"18201570.175695911","1460324.5296799999","13439578.513990002","3301667.1320259091","9272570.9522699993","31641659.11149906","31431630.586139061","28601050.750158109","0","559526.89511578274","2271052.9408651688","210028.52536","1512274.94597","0","2998257.0966608538","63626332.28209582"
2010-05-01,"18538200.212835908","1723225.3483800001","13363300.909530001","3451673.9549259087","9425251.6776799988","34624554.831555411","34404097.197365411","31533075.852060236","0","597105.00373517652","2273916.3415700002","220457.63419000004","1475471.6346700001","0","3266352.4311142629","67329830.78785558"
2010-06-01,"17698882.417205907","2037848.7338700001","12481761.118199999","3179272.5651359088","8691753.8626299985","35055716.012470566","34836543.977540568","32087278.459230237","0","555396.44138032815","2193869.0769299995","219172.03493000002","1451551.35109","0","3213810.4068072932","66111714.050203763"
2010-07-01,"16508946.894620003","1911271.99077","11263462.416440003","3334212.4874099996","9092155.2860900015","35801077.613631397","35582567.649561398","32847959.587980237","0","528168.80670116004","2206439.2548799999","218509.96407000002","1401327.5478599998","0","2981149.5429253997","65784656.885126799"
2010-08-01,"16466707.201760001","1963175.0244699996","11154894.858900003","3348637.3183899997","8978981.9403299987","36345857.543643214","36128001.821793213","33422907.287662055","0","497930.36658115993","2207164.1675500004","217855.72185","1362810.1926799996","0","2949561.094155401","66103917.972568616"
2010-09-01,"16761794.537020002","1946362.7796099999","11332368.52562","3483063.2317900001","9035904.3965699971","36871001.320443228","36655090.318693228","33990083.980992064","0","523515.00779115997","2141491.3299099999","215911.00175000002","1515351.1958600003","0","3029428.1297954004","67213479.579688624"
