"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
2002-08-01,"7278659.4979999997","2072517.5889999999","4405462.3770000003","800679.53200000001","920838.22",,"5955426.415","5955426.415","0","0","0","3375184.327","3167816.5789999999","207367.74799999999","500114.53","18030222.990000002"
2002-09-01,"7181986.8990000002","2139275.514","3280046.4470000002","1762664.9380000001","927162.65800000005",,"6004584.6629999997","6004584.6629999997","0","0","0","2711291.068","2506053.4369999999","205237.63099999999","501169.36300000001","17326194.651000001"
2002-10-01,"6979095.801","2129755.4890000001","1926528.6159999999","2922811.696","933487.09699999995",,"6404623.7709999997","6404623.7709999997","0","0","0","2553017.6579999998","2309255.6809999999","243761.97700000001","511476.74","17381701.066999998"
2002-11-01,"6801036.8689999999","2150965.926","2245453.5290000001","2404617.4139999999","939811.53500000003",,"6442399.5729999999","6442399.5729999999","0","0","0","2516803.8849999998","2287800.2089999998","229003.67600000001","523732.739","17223784.601"
2002-12-01,"6709143.699","2366964.7319999998","2360838.824","1981340.1429999999","946135.973",,"6492060.0839999998","6492060.0839999998","0","0","0","2500685.5530000003","2264649.9720000001","236035.58100000001","933800.06499999994","17581825.374000002"
2003-01-01,"6998815.8149999995","2522889.6800000002","1422709.156","3053216.9789999998","952460.41200000001",,"6535786.0199999996","6535786.0199999996","0","0","0","2479823.9910000004","2249396.3930000002","230427.598","952500.89099999995","17919387.128999997"
2003-02-01,"5819461.1509999996","2417576.2889999999","1952732.1810000001","1449152.6810000001","954990.18700000003",,"6939062.0580000002","6939062.0580000002","0","0","0","2784940.4780000001","2471647.7760000001","313292.70199999999","950823.87","17449277.743999999"
2003-03-01,"5845484.1969999997","2286006.6409999998","2107525.8250000002","1451951.7309999999","958784.85",,"6877204.6339999996","6877204.6339999996","0","0","0","2544043.1680000001","2282219.3810000001","261823.78700000001","945943.15599999996","17171460.004999999"
2003-04-01,"6528692.8729999997","2293509.5120000001","2055983.0919999999","2179200.2689999999","960049.73800000001",,"6893481.9879999999","6893481.9879999999","0","0","0","2542654.2980000004","2278480.8820000002","264173.41600000003","960131.89599999995","17885010.793000001"
2003-05-01,"6484110.2149999999","2519033.8539999998","1543714.6259999999","2421361.7349999999","962579.51300000004",,"6912798.9280000003","6912798.9280000003","0","0","0","2559586.1859999998","2296038.8089999999","263547.37699999998","981222.30900000001","17900297.151000001"
2003-06-01,"7319922.8579999991","2406436.34","2287630.713","2625855.8050000002","1042774.176",,"6939005.5530000003","6939005.5530000003","0","0","0","2496222.9070000001","2270472.9870000002","225749.92","973937.60499999998","18771863.098999999"
2003-07-01,"7496223.892","2501141.4810000001","1237317.952","3757764.4589999998","1046868.839",,"6910359.0039999997","6910359.0039999997","0","0","0","2472162.8389999997","2271572.0669999998","200590.772","974189.29","18899803.864"
2003-08-01,"7417484.2540000007","2598602.9900000002","844948.46299999999","3973932.801","1066861.74","50219.183456699997","6883796.7719999999","6883796.7719999999","0","0","0","2510655.7069999999","2284340.2280000001","226315.47899999999","961369.55","18890387.206456702"
2003-09-01,"7776966.347000001","2690751.5460000001","1081241.9110000001","4004972.89","1069629.2150000001","45808.3593884","6803152.3669999996","6803152.3669999996","0","0","0","2519607.372","2288022.3539999998","231585.01800000001","989022.35199999996","19204186.012388404"
2003-10-01,"8774877.1429999992","2729831.378","3080909.8840000001","2964135.8810000001","1072396.69","46007.860042499997","6988649.3890000004","6988649.3890000004","0","0","0","2698734.682","2529535.676","169199.00599999999","986067.38899999997","20566733.153042499"
2003-11-01,"7850527.0839999989","2800460.6719999998","1601887.7","3448178.7119999998","1075164.166","44567.939892000002","7244270.0870000003","7244270.0870000003","0","0","0","2492559.8590000002","2344280.926","148278.93299999999","978045.21600000001","19685134.351892002"
2003-12-01,"8571642.3260000013","2966965.5180000002","2452255.7560000001","3152421.0520000001","1082082.8540000001","43960.998880200001","7252574.79","7252574.79","0","0","0","2497080.2140000002","2326422.2230000002","170657.99100000001","1029076.69","20476417.872880206"
2004-01-01,"7952113.4700000007","2899407.3110000002","1130448.2919999999","3922257.8670000001","1084850.3289999999","42966.775823999997","7294253.557","7294253.557","0","0","0","2496801.733","2328139.915","168661.818","1025306.65","19896292.514823999"
